Site,Sample_label,hole_label,section_label,published_archival_depth (m),current_depth_model (m),current_depth_model_note,ODP SAMPLE Inventory:: DEPTH(mid) (m),ODP SAMPLE Inventory:: MBSF(mid) (m),ODP SAMPLE Inventory:: MCD(mid) (m),ODP SAMPLE Inventory:: CCSF(mid) (m),depth_model_1 (m),depth_model_note_1,older_depth_model_2 (m)
GIK16030,,,,0.008,0.008,,,,,,0.008,depth model from Peterson and Lisiecki 2018,
GIK16030,,,,0.06,0.06,,,,,,0.06,depth model from Peterson and Lisiecki 2018,
GIK16030,,,,0.15,0.15,,,,,,0.15,depth model from Peterson and Lisiecki 2018,
GIK16030,,,,0.25,0.25,,,,,,0.25,depth model from Peterson and Lisiecki 2018,
GIK16030,,,,0.35,0.35,,,,,,0.35,depth model from Peterson and Lisiecki 2018,
GIK16030,,,,0.45,0.45,,,,,,0.45,depth model from Peterson and Lisiecki 2018,
GIK16030,,,,0.5,0.5,,,,,,0.5,depth model from Peterson and Lisiecki 2018,
GIK16030,,,,0.55,0.55,,,,,,0.55,depth model from Peterson and Lisiecki 2018,
GIK16030,,,,0.6,0.6,,,,,,0.6,depth model from Peterson and Lisiecki 2018,
GIK16030,,,,0.65,0.65,,,,,,0.65,depth model from Peterson and Lisiecki 2018,
GIK16030,,,,0.7,0.7,,,,,,0.7,depth model from Peterson and Lisiecki 2018,
GIK16030,,,,0.75,0.75,,,,,,0.75,depth model from Peterson and Lisiecki 2018,
GIK16030,,,,0.8,0.8,,,,,,0.8,depth model from Peterson and Lisiecki 2018,
GIK16030,,,,0.85,0.85,,,,,,0.85,depth model from Peterson and Lisiecki 2018,
GIK16030,,,,0.9,0.9,,,,,,0.9,depth model from Peterson and Lisiecki 2018,
GIK16030,,,,1,1,,,,,,1,depth model from Peterson and Lisiecki 2018,
GIK16030,,,,1.05,1.05,,,,,,1.05,depth model from Peterson and Lisiecki 2018,
GIK16030,,,,1.1,1.1,,,,,,1.1,depth model from Peterson and Lisiecki 2018,
GIK16030,,,,1.15,1.15,,,,,,1.15,depth model from Peterson and Lisiecki 2018,
GIK16030,,,,1.2,1.2,,,,,,1.2,depth model from Peterson and Lisiecki 2018,
GIK16030,,,,1.25,1.25,,,,,,1.25,depth model from Peterson and Lisiecki 2018,
GIK16030,,,,1.3,1.3,,,,,,1.3,depth model from Peterson and Lisiecki 2018,
GIK16030,,,,1.35,1.35,,,,,,1.35,depth model from Peterson and Lisiecki 2018,
GIK16030,,,,1.4,1.4,,,,,,1.4,depth model from Peterson and Lisiecki 2018,
GIK16030,,,,1.5,1.5,,,,,,1.5,depth model from Peterson and Lisiecki 2018,
GIK16030,,,,1.6,1.6,,,,,,1.6,depth model from Peterson and Lisiecki 2018,
GIK16030,,,,1.7,1.7,,,,,,1.7,depth model from Peterson and Lisiecki 2018,
GIK16030,,,,1.8,1.8,,,,,,1.8,depth model from Peterson and Lisiecki 2018,
GIK16030,,,,2,2,,,,,,2,depth model from Peterson and Lisiecki 2018,
GIK16030,,,,2.1,2.1,,,,,,2.1,depth model from Peterson and Lisiecki 2018,
GIK16030,,,,2.2,2.2,,,,,,2.2,depth model from Peterson and Lisiecki 2018,
GIK16030,,,,2.3,2.3,,,,,,2.3,depth model from Peterson and Lisiecki 2018,
GIK16030,,,,2.4,2.4,,,,,,2.4,depth model from Peterson and Lisiecki 2018,
GIK16030,,,,2.5,2.5,,,,,,2.5,depth model from Peterson and Lisiecki 2018,
GIK16030,,,,2.6,2.6,,,,,,2.6,depth model from Peterson and Lisiecki 2018,
GIK16030,,,,2.7,2.7,,,,,,2.7,depth model from Peterson and Lisiecki 2018,
GIK16030,,,,2.8,2.8,,,,,,2.8,depth model from Peterson and Lisiecki 2018,
GIK16030,,,,2.9,2.9,,,,,,2.9,depth model from Peterson and Lisiecki 2018,
GIK16030,,,,3,3,,,,,,3,depth model from Peterson and Lisiecki 2018,
GIK16030,,,,3.2,3.2,,,,,,3.2,depth model from Peterson and Lisiecki 2018,
GIK16030,,,,3.6,3.6,,,,,,3.6,depth model from Peterson and Lisiecki 2018,
GIK16030,,,,4.6,4.6,,,,,,4.6,depth model from Peterson and Lisiecki 2018,
GIK16030,,,,4.8,4.8,,,,,,4.8,depth model from Peterson and Lisiecki 2018,
GIK16030,,,,5,5,,,,,,5,depth model from Peterson and Lisiecki 2018,
GIK16030,,,,5.6,5.6,,,,,,5.6,depth model from Peterson and Lisiecki 2018,
GIK16030,,,,5.8,5.8,,,,,,5.8,depth model from Peterson and Lisiecki 2018,
