Site,Sample label,sample_depth,technique,lab. code,species/material,radiocarbon_age (y),radiocarbon_age_error_plus (y),radiocarbon_age_error_minus (y),reservoir_age (y),reservoir_age_error_plus (y),reservoir_age_error_minus (y),calendar_age (yBP),calendar_age_error_plus (yBP),calendar_age_error_minus (yBP),calibration curve,alignment target,alignment proxy,note1,note2,original reference,data doi
GIK17049_6,,5.1,,,,,,,,,,115000,4560,4560,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,
GIK17049_6,,5.7,,,,,,,,,,130000,3160,3160,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,
GIK17049_6,,6,,,,,,,,,,136500,2420,2420,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,
GIK17049_6,,0.02,,,,,,,,,,60,2,2,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
GIK17049_6,,0.125,,,,1910,50,50,643,50,50,1225,50,48,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
GIK17049_6,,0.475,,,,5010,80,80,597,51,51,4991,271,124,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
GIK17049_6,,0.575,,,,6420,80,80,667,51,51,6556,84,87,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
GIK17049_6,,0.875,,,,,,,,,,8260,48,48,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
GIK17049_6,,0.95,,,,6430,120,120,667,51,51,6564,97,110,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
GIK17049_6,,0.99,,,,,,,,,,10000,84,84,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
GIK17049_6,,1.2,,,,10150,200,200,566,94,94,10939,231,224,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
GIK17049_6,,1.2,,,,11820,210,210,917,239,239,12824,206,148,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
GIK17049_6,,1.3,,,,12140,160,160,914,238,238,13090,190,235,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
GIK17049_6,,1.325,,,,,,,,,,11940,106,106,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
GIK17049_6,,1.45,,,,14750,220,220,974,236,236,16658,348,347,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
GIK17049_6,,1.55,,,,,,,,,,14680,186,186,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
GIK17049_6,,1.625,,,,,,,,,,14740,190,190,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
GIK17049_6,,2.1,,,,27800,360,360,1388,239,239,30720,267,309,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
GIK17049_6,,2.175,,,,,,,,,,29960,968,968,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
GIK17049_6,,2.225,,,,,,,,,,23700,618,618,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
GIK17049_6,,2.725,,,,28600,350,350,1158,232,232,31275,212,206,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
GIK17049_6,,2.85,,,,,,,,,,36280,1374,1374,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
GIK17049_6,,3.7,,,,,,,,,,71000,,,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
GIK17049_6,,4.125,,,,,,,,,,87000,4000,4000,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
GIK17049_6,,4.2,,,,,,,,,,91000,,,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
GIK17049_6,,4.9,,,,,,,,,,112000,4000,4000,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
GIK17049_6,,4.9,,,,,,,,,,111000,,,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
GIK17049_6,,5.6,,,,,,,,,,122000,,,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
GIK17049_6,,5.7,,,,,,,,,,126000,4000,4000,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
GIK17049_6,,5.9,,,,,,,,,,134000,4000,4000,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
GIK17049_6,,6,,,,,,,,,,135000,4000,4000,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
GIK17049_6,,6,,,,,,,,,,135000,,,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
GIK17049_6,,6.3,,,,,,,,,,141000,,,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
GIK17049_6,,6.4,,,,,,,,,,144000,4000,4000,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
GIK17049_6,,8.3,,,,,,,,,,193000,,,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
GIK17049_6,,8.3,,,,,,,,,,192000,4000,4000,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
GIK17049_6,,10,,,,,,,,,,241000,4000,4000,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
GIK17049_6,,10,,,,,,,,,,241000,,,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
GIK17049_6,,10.1,,,,,,,,,,242000,4000,4000,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
GIK17049_6,,12.6,,,,,,,,,,323000,4000,4000,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
GIK17049_6,,12.6,,,,,,,,,,331000,,,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
GIK17049_6,,13.4,,,,,,,,,,342000,4000,4000,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
