Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
GIK17049_6,,0.1,0.49,2.66,0.49,2.66,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jung, Simon J A; Sarnthein, Michael (2003)",,https://doi.pangaea.de/10.1594/PANGAEA.112908,1
GIK17049_6,,0.125,1.17,2.81,1.17,2.81,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jung, Simon J A; Sarnthein, Michael (2003)",,https://doi.pangaea.de/10.1594/PANGAEA.112908,1
GIK17049_6,,0.175,0.67,2.7,0.67,2.7,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jung, Simon J A; Sarnthein, Michael (2003)",,https://doi.pangaea.de/10.1594/PANGAEA.112908,1
GIK17049_6,,0.2,0.93,2.59,0.93,2.59,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jung, Simon J A; Sarnthein, Michael (2003)",,https://doi.pangaea.de/10.1594/PANGAEA.112908,1
GIK17049_6,,0.3,0.66,2.73,0.66,2.73,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jung, Simon J A; Sarnthein, Michael (2003)",,https://doi.pangaea.de/10.1594/PANGAEA.112908,1
GIK17049_6,,0.4,0.45,2.61,0.45,2.61,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jung, Simon J A; Sarnthein, Michael (2003)",,https://doi.pangaea.de/10.1594/PANGAEA.112908,1
GIK17049_6,,0.5,1.06,2.68,1.06,2.68,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jung, Simon J A; Sarnthein, Michael (2003)",,https://doi.pangaea.de/10.1594/PANGAEA.112908,1
GIK17049_6,,0.525,1.04,2.76,1.04,2.76,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jung, Simon J A; Sarnthein, Michael (2003)",,https://doi.pangaea.de/10.1594/PANGAEA.112908,1
GIK17049_6,,0.55,1.01,2.92,1.01,2.92,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jung, Simon J A; Sarnthein, Michael (2003)",,https://doi.pangaea.de/10.1594/PANGAEA.112908,1
GIK17049_6,,0.575,0.9,2.8,0.9,2.8,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jung, Simon J A; Sarnthein, Michael (2003)",,https://doi.pangaea.de/10.1594/PANGAEA.112908,1
GIK17049_6,,0.6,1.2,2.76,1.2,2.76,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jung, Simon J A; Sarnthein, Michael (2003)",,https://doi.pangaea.de/10.1594/PANGAEA.112908,1
GIK17049_6,,0.625,1.07,2.76,1.07,2.76,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jung, Simon J A; Sarnthein, Michael (2003)",,https://doi.pangaea.de/10.1594/PANGAEA.112908,1
GIK17049_6,,0.675,0.87,2.78,0.87,2.78,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jung, Simon J A; Sarnthein, Michael (2003)",,https://doi.pangaea.de/10.1594/PANGAEA.112908,1
GIK17049_6,,0.8,0.99,2.73,0.99,2.73,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jung, Simon J A; Sarnthein, Michael (2003)",,https://doi.pangaea.de/10.1594/PANGAEA.112908,1
GIK17049_6,,0.925,1.13,2.63,1.13,2.63,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jung, Simon J A; Sarnthein, Michael (2003)",,https://doi.pangaea.de/10.1594/PANGAEA.112908,1
GIK17049_6,,0.99,0.99,2.6,0.99,2.6,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jung, Simon J A; Sarnthein, Michael (2003)",,https://doi.pangaea.de/10.1594/PANGAEA.112908,1
GIK17049_6,,1.2,0.81,3.54,0.81,3.54,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jung, Simon J A; Sarnthein, Michael (2003)",,https://doi.pangaea.de/10.1594/PANGAEA.112908,1
GIK17049_6,,1.225,1.09,2.94,1.09,2.94,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jung, Simon J A; Sarnthein, Michael (2003)",,https://doi.pangaea.de/10.1594/PANGAEA.112908,1
GIK17049_6,,1.25,0.69,3.28,0.69,3.28,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jung, Simon J A; Sarnthein, Michael (2003)",,https://doi.pangaea.de/10.1594/PANGAEA.112908,1
GIK17049_6,,1.275,0.46,3.37,0.46,3.37,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jung, Simon J A; Sarnthein, Michael (2003)",,https://doi.pangaea.de/10.1594/PANGAEA.112908,1
GIK17049_6,,1.3,0.42,3.45,0.42,3.45,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jung, Simon J A; Sarnthein, Michael (2003)",,https://doi.pangaea.de/10.1594/PANGAEA.112908,1
GIK17049_6,,1.325,0.9,3.36,0.9,3.36,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jung, Simon J A; Sarnthein, Michael (2003)",,https://doi.pangaea.de/10.1594/PANGAEA.112908,1
GIK17049_6,,1.35,0.5,3.63,0.5,3.63,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jung, Simon J A; Sarnthein, Michael (2003)",,https://doi.pangaea.de/10.1594/PANGAEA.112908,1
GIK17049_6,,1.375,0.54,3.53,0.54,3.53,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jung, Simon J A; Sarnthein, Michael (2003)",,https://doi.pangaea.de/10.1594/PANGAEA.112908,1
GIK17049_6,,1.4,0.49,3.92,0.49,3.92,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jung, Simon J A; Sarnthein, Michael (2003)",,https://doi.pangaea.de/10.1594/PANGAEA.112908,1
GIK17049_6,,1.425,0.36,3.67,0.36,3.67,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jung, Simon J A; Sarnthein, Michael (2003)",,https://doi.pangaea.de/10.1594/PANGAEA.112908,1
GIK17049_6,,1.45,0.42,4.19,0.42,4.19,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jung, Simon J A; Sarnthein, Michael (2003)",,https://doi.pangaea.de/10.1594/PANGAEA.112908,1
GIK17049_6,,1.475,1.1,2.64,1.1,2.64,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jung, Simon J A; Sarnthein, Michael (2003)",,https://doi.pangaea.de/10.1594/PANGAEA.112908,1
GIK17049_6,,1.5,0.27,3.9,0.27,3.9,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jung, Simon J A; Sarnthein, Michael (2003)",,https://doi.pangaea.de/10.1594/PANGAEA.112908,1
GIK17049_6,,1.525,0.57,4.52,0.57,4.52,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jung, Simon J A; Sarnthein, Michael (2003)",,https://doi.pangaea.de/10.1594/PANGAEA.112908,1
GIK17049_6,,1.55,0.45,4.38,0.45,4.38,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jung, Simon J A; Sarnthein, Michael (2003)",,https://doi.pangaea.de/10.1594/PANGAEA.112908,1
GIK17049_6,,1.6,0.47,4.41,0.47,4.41,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jung, Simon J A; Sarnthein, Michael (2003)",,https://doi.pangaea.de/10.1594/PANGAEA.112908,1
