Site,Sample_label,hole_label,section_label,published_archival_depth (m),current_depth_model (m),current_depth_model_note,ODP SAMPLE Inventory:: DEPTH(mid) (m),ODP SAMPLE Inventory:: MBSF(mid) (m),ODP SAMPLE Inventory:: MCD(mid) (m),ODP SAMPLE Inventory:: CCSF(mid) (m),depth_model_1 (m),depth_model_note_1,older_depth_model_2 (m)
GIK17050-1,,,,1.0,1.0,,,,,,1.0,depth model from Repschlaeger et al. 2021,
GIK17050-1,,,,2.7,2.7,,,,,,2.7,depth model from Repschlaeger et al. 2021,
GIK17050-1,,,,3.05,3.05,,,,,,3.05,depth model from Repschlaeger et al. 2021,
GIK17050-1,,,,3.15,3.15,,,,,,3.15,depth model from Repschlaeger et al. 2021,
GIK17050-1,,,,3.2,3.2,,,,,,3.2,depth model from Repschlaeger et al. 2021,
GIK17050-1,,,,3.35,3.35,,,,,,3.35,depth model from Repschlaeger et al. 2021,
GIK17050-1,,,,3.4,3.4,,,,,,3.4,depth model from Repschlaeger et al. 2021,
GIK17050-1,,,,3.45,3.45,,,,,,3.45,depth model from Repschlaeger et al. 2021,
GIK17050-1,,,,3.5,3.5,,,,,,3.5,depth model from Repschlaeger et al. 2021,
GIK17050-1,,,,3.55,3.55,,,,,,3.55,depth model from Repschlaeger et al. 2021,
GIK17050-1,,,,3.6,3.6,,,,,,3.6,depth model from Repschlaeger et al. 2021,
GIK17050-1,,,,3.7,3.7,,,,,,3.7,depth model from Repschlaeger et al. 2021,
GIK17050-1,,,,3.75,3.75,,,,,,3.75,depth model from Repschlaeger et al. 2021,
GIK17050-1,,,,3.8,3.8,,,,,,3.8,depth model from Repschlaeger et al. 2021,
GIK17050-1,,,,4.0,4.0,,,,,,4.0,depth model from Repschlaeger et al. 2021,
GIK17050-1,,,,4.1,4.1,,,,,,4.1,depth model from Repschlaeger et al. 2021,
GIK17050-1,,,,4.2,4.2,,,,,,4.2,depth model from Repschlaeger et al. 2021,
GIK17050-1,,,,4.25,4.25,,,,,,4.25,depth model from Repschlaeger et al. 2021,
GIK17050-1,,,,4.3,4.3,,,,,,4.3,depth model from Repschlaeger et al. 2021,
GIK17050-1,,,,4.35,4.35,,,,,,4.35,depth model from Repschlaeger et al. 2021,
GIK17050-1,,,,4.4,4.4,,,,,,4.4,depth model from Repschlaeger et al. 2021,
GIK17050-1,,,,4.5,4.5,,,,,,4.5,depth model from Repschlaeger et al. 2021,
GIK17050-1,,,,4.65,4.65,,,,,,4.65,depth model from Repschlaeger et al. 2021,
GIK17050-1,,,,4.7,4.7,,,,,,4.7,depth model from Repschlaeger et al. 2021,
GIK17050-1,,,,4.84,4.84,,,,,,4.84,depth model from Repschlaeger et al. 2021,
