Site,Sample label,sample_depth,technique,lab. code,species/material,radiocarbon_age (y),radiocarbon_age_error_plus (y),radiocarbon_age_error_minus (y),reservoir_age (y),reservoir_age_error_plus (y),reservoir_age_error_minus (y),calendar_age (yBP),calendar_age_error_plus (yBP),calendar_age_error_minus (yBP),calibration curve,alignment target,alignment proxy,note1,note2,original reference,data doi
GIK23258_2,KIA7648,0.25,,,N. pachyderma sinistral,765,35,35,660.1,50.1,50.1,129,133,105,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,https://doi.pangaea.de/10.1594/PANGAEA.114681
GIK23258_2,KIA7649,0.51,,,N. pachyderma sinistral,2155,30,30,535.8,50.2,50.2,1502,59,86,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,https://doi.pangaea.de/10.1594/PANGAEA.114681
GIK23258_2,KIA7650,0.67,,,N. pachyderma sinistral,3100,35,35,613,50.3,50.3,2593,123,104,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,https://doi.pangaea.de/10.1594/PANGAEA.114681
GIK23258_2,KIA7651,0.93,,,N. pachyderma sinistral,4425,40,40,539.4,50.2,50.2,4335,75,87,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,https://doi.pangaea.de/10.1594/PANGAEA.114681
GIK23258_2,KIA11534,1.18,,,N. incompta,5740,70,70,599,51,51,5885,99,127,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,https://doi.pangaea.de/10.1594/PANGAEA.114681
GIK23258_2,KIA7653,1.18,,,N. pachyderma sinistral,6120,40,40,622.3,50.2,50.2,6295,90,73,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,https://doi.pangaea.de/10.1594/PANGAEA.114681
GIK23258_2,KIA7654,1.54,,,N. pachyderma sinistral,7260,45,45,649.4,50.9,50.9,7508,56,66,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,https://doi.pangaea.de/10.1594/PANGAEA.114681
GIK23258_2,KIA8553,1.77,,,N. pachyderma sinistral,7980,45,45,602.1,60,60,8218,94,150,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,https://doi.pangaea.de/10.1594/PANGAEA.114681
GIK23258_2,KIA11535,1.92,,,N. incompta,8360,40,40,497.3,50.1,50.1,8633,78,42,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,https://doi.pangaea.de/10.1594/PANGAEA.114681
GIK23258_2,KIA9193,2.06,,,N. pachyderma sinistral,7400,40,40,620.1,50.4,50.4,7629,37,40,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,https://doi.pangaea.de/10.1594/PANGAEA.114681
GIK23258_2,KIA8554,2.07,,,N. pachyderma sinistral,8555,55,55,574.5,51.2,51.2,8876,118,149,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,https://doi.pangaea.de/10.1594/PANGAEA.114681
GIK23258_2,KIA9354,2.07,,,N. pachyderma sinistral,8710,50,50,529.3,50.1,50.1,9118,133,92,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,https://doi.pangaea.de/10.1594/PANGAEA.114681
GIK23258_2,KIA7657,2.37,,,N. pachyderma sinistral,6470,50,45,613,50.1,50.1,6685,52,48,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,https://doi.pangaea.de/10.1594/PANGAEA.114681
GIK23258_2,KIA7658,2.37,,,N. pachyderma sinistral,8600,70,70,533.7,51.7,51.7,8987,97,199,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,https://doi.pangaea.de/10.1594/PANGAEA.114681
GIK23258_2,KIA7659,2.41,,,N. pachyderma sinistral,8930,70,70,590.3,55.6,55.6,9367,84,81,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,https://doi.pangaea.de/10.1594/PANGAEA.114681
GIK23258_2,KIA7652,2.49,,,N. pachyderma sinistral,8835,50,50,548,50.2,50.2,9310,101,167,IntCal13,,,From Jonkers et al. 2020 compilation paper,Replaced by age of N. pachyderma dextral,,https://doi.pangaea.de/10.1594/PANGAEA.114681
GIK23258_2,KIA7655,2.5,,,N. pachyderma sinistral,9035,55,55,565.2,50.9,50.9,9496,32,32,IntCal13,,,From Jonkers et al. 2020 compilation paper,Ignored because of age reversal,,https://doi.pangaea.de/10.1594/PANGAEA.114681
GIK23258_2,KIA9353,3.1500000954,,,N. pachyderma sinistral,10079.9999237061,70.000000298,70.000000298,899.9999761581,100.0000014901,100.0000014901,10337,147,95,IntCal13,,,From Jonkers et al. 2020 compilation paper,Replaced by age of N. pachyderma dextral,,https://doi.pangaea.de/10.1594/PANGAEA.114681
GIK23258_2,KIA7656,3.5499999523,,,N. pachyderma sinistral,11609.9996566772,54.999999702,54.999999702,550.0000119209,100.0000014901,100.0000014901,12924,120,120,IntCal13,,,From Jonkers et al. 2020 compilation paper,Replaced by age of N. pachyderma dextral,,https://doi.pangaea.de/10.1594/PANGAEA.114681
GIK23258_2,KIA11536,3.9400000572,,,N. incompta,11989.9997711182,59.9999986589,59.9999986589,550.0000119209,100.0000014901,100.0000014901,13283,111,102,IntCal13,,,From Jonkers et al. 2020 compilation paper,Ignored because of age reversal,,https://doi.pangaea.de/10.1594/PANGAEA.114681
