Site,Sample_label,hole_label,section_label,published_archival_depth (m),current_depth_model (m),current_depth_model_note,ODP SAMPLE Inventory:: DEPTH(mid) (m),ODP SAMPLE Inventory:: MBSF(mid) (m),ODP SAMPLE Inventory:: MCD(mid) (m),ODP SAMPLE Inventory:: CCSF(mid) (m),depth_model_1 (m),depth_model_note_1,older_depth_model_2 (m)
GIK23258_2,,,,0.25,0.25,,,,,,0.25,depth model from Jonkers et al. 2020,
GIK23258_2,,,,0.28,0.28,,,,,,0.28,depth model from Jonkers et al. 2020,
GIK23258_2,,,,0.29,0.29,,,,,,0.29,depth model from Jonkers et al. 2020,
GIK23258_2,,,,0.32,0.32,,,,,,0.32,depth model from Jonkers et al. 2020,
GIK23258_2,,,,0.33,0.33,,,,,,0.33,depth model from Jonkers et al. 2020,
GIK23258_2,,,,0.34,0.34,,,,,,0.34,depth model from Jonkers et al. 2020,
GIK23258_2,,,,0.39,0.39,,,,,,0.39,depth model from Jonkers et al. 2020,
GIK23258_2,,,,0.4,0.4,,,,,,0.4,depth model from Jonkers et al. 2020,
GIK23258_2,,,,0.41,0.41,,,,,,0.41,depth model from Jonkers et al. 2020,
GIK23258_2,,,,0.42,0.42,,,,,,0.42,depth model from Jonkers et al. 2020,
GIK23258_2,,,,0.43,0.43,,,,,,0.43,depth model from Jonkers et al. 2020,
GIK23258_2,,,,0.45,0.45,,,,,,0.45,depth model from Jonkers et al. 2020,
GIK23258_2,,,,0.47,0.47,,,,,,0.47,depth model from Jonkers et al. 2020,
GIK23258_2,,,,0.48,0.48,,,,,,0.48,depth model from Jonkers et al. 2020,
GIK23258_2,,,,0.49,0.49,,,,,,0.49,depth model from Jonkers et al. 2020,
GIK23258_2,,,,0.52,0.52,,,,,,0.52,depth model from Jonkers et al. 2020,
GIK23258_2,,,,0.58,0.58,,,,,,0.58,depth model from Jonkers et al. 2020,
GIK23258_2,,,,0.59,0.59,,,,,,0.59,depth model from Jonkers et al. 2020,
GIK23258_2,,,,0.6,0.6,,,,,,0.6,depth model from Jonkers et al. 2020,
GIK23258_2,,,,0.61,0.61,,,,,,0.61,depth model from Jonkers et al. 2020,
GIK23258_2,,,,0.62,0.62,,,,,,0.62,depth model from Jonkers et al. 2020,
GIK23258_2,,,,0.63,0.63,,,,,,0.63,depth model from Jonkers et al. 2020,
GIK23258_2,,,,0.66,0.66,,,,,,0.66,depth model from Jonkers et al. 2020,
GIK23258_2,,,,0.67,0.67,,,,,,0.67,depth model from Jonkers et al. 2020,
GIK23258_2,,,,0.68,0.68,,,,,,0.68,depth model from Jonkers et al. 2020,
GIK23258_2,,,,0.69,0.69,,,,,,0.69,depth model from Jonkers et al. 2020,
GIK23258_2,,,,0.72,0.72,,,,,,0.72,depth model from Jonkers et al. 2020,
GIK23258_2,,,,0.76,0.76,,,,,,0.76,depth model from Jonkers et al. 2020,
GIK23258_2,,,,0.77,0.77,,,,,,0.77,depth model from Jonkers et al. 2020,
GIK23258_2,,,,0.79,0.79,,,,,,0.79,depth model from Jonkers et al. 2020,
GIK23258_2,,,,0.85,0.85,,,,,,0.85,depth model from Jonkers et al. 2020,
GIK23258_2,,,,0.86,0.86,,,,,,0.86,depth model from Jonkers et al. 2020,
GIK23258_2,,,,0.87,0.87,,,,,,0.87,depth model from Jonkers et al. 2020,
GIK23258_2,,,,0.88,0.88,,,,,,0.88,depth model from Jonkers et al. 2020,
GIK23258_2,,,,0.89,0.89,,,,,,0.89,depth model from Jonkers et al. 2020,
GIK23258_2,,,,0.9,0.9,,,,,,0.9,depth model from Jonkers et al. 2020,
GIK23258_2,,,,0.91,0.91,,,,,,0.91,depth model from Jonkers et al. 2020,
GIK23258_2,,,,0.92,0.92,,,,,,0.92,depth model from Jonkers et al. 2020,
GIK23258_2,,,,0.94,0.94,,,,,,0.94,depth model from Jonkers et al. 2020,
