Site,Sample label,sample_depth,technique,lab. code,species/material,radiocarbon_age (y),radiocarbon_age_error_plus (y),radiocarbon_age_error_minus (y),reservoir_age (y),reservoir_age_error_plus (y),reservoir_age_error_minus (y),calendar_age (yBP),calendar_age_error_plus (yBP),calendar_age_error_minus (yBP),calibration curve,alignment target,alignment proxy,note1,note2,original reference,data doi
GIK23418-8,,0.625,,,,9100,,,,,,,,,,,,deduced from C14 analog age of 9.1 ka; after Bard et al. (1990),,,https://doi.pangaea.de/10.1594/PANGAEA.186496
GIK23418-8,,1,,,,14800,,,,,,,,,,,,deduced from C14 analog age of 14.8 ka; after Bard et al. (1990),,,https://doi.pangaea.de/10.1594/PANGAEA.186496
GIK23418-8,,2.025,,,,26000,,,,,,,,,,,,deduced from C14 analog age of 26.0 ka; after Bard et al. (1990),,,https://doi.pangaea.de/10.1594/PANGAEA.186496
GIK23418-8,,3.7,,,,,,,,,,,,,,,,d18O event 3.3; after Martinson et al. (1987),,,https://doi.pangaea.de/10.1594/PANGAEA.186496
GIK23418-8,,3.925,,,,,,,,,,,,,,,,end of stage 4; after Martinson et al. (1987),,,https://doi.pangaea.de/10.1594/PANGAEA.186496
GIK23418-8,,4.11,,,,,,,,,,,,,,,,d18O event 4.22; after Martinson et al. (1987),,,https://doi.pangaea.de/10.1594/PANGAEA.186496
GIK23418-8,,4.75,,,,,,,,,,,,,,,,d18O event 5.1; after Martinson et al. (1987),,,https://doi.pangaea.de/10.1594/PANGAEA.186496
GIK23418-8,,6.1,,,,,,,,,,,,,,,,d18O event 5.2; after Martinson et al. (1987),,,https://doi.pangaea.de/10.1594/PANGAEA.186496
GIK23418-8,,7.85,,,,,,,,,,,,,,,,d18O event 5.4; after Martinson et al. (1987),,,https://doi.pangaea.de/10.1594/PANGAEA.186496
GIK23418-8,,8.95,,,,,,,,,,,,,,,,d18O event 5.51; after Martinson et al. (1987),,,https://doi.pangaea.de/10.1594/PANGAEA.186496
GIK23418-8,,9.05,,,,,,,,,,,,,,,,d18O event 5.53; after Martinson et al. (1987),,,https://doi.pangaea.de/10.1594/PANGAEA.186496
GIK23418-8,,9.41,,,,,,,,,,,,,,,,d18O event 6.2; after Martinson et al. (1987),,,https://doi.pangaea.de/10.1594/PANGAEA.186496
GIK23418-8,,10.05,,,,,,,,,,,,,,,,d18O event 6.3; after Martinson et al. (1987),,,https://doi.pangaea.de/10.1594/PANGAEA.186496
GIK23418-8,,10.85,,,,,,,,,,,,,,,,d18O event 6.5; after Martinson et al. (1987),,,https://doi.pangaea.de/10.1594/PANGAEA.186496
GIK23418-8,,11.15,,,,,,,,,,,,,,,,d18O event 6.6; after Martinson et al. (1987),,,https://doi.pangaea.de/10.1594/PANGAEA.186496
GIK23418-8,,0.07500000298023224,,,,,,,,,,500.0,160.0,160.00000000000006,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GIK23418-8,,0.625,,,,,,,,,,10500.0,380.0,380.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GIK23418-8,,0.8999999761581421,,,,,,,,,,15500.0,360.0,360.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GIK23418-8,,1.0,,,,,,,,,,18000.0,400.0,400.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GIK23418-8,,1.274999976158142,,,,,,,,,,24500.0,500.0,500.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GIK23418-8,,1.6749999523162842,,,,,,,,,,37500.0,980.0,980.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
