Site,Sample_label,hole_label,section_label,published_archival_depth (m),current_depth_model (m),current_depth_model_note,ODP SAMPLE Inventory:: DEPTH(mid) (m),ODP SAMPLE Inventory:: MBSF(mid) (m),ODP SAMPLE Inventory:: MCD(mid) (m),ODP SAMPLE Inventory:: CCSF(mid) (m),depth_model_1 (m),depth_model_note_1,older_depth_model_2 (m)
GIK23419,,,,0.115,0.115,,,,,,0.115,depth model from Peterson and Lisiecki 2018,
GIK23419,,,,0.127,0.127,,,,,,0.127,depth model from Peterson and Lisiecki 2018,
GIK23419,,,,0.135,0.135,,,,,,0.135,depth model from Peterson and Lisiecki 2018,
GIK23419,,,,0.139,0.139,,,,,,0.139,depth model from Peterson and Lisiecki 2018,
GIK23419,,,,0.15,0.15,,,,,,0.15,depth model from Peterson and Lisiecki 2018,
GIK23419,,,,0.165,0.165,,,,,,0.165,depth model from Peterson and Lisiecki 2018,
GIK23419,,,,0.177,0.177,,,,,,0.177,depth model from Peterson and Lisiecki 2018,
GIK23419,,,,0.185,0.185,,,,,,0.185,depth model from Peterson and Lisiecki 2018,
GIK23419,,,,0.189,0.189,,,,,,0.189,depth model from Peterson and Lisiecki 2018,
GIK23419,,,,0.2,0.2,,,,,,0.2,depth model from Peterson and Lisiecki 2018,
GIK23419,,,,0.215,0.215,,,,,,0.215,depth model from Peterson and Lisiecki 2018,
GIK23419,,,,0.227,0.227,,,,,,0.227,depth model from Peterson and Lisiecki 2018,
GIK23419,,,,0.235,0.235,,,,,,0.235,depth model from Peterson and Lisiecki 2018,
GIK23419,,,,0.239,0.239,,,,,,0.239,depth model from Peterson and Lisiecki 2018,
GIK23419,,,,0.245,0.245,,,,,,0.245,depth model from Peterson and Lisiecki 2018,
GIK23419,,,,0.265,0.265,,,,,,0.265,depth model from Peterson and Lisiecki 2018,
GIK23419,,,,0.275,0.275,,,,,,0.275,depth model from Peterson and Lisiecki 2018,
GIK23419,,,,0.285,0.285,,,,,,0.285,depth model from Peterson and Lisiecki 2018,
GIK23419,,,,0.289,0.289,,,,,,0.289,depth model from Peterson and Lisiecki 2018,
GIK23419,,,,0.3,0.3,,,,,,0.3,depth model from Peterson and Lisiecki 2018,
GIK23419,,,,0.315,0.315,,,,,,0.315,depth model from Peterson and Lisiecki 2018,
GIK23419,,,,0.327,0.327,,,,,,0.327,depth model from Peterson and Lisiecki 2018,
GIK23419,,,,0.335,0.335,,,,,,0.335,depth model from Peterson and Lisiecki 2018,
GIK23419,,,,0.339,0.339,,,,,,0.339,depth model from Peterson and Lisiecki 2018,
GIK23419,,,,0.35,0.35,,,,,,0.35,depth model from Peterson and Lisiecki 2018,
GIK23419,,,,0.365,0.365,,,,,,0.365,depth model from Peterson and Lisiecki 2018,
GIK23419,,,,0.377,0.377,,,,,,0.377,depth model from Peterson and Lisiecki 2018,
GIK23419,,,,0.385,0.385,,,,,,0.385,depth model from Peterson and Lisiecki 2018,
GIK23419,,,,0.389,0.389,,,,,,0.389,depth model from Peterson and Lisiecki 2018,
GIK23419,,,,0.4,0.4,,,,,,0.4,depth model from Peterson and Lisiecki 2018,
GIK23419,,,,0.415,0.415,,,,,,0.415,depth model from Peterson and Lisiecki 2018,
GIK23419,,,,0.427,0.427,,,,,,0.427,depth model from Peterson and Lisiecki 2018,
GIK23419,,,,0.439,0.439,,,,,,0.439,depth model from Peterson and Lisiecki 2018,
GIK23419,,,,0.45,0.45,,,,,,0.45,depth model from Peterson and Lisiecki 2018,
GIK23419,,,,0.465,0.465,,,,,,0.465,depth model from Peterson and Lisiecki 2018,
GIK23419,,,,0.477,0.477,,,,,,0.477,depth model from Peterson and Lisiecki 2018,
GIK23419,,,,0.489,0.489,,,,,,0.489,depth model from Peterson and Lisiecki 2018,
GIK23419,,,,0.5,0.5,,,,,,0.5,depth model from Peterson and Lisiecki 2018,
GIK23419,,,,0.515,0.515,,,,,,0.515,depth model from Peterson and Lisiecki 2018,
GIK23419,,,,0.527,0.527,,,,,,0.527,depth model from Peterson and Lisiecki 2018,
GIK23419,,,,0.539,0.539,,,,,,0.539,depth model from Peterson and Lisiecki 2018,
GIK23419,,,,0.577,0.577,,,,,,0.577,depth model from Peterson and Lisiecki 2018,
GIK23419,,,,0.615,0.615,,,,,,0.615,depth model from Peterson and Lisiecki 2018,
GIK23419,,,,0.627,0.627,,,,,,0.627,depth model from Peterson and Lisiecki 2018,
GIK23419,,,,0.639,0.639,,,,,,0.639,depth model from Peterson and Lisiecki 2018,
GIK23419,,,,0.65,0.65,,,,,,0.65,depth model from Peterson and Lisiecki 2018,
GIK23419,,,,0.677,0.677,,,,,,0.677,depth model from Peterson and Lisiecki 2018,
GIK23419,,,,0.689,0.689,,,,,,0.689,depth model from Peterson and Lisiecki 2018,
GIK23419,,,,0.7,0.7,,,,,,0.7,depth model from Peterson and Lisiecki 2018,
GIK23419,,,,0.715,0.715,,,,,,0.715,depth model from Peterson and Lisiecki 2018,
GIK23419,,,,0.739,0.739,,,,,,0.739,depth model from Peterson and Lisiecki 2018,
GIK23419,,,,0.75,0.75,,,,,,0.75,depth model from Peterson and Lisiecki 2018,
GIK23419,,,,0.765,0.765,,,,,,0.765,depth model from Peterson and Lisiecki 2018,
GIK23419,,,,0.777,0.777,,,,,,0.777,depth model from Peterson and Lisiecki 2018,
GIK23419,,,,0.789,0.789,,,,,,0.789,depth model from Peterson and Lisiecki 2018,
GIK23419,,,,0.8,0.8,,,,,,0.8,depth model from Peterson and Lisiecki 2018,
GIK23419,,,,0.815,0.815,,,,,,0.815,depth model from Peterson and Lisiecki 2018,
GIK23419,,,,0.827,0.827,,,,,,0.827,depth model from Peterson and Lisiecki 2018,
GIK23419,,,,0.839,0.839,,,,,,0.839,depth model from Peterson and Lisiecki 2018,
GIK23419,,,,0.85,0.85,,,,,,0.85,depth model from Peterson and Lisiecki 2018,
GIK23419,,,,0.865,0.865,,,,,,0.865,depth model from Peterson and Lisiecki 2018,
GIK23419,,,,0.877,0.877,,,,,,0.877,depth model from Peterson and Lisiecki 2018,
GIK23419,,,,0.889,0.889,,,,,,0.889,depth model from Peterson and Lisiecki 2018,
GIK23419,,,,0.9,0.9,,,,,,0.9,depth model from Peterson and Lisiecki 2018,
GIK23419,,,,0.915,0.915,,,,,,0.915,depth model from Peterson and Lisiecki 2018,
GIK23419,,,,0.927,0.927,,,,,,0.927,depth model from Peterson and Lisiecki 2018,
GIK23419,,,,0.939,0.939,,,,,,0.939,depth model from Peterson and Lisiecki 2018,
GIK23419,,,,0.95,0.95,,,,,,0.95,depth model from Peterson and Lisiecki 2018,
GIK23419,,,,0.965,0.965,,,,,,0.965,depth model from Peterson and Lisiecki 2018,
GIK23419,,,,0.989,0.989,,,,,,0.989,depth model from Peterson and Lisiecki 2018,
GIK23419,,,,0.99,0.99,,,,,,0.99,depth model from Peterson and Lisiecki 2018,
GIK23419,,,,1.015,1.015,,,,,,1.015,depth model from Peterson and Lisiecki 2018,
GIK23419,,,,1.027,1.027,,,,,,1.027,depth model from Peterson and Lisiecki 2018,
