Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
GIK23419-8,,0.1,1.2,2.22,1.2,2.22,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Jung, Simon J A (1996): Wassermassenaustausch zwischen NE-Atlantik und Nordmeer waehrend der letzten 300 000/80 000 Jahre im Abbild stabiler O- und C- Isotope. Berichte aus dem Sonderforschungsbereich 313, Christian-Albrechts-Universitaet, Kiel, 61, 104 pp, https://doi.org/10.2312/reports-sfb313.1996.61",,"Jung, Simon J A; Sarnthein, Michael (2003): Stable isotope data of sediment cores GIK23419-8. PANGAEA, https://doi.org/10.1594/PANGAEA.112916; age model: Jung, Simon J A (2004): Age model of sediment core GIK23419-8. PANGAEA, https://doi.org/10.1594/PANGAEA.186497Vogelsang, Elke; Sarnthein, Michael; Pflaumann, Uwe (2004): Age control of sediment core GIK23419-8. PANGAEA, https://doi.org/10.1594/PANGAEA.143169, Chi, J; Mienert, Juergen (2003): Age model of sediment core GIK23419-8. PANGAEA, https://doi.org/10.1594/PANGAEA.133934",1
GIK23419-8,,0.115,1.31,2.39,1.31,2.39,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Jung, Simon J A (1996): Wassermassenaustausch zwischen NE-Atlantik und Nordmeer waehrend der letzten 300 000/80 000 Jahre im Abbild stabiler O- und C- Isotope. Berichte aus dem Sonderforschungsbereich 313, Christian-Albrechts-Universitaet, Kiel, 61, 104 pp, https://doi.org/10.2312/reports-sfb313.1996.61",,"Jung, Simon J A; Sarnthein, Michael (2003): Stable isotope data of sediment cores GIK23419-8. PANGAEA, https://doi.org/10.1594/PANGAEA.112916; age model: Jung, Simon J A (2004): Age model of sediment core GIK23419-8. PANGAEA, https://doi.org/10.1594/PANGAEA.186497Vogelsang, Elke; Sarnthein, Michael; Pflaumann, Uwe (2004): Age control of sediment core GIK23419-8. PANGAEA, https://doi.org/10.1594/PANGAEA.143169, Chi, J; Mienert, Juergen (2003): Age model of sediment core GIK23419-8. PANGAEA, https://doi.org/10.1594/PANGAEA.133934",1
GIK23419-8,,0.127,1.34,2.38,1.34,2.38,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Jung, Simon J A (1996): Wassermassenaustausch zwischen NE-Atlantik und Nordmeer waehrend der letzten 300 000/80 000 Jahre im Abbild stabiler O- und C- Isotope. Berichte aus dem Sonderforschungsbereich 313, Christian-Albrechts-Universitaet, Kiel, 61, 104 pp, https://doi.org/10.2312/reports-sfb313.1996.61",,"Jung, Simon J A; Sarnthein, Michael (2003): Stable isotope data of sediment cores GIK23419-8. PANGAEA, https://doi.org/10.1594/PANGAEA.112916; age model: Jung, Simon J A (2004): Age model of sediment core GIK23419-8. PANGAEA, https://doi.org/10.1594/PANGAEA.186497Vogelsang, Elke; Sarnthein, Michael; Pflaumann, Uwe (2004): Age control of sediment core GIK23419-8. PANGAEA, https://doi.org/10.1594/PANGAEA.143169, Chi, J; Mienert, Juergen (2003): Age model of sediment core GIK23419-8. PANGAEA, https://doi.org/10.1594/PANGAEA.133934",1
GIK23419-8,,0.135,1.22,2.38,1.22,2.38,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Jung, Simon J A (1996): Wassermassenaustausch zwischen NE-Atlantik und Nordmeer waehrend der letzten 300 000/80 000 Jahre im Abbild stabiler O- und C- Isotope. Berichte aus dem Sonderforschungsbereich 313, Christian-Albrechts-Universitaet, Kiel, 61, 104 pp, https://doi.org/10.2312/reports-sfb313.1996.61",,"Jung, Simon J A; Sarnthein, Michael (2003): Stable isotope data of sediment cores GIK23419-8. PANGAEA, https://doi.org/10.1594/PANGAEA.112916; age model: Jung, Simon J A (2004): Age model of sediment core GIK23419-8. PANGAEA, https://doi.org/10.1594/PANGAEA.186497Vogelsang, Elke; Sarnthein, Michael; Pflaumann, Uwe (2004): Age control of sediment core GIK23419-8. PANGAEA, https://doi.org/10.1594/PANGAEA.143169, Chi, J; Mienert, Juergen (2003): Age model of sediment core GIK23419-8. PANGAEA, https://doi.org/10.1594/PANGAEA.133934",1
GIK23419-8,,0.139,1.24,2.42,1.24,2.42,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Jung, Simon J A (1996): Wassermassenaustausch zwischen NE-Atlantik und Nordmeer waehrend der letzten 300 000/80 000 Jahre im Abbild stabiler O- und C- Isotope. Berichte aus dem Sonderforschungsbereich 313, Christian-Albrechts-Universitaet, Kiel, 61, 104 pp, https://doi.org/10.2312/reports-sfb313.1996.61",,"Jung, Simon J A; Sarnthein, Michael (2003): Stable isotope data of sediment cores GIK23419-8. PANGAEA, https://doi.org/10.1594/PANGAEA.112916; age model: Jung, Simon J A (2004): Age model of sediment core GIK23419-8. PANGAEA, https://doi.org/10.1594/PANGAEA.186497Vogelsang, Elke; Sarnthein, Michael; Pflaumann, Uwe (2004): Age control of sediment core GIK23419-8. PANGAEA, https://doi.org/10.1594/PANGAEA.143169, Chi, J; Mienert, Juergen (2003): Age model of sediment core GIK23419-8. PANGAEA, https://doi.org/10.1594/PANGAEA.133934",1
GIK23419-8,,0.15,1.23,2.3,1.23,2.3,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Jung, Simon J A (1996): Wassermassenaustausch zwischen NE-Atlantik und Nordmeer waehrend der letzten 300 000/80 000 Jahre im Abbild stabiler O- und C- Isotope. Berichte aus dem Sonderforschungsbereich 313, Christian-Albrechts-Universitaet, Kiel, 61, 104 pp, https://doi.org/10.2312/reports-sfb313.1996.61",,"Jung, Simon J A; Sarnthein, Michael (2003): Stable isotope data of sediment cores GIK23419-8. PANGAEA, https://doi.org/10.1594/PANGAEA.112916; age model: Jung, Simon J A (2004): Age model of sediment core GIK23419-8. PANGAEA, https://doi.org/10.1594/PANGAEA.186497Vogelsang, Elke; Sarnthein, Michael; Pflaumann, Uwe (2004): Age control of sediment core GIK23419-8. PANGAEA, https://doi.org/10.1594/PANGAEA.143169, Chi, J; Mienert, Juergen (2003): Age model of sediment core GIK23419-8. PANGAEA, https://doi.org/10.1594/PANGAEA.133934",1
GIK23419-8,,0.165,1.27,2.42,1.27,2.42,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Jung, Simon J A (1996): Wassermassenaustausch zwischen NE-Atlantik und Nordmeer waehrend der letzten 300 000/80 000 Jahre im Abbild stabiler O- und C- Isotope. Berichte aus dem Sonderforschungsbereich 313, Christian-Albrechts-Universitaet, Kiel, 61, 104 pp, https://doi.org/10.2312/reports-sfb313.1996.61",,"Jung, Simon J A; Sarnthein, Michael (2003): Stable isotope data of sediment cores GIK23419-8. PANGAEA, https://doi.org/10.1594/PANGAEA.112916; age model: Jung, Simon J A (2004): Age model of sediment core GIK23419-8. PANGAEA, https://doi.org/10.1594/PANGAEA.186497Vogelsang, Elke; Sarnthein, Michael; Pflaumann, Uwe (2004): Age control of sediment core GIK23419-8. PANGAEA, https://doi.org/10.1594/PANGAEA.143169, Chi, J; Mienert, Juergen (2003): Age model of sediment core GIK23419-8. PANGAEA, https://doi.org/10.1594/PANGAEA.133934",1
GIK23419-8,,0.177,1.29,2.22,1.29,2.22,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Jung, Simon J A (1996): Wassermassenaustausch zwischen NE-Atlantik und Nordmeer waehrend der letzten 300 000/80 000 Jahre im Abbild stabiler O- und C- Isotope. Berichte aus dem Sonderforschungsbereich 313, Christian-Albrechts-Universitaet, Kiel, 61, 104 pp, https://doi.org/10.2312/reports-sfb313.1996.61",,"Jung, Simon J A; Sarnthein, Michael (2003): Stable isotope data of sediment cores GIK23419-8. PANGAEA, https://doi.org/10.1594/PANGAEA.112916; age model: Jung, Simon J A (2004): Age model of sediment core GIK23419-8. PANGAEA, https://doi.org/10.1594/PANGAEA.186497Vogelsang, Elke; Sarnthein, Michael; Pflaumann, Uwe (2004): Age control of sediment core GIK23419-8. PANGAEA, https://doi.org/10.1594/PANGAEA.143169, Chi, J; Mienert, Juergen (2003): Age model of sediment core GIK23419-8. PANGAEA, https://doi.org/10.1594/PANGAEA.133934",1
GIK23419-8,,0.185,1.33,2.44,1.33,2.44,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Jung, Simon J A (1996): Wassermassenaustausch zwischen NE-Atlantik und Nordmeer waehrend der letzten 300 000/80 000 Jahre im Abbild stabiler O- und C- Isotope. Berichte aus dem Sonderforschungsbereich 313, Christian-Albrechts-Universitaet, Kiel, 61, 104 pp, https://doi.org/10.2312/reports-sfb313.1996.61",,"Jung, Simon J A; Sarnthein, Michael (2003): Stable isotope data of sediment cores GIK23419-8. PANGAEA, https://doi.org/10.1594/PANGAEA.112916; age model: Jung, Simon J A (2004): Age model of sediment core GIK23419-8. PANGAEA, https://doi.org/10.1594/PANGAEA.186497Vogelsang, Elke; Sarnthein, Michael; Pflaumann, Uwe (2004): Age control of sediment core GIK23419-8. PANGAEA, https://doi.org/10.1594/PANGAEA.143169, Chi, J; Mienert, Juergen (2003): Age model of sediment core GIK23419-8. PANGAEA, https://doi.org/10.1594/PANGAEA.133934",1
GIK23419-8,,0.189,1.22,2.36,1.22,2.36,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Jung, Simon J A (1996): Wassermassenaustausch zwischen NE-Atlantik und Nordmeer waehrend der letzten 300 000/80 000 Jahre im Abbild stabiler O- und C- Isotope. Berichte aus dem Sonderforschungsbereich 313, Christian-Albrechts-Universitaet, Kiel, 61, 104 pp, https://doi.org/10.2312/reports-sfb313.1996.61",,"Jung, Simon J A; Sarnthein, Michael (2003): Stable isotope data of sediment cores GIK23419-8. PANGAEA, https://doi.org/10.1594/PANGAEA.112916; age model: Jung, Simon J A (2004): Age model of sediment core GIK23419-8. PANGAEA, https://doi.org/10.1594/PANGAEA.186497Vogelsang, Elke; Sarnthein, Michael; Pflaumann, Uwe (2004): Age control of sediment core GIK23419-8. PANGAEA, https://doi.org/10.1594/PANGAEA.143169, Chi, J; Mienert, Juergen (2003): Age model of sediment core GIK23419-8. PANGAEA, https://doi.org/10.1594/PANGAEA.133934",1
