Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
GIK23519-5,,0.02,1.02,2.73,,,,,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation,Millo et al. (2006),,https://doi.org/10.1594/PANGAEA.271549,1
GIK23519-5,,0.03,1.23,2.53,,,,,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation,Millo et al. (2006),,https://doi.org/10.1594/PANGAEA.271549,1
GIK23519-5,,0.04,1.05,2.53,,,,,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation,Millo et al. (2006),,https://doi.org/10.1594/PANGAEA.271549,1
GIK23519-5,,0.05,1.34,2.61,,,,,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation,Millo et al. (2006),,https://doi.org/10.1594/PANGAEA.271549,1
GIK23519-5,,0.06,1.25,2.64,,,,,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation,Millo et al. (2006),,https://doi.org/10.1594/PANGAEA.271549,1
GIK23519-5,,0.07,1.34,2.82,,,,,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation,Millo et al. (2006),,https://doi.org/10.1594/PANGAEA.271549,1
GIK23519-5,,0.08,1.18,2.77,,,,,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation,Millo et al. (2006),,https://doi.org/10.1594/PANGAEA.271549,1
GIK23519-5,,0.09,1.17,2.73,,,,,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation,Millo et al. (2006),,https://doi.org/10.1594/PANGAEA.271549,1
GIK23519-5,,0.1,1.23,2.68,,,,,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation,Millo et al. (2006),,https://doi.org/10.1594/PANGAEA.271549,1
GIK23519-5,,0.11,1.15,2.87,,,,,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation,Millo et al. (2006),,https://doi.org/10.1594/PANGAEA.271549,1
