Site,Sample label,sample_depth,technique,lab. code,species/material,radiocarbon_age (y),radiocarbon_age_error_plus (y),radiocarbon_age_error_minus (y),reservoir_age (y),reservoir_age_error_plus (y),reservoir_age_error_minus (y),calendar_age (yBP),calendar_age_error_plus (yBP),calendar_age_error_minus (yBP),calibration curve,alignment target,alignment proxy,note1,note2,original reference,data doi
GL-1180,,0.21,,,,2440.0,30.0,30.0,410.0,51.0,51.0,1976.0,169.0,150.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GL-1180,,0.81,,,,9630.0,30.0,30.0,406.0,70.8,70.8,10394.0,179.0,154.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GL-1180,,1.11,,,,11320.0,30.0,30.0,680.0,27.7,27.7,12667.0,61.0,162.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GL-1180,,1.41,,,,16590.0,50.0,50.0,731.0,49.5,49.5,19135.0,235.0,192.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GL-1180,,1.81,,,,25620.0,100.0,100.0,909.0,62.5,62.5,28957.0,214.0,222.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GL-1180,,2.31,,,,30690.0,170.0,170.0,893.0,66.3,66.3,34318.0,293.0,332.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GL-1180,,3.200000047683716,,,,,,,,,,50000.0,2980.0,2980.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,visual alignment with L&S Stack
GL-1180,,3.559999942779541,,,,,,,,,,59000.0,2340.0,2340.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,visual alignment with L&S Stack
GL-1180,,4.320000171661377,,,,,,,,,,71000.0,2600.0,2600.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,visual alignment with L&S Stack
GL-1180,,4.679999828338623,,,,,,,,,,77000.0,2540.0,2540.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,visual alignment with L&S Stack
GL-1180,,5.880000114440918,,,,,,,,,,87500.0,2640.0,2640.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,visual alignment with L&S Stack
GL-1180,,6.159999847412109,,,,,,,,,,92500.0,3440.0,3440.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,visual alignment with L&S Stack
GL-1180,,6.71999979019165,,,,,,,,,,101000.0,3100.0,3100.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,visual alignment with L&S Stack
GL-1180,,7.360000133514404,,,,,,,,,,107000.0,2880.0,2880.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,visual alignment with L&S Stack
GL-1180,,7.599999904632568,,,,,,,,,,112000.0,3580.0,3580.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,visual alignment with L&S Stack
GL-1180,,8.15999984741211,,,,,,,,,,118500.0,5380.0,5380.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,visual alignment with L&S Stack
GL-1180,,8.239999771118164,,,,,,,,,,120000.0,5540.0,5540.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,visual alignment with L&S Stack
GL-1180,,8.880000114440918,,,,,,,,,,132500.0,4300.0,4300.000000000015,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,visual alignment with L&S Stack
GL-1180,,8.960000038146973,,,,,,,,,,134000.0,4040.0,4039.9999999999854,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,visual alignment with L&S Stack
GL-1180,,9.039999961853027,,,,,,,,,,137000.0,3220.0,3220.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,visual alignment with L&S Stack
GL-1180,,9.199999809265137,,,,,,,,,,143000.0,4100.0,4100.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,visual alignment with L&S Stack
