Site,Sample label,sample_depth,technique,lab. code,species/material,radiocarbon_age (y),radiocarbon_age_error_plus (y),radiocarbon_age_error_minus (y),reservoir_age (y),reservoir_age_error_plus (y),reservoir_age_error_minus (y),calendar_age (yBP),calendar_age_error_plus (yBP),calendar_age_error_minus (yBP),calibration curve,alignment target,alignment proxy,note1,note2,original reference,data doi
GS07-150-17_1GC-A,,0.005,,UBA-19854,G. ruber,751,28,28,540,100,100,190,105,54,SHCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
GS07-150-17_1GC-A,,0.015,,UBA-20082,G. ruber,1058,26,26,540,100,100,497,130,106,SHCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
GS07-150-17_1GC-A,,0.215,,UBA-20173,G. ruber,4982,34,34,540,100,100,4997,268,245,SHCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
GS07-150-17_1GC-A,,0.605,,UBA-19856,G. ruber,8879,53,53,540,100,100,9225,182,128,SHCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
GS07-150-17_1GC-A,,0.705,,UBA-20166,G. ruber,9481,57,57,540,100,100,9929,235,48,SHCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
GS07-150-17_1GC-A,,0.805,,UBA-19194,G. ruber,9895,49,49,540,100,100,10461,116,174,SHCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
GS07-150-17_1GC-A,,0.895,,UBA-19193,G. ruber,10375,51,51,540,100,100,11130,136,60,SHCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
GS07-150-17_1GC-A,,0.905,,UBA-19192,G. ruber,10397,52,52,540,100,100,11170,141,99,SHCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
GS07-150-17_1GC-A,,0.955,,UBA-19190,G. ruber,10870,56,56,540,200,200,11934,522,417,SHCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
GS07-150-17_1GC-A,,0.965,,UBA-19189,G. ruber,10893,60,60,540,200,200,11974,490,372,SHCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
GS07-150-17_1GC-A,,1.065,,UBA-19222,G. ruber,11497,68,68,540,200,200,12783,281,257,SHCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
GS07-150-17_1GC-A,,1.105,,UBA-19858,G. ruber,11716,68,68,540,200,200,12968,137,205,SHCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
GS07-150-17_1GC-A,,1.165,,UBA-19221,G. ruber,12424,80,80,540,200,200,13622,177,269,SHCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
GS07-150-17_1GC-A,,1.255,,UBA-19220,G. ruber,13135,79,79,540,200,200,14605,356,398,SHCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
GS07-150-17_1GC-A,,1.265,,UBA-19219,G. ruber,13272,84,84,540,200,200,14812,379,35,SHCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
GS07-150-17_1GC-A,,1.315,,UBA-20084,G. ruber,13817,62,62,540,200,200,15687,283,316,SHCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
GS07-150-17_1GC-A,,1.405,,UBA-19180,G. ruber,14309,76,76,540,200,200,16372,292,329,SHCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
GS07-150-17_1GC-A,,1.425,,UBA-20086,G. ruber,14501,63,63,540,200,200,16634,303,272,SHCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
GS07-150-17_1GC-A,,1.555,,UBA-19218,G. ruber,15818,106,106,540,200,200,18321,329,192,SHCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
GS07-150-17_1GC-A,,1.565,,UBA-19217,G. ruber,16125,110,110,540,200,200,18582,222,1,SHCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
GS07-150-17_1GC-A,,1.625,,UBA-19174,G. ruber,16783,86,86,540,200,200,19280,234,256,SHCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
GS07-150-17_1GC-A,,1.625,,,G. ruber,17110,105,105,540,200,200,19689,300,287,SHCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
GS07-150-17_1GC-A,,1.805,,UBA-19172,G. ruber,19658,136,136,540,200,200,22744,216,250,SHCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
GS07-150-17_1GC-A,,1.805,,,G. ruber,19783,118,118,540,200,200,22863,200,328,SHCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
