Site,Sample label,sample_depth,technique,lab. code,species/material,radiocarbon_age (y),radiocarbon_age_error_plus (y),radiocarbon_age_error_minus (y),reservoir_age (y),reservoir_age_error_plus (y),reservoir_age_error_minus (y),calendar_age (yBP),calendar_age_error_plus (yBP),calendar_age_error_minus (yBP),calibration curve,alignment target,alignment proxy,note1,note2,original reference,data doi
GS07-150-17_1GC-A,,0.91351,,,Globigerina ruber,10525,100,100,295,145,145,11961,200,200,,,,,,,https://doi.pangaea.de/10.1594/PANGAEA.925638
GS07-150-17_1GC-A,,0.99601,,,Globigerina ruber,11111,100,100,484,226,226,12599,200,200,,,,,,,https://doi.pangaea.de/10.1594/PANGAEA.925638
GS07-150-17_1GC-A,,1.19151,,,Globigerina ruber,12673,100,100,420,170,170,14148,200,200,,,,,,,https://doi.pangaea.de/10.1594/PANGAEA.925638
GS07-150-17_1GC-A,,1.56701,,,Globigerina ruber,16202,100,100,1277,207,207,18129,200,200,,,,,,,https://doi.pangaea.de/10.1594/PANGAEA.925638
GS07-150-17_1GC-A,,1.70751,,,Globigerina ruber,18181,100,100,647,181,181,21170,200,200,,,,,,,https://doi.pangaea.de/10.1594/PANGAEA.925638
GS07-150-17_1GC-A,,0.0,,,,751.0,28.0,28.0,480.0,50.3,50.3,321.0,168.0,321.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GS07-150-17_1GC-A,,0.01,,,,1058.0,26.0,26.0,522.0,50.1,50.1,567.0,81.0,70.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GS07-150-17_1GC-A,,0.6,,,,8879.0,53.0,53.0,452.0,58.3,58.3,9424.0,119.0,275.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GS07-150-17_1GC-A,,0.7,,,,9481.0,57.0,57.0,367.0,55.4,55.4,10311.0,198.0,341.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GS07-150-17_1GC-A,,0.89,,,,10375.0,51.0,51.0,447.0,71.7,71.7,11422.0,309.0,219.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GS07-150-17_1GC-A,,0.9,,,,10397.0,52.0,52.0,447.0,73.6,73.6,11449.0,297.0,237.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GS07-150-17_1GC-A,,0.95,,,,10870.0,56.0,56.0,541.0,50.9,50.9,12178.0,301.0,345.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GS07-150-17_1GC-A,,0.96,,,,10893.0,60.0,60.0,541.0,50.7,50.7,12217.0,373.0,336.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GS07-150-17_1GC-A,,1.06,,,,11497.0,68.0,68.0,603.0,33.9,33.9,12833.0,220.0,105.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GS07-150-17_1GC-A,,1.1,,,,11716.0,68.0,68.0,596.0,37.5,37.5,13019.0,146.0,177.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GS07-150-17_1GC-A,,1.16,,,,12424.0,80.0,80.0,470.0,65.10000000000001,65.10000000000001,13841.0,215.0,241.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GS07-150-17_1GC-A,,1.25,,,,13135.0,79.0,79.0,582.0,37.1,37.1,14813.0,372.0,485.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GS07-150-17_1GC-A,,1.26,,,,13272.0,84.0,84.0,589.0,40.5,40.5,15106.0,347.0,515.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GS07-150-17_1GC-A,,1.31,,,,13817.0,62.0,62.0,606.0,55.0,55.0,15865.0,263.0,244.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GS07-150-17_1GC-A,,1.4,,,,14309.0,76.0,76.0,672.0,51.8,51.8,16489.0,348.0,286.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GS07-150-17_1GC-A,,1.42,,,,14501.0,63.0,63.0,703.0,65.8,65.8,16746.0,275.0,302.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GS07-150-17_1GC-A,,1.55,,,,15818.0,106.0,106.0,722.0,46.800000000000004,46.800000000000004,18451.0,220.0,232.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GS07-150-17_1GC-A,,1.56,,,,16125.0,110.0,110.0,831.0,51.2,51.2,18540.0,267.0,257.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GS07-150-17_1GC-A,,1.62,,,,16783.0,86.0,86.0,781.0,46.800000000000004,46.800000000000004,19315.0,228.0,238.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GS07-150-17_1GC-A,,1.8,,,,19658.0,136.0,136.0,881.0,72.4,72.4,22701.0,276.0,288.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
