Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),97.5_percent(y BP),2.5_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
GS07-150-17_1GC-A,,0,212,,,363.05,-15.025,3,Age model from Skinner et al. 2021,https://doi.org/10.1029/2020PA004074. Calculated with Bchron.,
GS07-150-17_1GC-A,,0.02,650,,,1211.3,486,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
GS07-150-17_1GC-A,,0.04,950.5,,,1759.025,547.975,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
GS07-150-17_1GC-A,,0.06,1248.5,,,2213.05,639.925,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
GS07-150-17_1GC-A,,0.08,1555,,,2666.2,792,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
GS07-150-17_1GC-A,,0.1,1830,,,3072.2,981.9,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
GS07-150-17_1GC-A,,0.12,2124.5,,,3386.125,1140.875,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
GS07-150-17_1GC-A,,0.14,2427.5,,,3717.2,1323.75,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
GS07-150-17_1GC-A,,0.16,2723,,,4066.475,1547.5,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
GS07-150-17_1GC-A,,0.18,3018,,,4392.1,1764.975,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
GS07-150-17_1GC-A,,0.2,3314,,,4766,2006.925,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
GS07-150-17_1GC-A,,0.22,3578,,,5034.9,2258.95,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
GS07-150-17_1GC-A,,0.24,3874,,,5323.45,2543.95,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
GS07-150-17_1GC-A,,0.26,4199,,,5691.25,2700.825,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
GS07-150-17_1GC-A,,0.28,4496.5,,,5972.325,3026.55,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
GS07-150-17_1GC-A,,0.3,4786,,,6262.375,3335.95,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
GS07-150-17_1GC-A,,0.32,5061.5,,,6548.275,3578,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
GS07-150-17_1GC-A,,0.34,5365,,,6750.175,3835.9,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
GS07-150-17_1GC-A,,0.36,5627.5,,,7102.05,4128.775,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
GS07-150-17_1GC-A,,0.38,5936.5,,,7389.075,4446.95,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
GS07-150-17_1GC-A,,0.4,6235.5,,,7655.225,4792.1,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
GS07-150-17_1GC-A,,0.42,6508,,,7899.55,5079.925,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
GS07-150-17_1GC-A,,0.44,6811,,,8131.025,5409.3,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
GS07-150-17_1GC-A,,0.46,7114,,,8301.4,5673.875,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
GS07-150-17_1GC-A,,0.48,7406.5,,,8511.65,6058.575,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
GS07-150-17_1GC-A,,0.5,7712.5,,,8680.175,6410.575,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
GS07-150-17_1GC-A,,0.52,7997,,,8877.15,6705.95,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
GS07-150-17_1GC-A,,0.54,8283,,,9022.125,7243.05,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
GS07-150-17_1GC-A,,0.56,8621,,,9164.025,7653,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
GS07-150-17_1GC-A,,0.58,8917.5,,,9276.175,8172.875,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
GS07-150-17_1GC-A,,0.6,9270,,,9455.025,8912.725,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
GS07-150-17_1GC-A,,0.62,9451.5,,,9720.125,9216.975,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
GS07-150-17_1GC-A,,0.64,9586,,,9900.325,9303.95,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
GS07-150-17_1GC-A,,0.66,9729,,,10019.1,9409.9,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
GS07-150-17_1GC-A,,0.68,9857.5,,,10102,9540.975,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
GS07-150-17_1GC-A,,0.7,10024,,,10231.075,9767.975,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
GS07-150-17_1GC-A,,0.72,10179.5,,,10487.1,9943.925,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
GS07-150-17_1GC-A,,0.74,10289,,,10634,10009.975,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
GS07-150-17_1GC-A,,0.76,10409.5,,,10767.025,10102,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
GS07-150-17_1GC-A,,0.78,10534,,,10876.05,10186.95,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
GS07-150-17_1GC-A,,0.8,10650,,,10964.275,10282.975,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
GS07-150-17_1GC-A,,0.82,10771,,,11054.025,10377.9,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
GS07-150-17_1GC-A,,0.84,10888,,,11129.025,10515.925,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
GS07-150-17_1GC-A,,0.86,11008,,,11185,10690.975,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
GS07-150-17_1GC-A,,0.88,11128.5,,,11220.025,10892.95,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
GS07-150-17_1GC-A,,0.9,11288,,,11507.025,11200.975,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
GS07-150-17_1GC-A,,0.92,11521.5,,,11764.175,11314.975,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
GS07-150-17_1GC-A,,0.94,11732,,,11894.025,11470.925,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
GS07-150-17_1GC-A,,0.96,11989,,,12137.05,11854,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
