Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
GS07-150-17_1GC-A,,0.5,1.02,2.48,1.02,2.48,,,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"d18O: Voigt, I., Cruz, A. P. S., Mulitza, S., Chiessi, C. M., Mackensen, A., Lippold, J., Antz, B., Zabel, M., Zhang, Y., Barbosa, C. F., and Tisserand, A. A.: Variability in mid-depth ventilation of the western Atlantic Ocean during the last deglaciation, Paleoceanography, 32, 948-965, https://doi.org/10.1002/2017PA003095, 2017, d13C: Freeman, E., Skinner, L. C., Tisserand, A., Dokken, T., Timmermann, A., Menviel, L., and Friedrich, T.: An Atlantic-Pacific ventilation seesaw across the last deglaciation, Earth and Planetary Science Letters, 424, 237-244, https://doi.org/10.1016/j.epsl.2015.05.032, 2015.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.875852",1
GS07-150-17_1GC-A,,0.55,1.06,2.37,1.06,2.37,,,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"d18O: Voigt, I., Cruz, A. P. S., Mulitza, S., Chiessi, C. M., Mackensen, A., Lippold, J., Antz, B., Zabel, M., Zhang, Y., Barbosa, C. F., and Tisserand, A. A.: Variability in mid-depth ventilation of the western Atlantic Ocean during the last deglaciation, Paleoceanography, 32, 948-965, https://doi.org/10.1002/2017PA003095, 2017, d13C: Freeman, E., Skinner, L. C., Tisserand, A., Dokken, T., Timmermann, A., Menviel, L., and Friedrich, T.: An Atlantic-Pacific ventilation seesaw across the last deglaciation, Earth and Planetary Science Letters, 424, 237-244, https://doi.org/10.1016/j.epsl.2015.05.032, 2015.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.875852",1
GS07-150-17_1GC-A,,0.6,1.02,2.52,1.02,2.52,,,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"d18O: Voigt, I., Cruz, A. P. S., Mulitza, S., Chiessi, C. M., Mackensen, A., Lippold, J., Antz, B., Zabel, M., Zhang, Y., Barbosa, C. F., and Tisserand, A. A.: Variability in mid-depth ventilation of the western Atlantic Ocean during the last deglaciation, Paleoceanography, 32, 948-965, https://doi.org/10.1002/2017PA003095, 2017, d13C: Freeman, E., Skinner, L. C., Tisserand, A., Dokken, T., Timmermann, A., Menviel, L., and Friedrich, T.: An Atlantic-Pacific ventilation seesaw across the last deglaciation, Earth and Planetary Science Letters, 424, 237-244, https://doi.org/10.1016/j.epsl.2015.05.032, 2015.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.875852",1
GS07-150-17_1GC-A,,0.65,0.99,2.43,0.99,2.43,,,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"d18O: Voigt, I., Cruz, A. P. S., Mulitza, S., Chiessi, C. M., Mackensen, A., Lippold, J., Antz, B., Zabel, M., Zhang, Y., Barbosa, C. F., and Tisserand, A. A.: Variability in mid-depth ventilation of the western Atlantic Ocean during the last deglaciation, Paleoceanography, 32, 948-965, https://doi.org/10.1002/2017PA003095, 2017, d13C: Freeman, E., Skinner, L. C., Tisserand, A., Dokken, T., Timmermann, A., Menviel, L., and Friedrich, T.: An Atlantic-Pacific ventilation seesaw across the last deglaciation, Earth and Planetary Science Letters, 424, 237-244, https://doi.org/10.1016/j.epsl.2015.05.032, 2015.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.875852",1
GS07-150-17_1GC-A,,0.7,0.97,2.49,0.97,2.49,,,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"d18O: Voigt, I., Cruz, A. P. S., Mulitza, S., Chiessi, C. M., Mackensen, A., Lippold, J., Antz, B., Zabel, M., Zhang, Y., Barbosa, C. F., and Tisserand, A. A.: Variability in mid-depth ventilation of the western Atlantic Ocean during the last deglaciation, Paleoceanography, 32, 948-965, https://doi.org/10.1002/2017PA003095, 2017, d13C: Freeman, E., Skinner, L. C., Tisserand, A., Dokken, T., Timmermann, A., Menviel, L., and Friedrich, T.: An Atlantic-Pacific ventilation seesaw across the last deglaciation, Earth and Planetary Science Letters, 424, 237-244, https://doi.org/10.1016/j.epsl.2015.05.032, 2015.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.875852",1
GS07-150-17_1GC-A,,0.75,0.92,2.47,0.92,2.47,,,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"d18O: Voigt, I., Cruz, A. P. S., Mulitza, S., Chiessi, C. M., Mackensen, A., Lippold, J., Antz, B., Zabel, M., Zhang, Y., Barbosa, C. F., and Tisserand, A. A.: Variability in mid-depth ventilation of the western Atlantic Ocean during the last deglaciation, Paleoceanography, 32, 948-965, https://doi.org/10.1002/2017PA003095, 2017, d13C: Freeman, E., Skinner, L. C., Tisserand, A., Dokken, T., Timmermann, A., Menviel, L., and Friedrich, T.: An Atlantic-Pacific ventilation seesaw across the last deglaciation, Earth and Planetary Science Letters, 424, 237-244, https://doi.org/10.1016/j.epsl.2015.05.032, 2015.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.875852",1
GS07-150-17_1GC-A,,0.8,0.96,2.51,0.96,2.51,,,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"d18O: Voigt, I., Cruz, A. P. S., Mulitza, S., Chiessi, C. M., Mackensen, A., Lippold, J., Antz, B., Zabel, M., Zhang, Y., Barbosa, C. F., and Tisserand, A. A.: Variability in mid-depth ventilation of the western Atlantic Ocean during the last deglaciation, Paleoceanography, 32, 948-965, https://doi.org/10.1002/2017PA003095, 2017, d13C: Freeman, E., Skinner, L. C., Tisserand, A., Dokken, T., Timmermann, A., Menviel, L., and Friedrich, T.: An Atlantic-Pacific ventilation seesaw across the last deglaciation, Earth and Planetary Science Letters, 424, 237-244, https://doi.org/10.1016/j.epsl.2015.05.032, 2015.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.875852",1
GS07-150-17_1GC-A,,0.84,0.94,2.42,0.94,2.42,,,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"d18O: Voigt, I., Cruz, A. P. S., Mulitza, S., Chiessi, C. M., Mackensen, A., Lippold, J., Antz, B., Zabel, M., Zhang, Y., Barbosa, C. F., and Tisserand, A. A.: Variability in mid-depth ventilation of the western Atlantic Ocean during the last deglaciation, Paleoceanography, 32, 948-965, https://doi.org/10.1002/2017PA003095, 2017, d13C: Freeman, E., Skinner, L. C., Tisserand, A., Dokken, T., Timmermann, A., Menviel, L., and Friedrich, T.: An Atlantic-Pacific ventilation seesaw across the last deglaciation, Earth and Planetary Science Letters, 424, 237-244, https://doi.org/10.1016/j.epsl.2015.05.032, 2015.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.875852",1
GS07-150-17_1GC-A,,0.9,0.73,2.62,0.73,2.62,,,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"d18O: Voigt, I., Cruz, A. P. S., Mulitza, S., Chiessi, C. M., Mackensen, A., Lippold, J., Antz, B., Zabel, M., Zhang, Y., Barbosa, C. F., and Tisserand, A. A.: Variability in mid-depth ventilation of the western Atlantic Ocean during the last deglaciation, Paleoceanography, 32, 948-965, https://doi.org/10.1002/2017PA003095, 2017, d13C: Freeman, E., Skinner, L. C., Tisserand, A., Dokken, T., Timmermann, A., Menviel, L., and Friedrich, T.: An Atlantic-Pacific ventilation seesaw across the last deglaciation, Earth and Planetary Science Letters, 424, 237-244, https://doi.org/10.1016/j.epsl.2015.05.032, 2015.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.875852",1
GS07-150-17_1GC-A,,0.95,0.47,2.36,0.47,2.36,,,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"d18O: Voigt, I., Cruz, A. P. S., Mulitza, S., Chiessi, C. M., Mackensen, A., Lippold, J., Antz, B., Zabel, M., Zhang, Y., Barbosa, C. F., and Tisserand, A. A.: Variability in mid-depth ventilation of the western Atlantic Ocean during the last deglaciation, Paleoceanography, 32, 948-965, https://doi.org/10.1002/2017PA003095, 2017, d13C: Freeman, E., Skinner, L. C., Tisserand, A., Dokken, T., Timmermann, A., Menviel, L., and Friedrich, T.: An Atlantic-Pacific ventilation seesaw across the last deglaciation, Earth and Planetary Science Letters, 424, 237-244, https://doi.org/10.1016/j.epsl.2015.05.032, 2015.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.875852",1
GS07-150-17_1GC-A,,1.01,0.79,2.82,0.79,2.82,,,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"d18O: Voigt, I., Cruz, A. P. S., Mulitza, S., Chiessi, C. M., Mackensen, A., Lippold, J., Antz, B., Zabel, M., Zhang, Y., Barbosa, C. F., and Tisserand, A. A.: Variability in mid-depth ventilation of the western Atlantic Ocean during the last deglaciation, Paleoceanography, 32, 948-965, https://doi.org/10.1002/2017PA003095, 2017, d13C: Freeman, E., Skinner, L. C., Tisserand, A., Dokken, T., Timmermann, A., Menviel, L., and Friedrich, T.: An Atlantic-Pacific ventilation seesaw across the last deglaciation, Earth and Planetary Science Letters, 424, 237-244, https://doi.org/10.1016/j.epsl.2015.05.032, 2015.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.875852",1
GS07-150-17_1GC-A,,1.06,0.81,2.82,0.81,2.82,,,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"d18O: Voigt, I., Cruz, A. P. S., Mulitza, S., Chiessi, C. M., Mackensen, A., Lippold, J., Antz, B., Zabel, M., Zhang, Y., Barbosa, C. F., and Tisserand, A. A.: Variability in mid-depth ventilation of the western Atlantic Ocean during the last deglaciation, Paleoceanography, 32, 948-965, https://doi.org/10.1002/2017PA003095, 2017, d13C: Freeman, E., Skinner, L. C., Tisserand, A., Dokken, T., Timmermann, A., Menviel, L., and Friedrich, T.: An Atlantic-Pacific ventilation seesaw across the last deglaciation, Earth and Planetary Science Letters, 424, 237-244, https://doi.org/10.1016/j.epsl.2015.05.032, 2015.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.875852",1
