Site,Sample label,sample_depth,technique,lab. code,species/material,radiocarbon_age (y),radiocarbon_age_error_plus (y),radiocarbon_age_error_minus (y),reservoir_age (y),reservoir_age_error_plus (y),reservoir_age_error_minus (y),calendar_age (yBP),calendar_age_error_plus (yBP),calendar_age_error_minus (yBP),calibration curve,alignment target,alignment proxy,note1,note2,original reference,data doi
GeoB12616-4,,0.019999999552965164,,,,,,,,,,8000.0,1860.0,1860.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GeoB12616-4,,0.04,,,,9200.0,45.0,45.0,365.0,51.2,51.2,9926.0,256.0,294.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GeoB12616-4,,0.16,,,,18500.0,110.0,100.0,698.0,59.9,59.9,21628.0,394.0,451.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GeoB12616-4,,0.18000000715255737,,,,,,,,,,15500.0,1100.0,1100.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GeoB12616-4,,0.36,,,,34800.0,710.0,650.0,951.0,122.0,122.0,38701.0,1786.0,1711.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GeoB12616-4,,0.4399999976158142,,,,,,,,,,50500.0,3060.0,3060.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GeoB12616-4,,0.5400000214576721,,,,,,,,,,63500.0,3500.0,3500.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GeoB12616-4,,0.7200000286102295,,,,,,,,,,84500.0,2760.0,2760.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GeoB12616-4,,0.7799999713897705,,,,,,,,,,88000.0,2680.0,2680.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GeoB12616-4,,0.9200000166893005,,,,,,,,,,102000.0,3300.0,3300.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GeoB12616-4,,0.9800000190734863,,,,,,,,,,108500.0,2580.0,2580.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GeoB12616-4,,1.1200000047683716,,,,,,,,,,121500.0,5440.0,5440.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GeoB12616-4,,1.2400000095367432,,,,,,,,,,127000.0,4400.0,4400.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GeoB12616-4,,1.3200000524520874,,,,,,,,,,133500.0,4200.0,4199.999999999985,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GeoB12616-4,,1.4199999570846558,,,,,,,,,,142500.0,3980.0,3980.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
