Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_95_percent(y BP),lower_95_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
GeoB12616-4,,0.04,9958,,,10193,9723,3,Age model calculated by Francesco Muschitiello,BACON.IntCal13,1
GeoB12616-4,,0.05,10916,,,11602,10230,3,Age model calculated by Francesco Muschitiello,BACON.IntCal13,1
GeoB12616-4,,0.06,11875,,,13207,10543,3,Age model calculated by Francesco Muschitiello,BACON.IntCal13,1
GeoB12616-4,,0.07,12833,,,14808,10858,3,Age model calculated by Francesco Muschitiello,BACON.IntCal13,1
GeoB12616-4,,0.08,13792,,,16410,11174,3,Age model calculated by Francesco Muschitiello,BACON.IntCal13,1
GeoB12616-4,,0.09,14750,,,18018,11482,3,Age model calculated by Francesco Muschitiello,BACON.IntCal13,1
GeoB12616-4,,0.1,15718,,,18808,12628,3,Age model calculated by Francesco Muschitiello,BACON.IntCal13,1
GeoB12616-4,,0.11,16690,,,19196,14184,3,Age model calculated by Francesco Muschitiello,BACON.IntCal13,1
GeoB12616-4,,0.12,17663,,,19612,15714,3,Age model calculated by Francesco Muschitiello,BACON.IntCal13,1
GeoB12616-4,,0.13,18635,,,20080,17190,3,Age model calculated by Francesco Muschitiello,BACON.IntCal13,1
GeoB12616-4,,0.14,19608,,,20632,18584,3,Age model calculated by Francesco Muschitiello,BACON.IntCal13,1
GeoB12616-4,,0.15,20568,,,21303,19833,3,Age model calculated by Francesco Muschitiello,BACON.IntCal13,1
GeoB12616-4,,0.16,21503,,,21769,21237,3,Age model calculated by Francesco Muschitiello,BACON.IntCal13,1
GeoB12616-4,,0.17,22439,,,23418,21460,3,Age model calculated by Francesco Muschitiello,BACON.IntCal13,1
GeoB12616-4,,0.18,23375,,,25273,21477,3,Age model calculated by Francesco Muschitiello,BACON.IntCal13,1
GeoB12616-4,,0.19,24310,,,27108,21512,3,Age model calculated by Francesco Muschitiello,BACON.IntCal13,1
GeoB12616-4,,0.2,25246,,,28949,21543,3,Age model calculated by Francesco Muschitiello,BACON.IntCal13,1
GeoB12616-4,,0.21,26088,,,29752,22424,3,Age model calculated by Francesco Muschitiello,BACON.IntCal13,1
GeoB12616-4,,0.22,26929,,,30666,23192,3,Age model calculated by Francesco Muschitiello,BACON.IntCal13,1
GeoB12616-4,,0.23,27771,,,31734,23808,3,Age model calculated by Francesco Muschitiello,BACON.IntCal13,1
GeoB12616-4,,0.24,28613,,,32863,24363,3,Age model calculated by Francesco Muschitiello,BACON.IntCal13,1
GeoB12616-4,,0.25,29455,,,34081,24829,3,Age model calculated by Francesco Muschitiello,BACON.IntCal13,1
GeoB12616-4,,0.26,30274,,,34862,25686,3,Age model calculated by Francesco Muschitiello,BACON.IntCal13,1
GeoB12616-4,,0.27,31081,,,35302,26860,3,Age model calculated by Francesco Muschitiello,BACON.IntCal13,1
GeoB12616-4,,0.28,31888,,,35804,27972,3,Age model calculated by Francesco Muschitiello,BACON.IntCal13,1
GeoB12616-4,,0.29,32696,,,36448,28944,3,Age model calculated by Francesco Muschitiello,BACON.IntCal13,1
GeoB12616-4,,0.3,33503,,,37249,29757,3,Age model calculated by Francesco Muschitiello,BACON.IntCal13,1
GeoB12616-4,,0.31,34304,,,37956,30652,3,Age model calculated by Francesco Muschitiello,BACON.IntCal13,1
GeoB12616-4,,0.32,35093,,,38212,31974,3,Age model calculated by Francesco Muschitiello,BACON.IntCal13,1
GeoB12616-4,,0.33,35881,,,38528,33234,3,Age model calculated by Francesco Muschitiello,BACON.IntCal13,1
GeoB12616-4,,0.34,36669,,,38974,34364,3,Age model calculated by Francesco Muschitiello,BACON.IntCal13,1
GeoB12616-4,,0.35,37458,,,39436,35480,3,Age model calculated by Francesco Muschitiello,BACON.IntCal13,1
