Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
GeoB13731-1,,0.03,0.119008,1.34,0.119008,1.34,,,,Cibicidoides kullenbergi,2,,,,,From Mulitza et al. 2022 ESSD compilation,"d18O, 14C: Fink, H. G., Wienberg, C., Pol-Holz, R. de, Wintersteller, P., and Hebbeln, D.: Cold-water coral growth in the Alboran Sea related to high productivity during the Late Pleistocene and Holocene, Marine Geology, 339, 71-82, doi:10.1016/j.margeo.2013.04.009, 2013., d13C: Wang, H., Lo Iacono, C., Wienberg, C., Titschack, J., and Hebbeln, D.: Cold-water coral mounds in the southern Alboran Sea (western Mediterranean Sea): Internal waves as an important driver for mound formation since the last deglaciation, Marine Geology, 412, 1-18, doi:10.1016/j.margeo.2019.02.007, 2019.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.819094, https://doi.org/10.1594/PANGAEA.905903",1
GeoB13731-1,,0.08,0.364046,1.44,0.364046,1.44,,,,Cibicidoides kullenbergi,2,,,,,From Mulitza et al. 2022 ESSD compilation,"d18O, 14C: Fink, H. G., Wienberg, C., Pol-Holz, R. de, Wintersteller, P., and Hebbeln, D.: Cold-water coral growth in the Alboran Sea related to high productivity during the Late Pleistocene and Holocene, Marine Geology, 339, 71-82, doi:10.1016/j.margeo.2013.04.009, 2013., d13C: Wang, H., Lo Iacono, C., Wienberg, C., Titschack, J., and Hebbeln, D.: Cold-water coral mounds in the southern Alboran Sea (western Mediterranean Sea): Internal waves as an important driver for mound formation since the last deglaciation, Marine Geology, 412, 1-18, doi:10.1016/j.margeo.2019.02.007, 2019.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.819094, https://doi.org/10.1594/PANGAEA.905903",1
GeoB13731-1,,0.13,0.247744,1.34,0.247744,1.34,,,,Cibicidoides kullenbergi,2,,,,,From Mulitza et al. 2022 ESSD compilation,"d18O, 14C: Fink, H. G., Wienberg, C., Pol-Holz, R. de, Wintersteller, P., and Hebbeln, D.: Cold-water coral growth in the Alboran Sea related to high productivity during the Late Pleistocene and Holocene, Marine Geology, 339, 71-82, doi:10.1016/j.margeo.2013.04.009, 2013., d13C: Wang, H., Lo Iacono, C., Wienberg, C., Titschack, J., and Hebbeln, D.: Cold-water coral mounds in the southern Alboran Sea (western Mediterranean Sea): Internal waves as an important driver for mound formation since the last deglaciation, Marine Geology, 412, 1-18, doi:10.1016/j.margeo.2019.02.007, 2019.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.819094, https://doi.org/10.1594/PANGAEA.905903",1
GeoB13731-1,,0.18,0.469046,1.56,0.469046,1.56,,,,Cibicidoides kullenbergi,2,,,,,From Mulitza et al. 2022 ESSD compilation,"d18O, 14C: Fink, H. G., Wienberg, C., Pol-Holz, R. de, Wintersteller, P., and Hebbeln, D.: Cold-water coral growth in the Alboran Sea related to high productivity during the Late Pleistocene and Holocene, Marine Geology, 339, 71-82, doi:10.1016/j.margeo.2013.04.009, 2013., d13C: Wang, H., Lo Iacono, C., Wienberg, C., Titschack, J., and Hebbeln, D.: Cold-water coral mounds in the southern Alboran Sea (western Mediterranean Sea): Internal waves as an important driver for mound formation since the last deglaciation, Marine Geology, 412, 1-18, doi:10.1016/j.margeo.2019.02.007, 2019.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.819094, https://doi.org/10.1594/PANGAEA.905903",1
GeoB13731-1,,0.23,0.537791,1.59,0.537791,1.59,,,,Cibicidoides kullenbergi,2,,,,,From Mulitza et al. 2022 ESSD compilation,"d18O, 14C: Fink, H. G., Wienberg, C., Pol-Holz, R. de, Wintersteller, P., and Hebbeln, D.: Cold-water coral growth in the Alboran Sea related to high productivity during the Late Pleistocene and Holocene, Marine Geology, 339, 71-82, doi:10.1016/j.margeo.2013.04.009, 2013., d13C: Wang, H., Lo Iacono, C., Wienberg, C., Titschack, J., and Hebbeln, D.: Cold-water coral mounds in the southern Alboran Sea (western Mediterranean Sea): Internal waves as an important driver for mound formation since the last deglaciation, Marine Geology, 412, 1-18, doi:10.1016/j.margeo.2019.02.007, 2019.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.819094, https://doi.org/10.1594/PANGAEA.905903",1
GeoB13731-1,,0.28,0.371196,1.48,0.371196,1.48,,,,Cibicidoides kullenbergi,2,,,,,From Mulitza et al. 2022 ESSD compilation,"d18O, 14C: Fink, H. G., Wienberg, C., Pol-Holz, R. de, Wintersteller, P., and Hebbeln, D.: Cold-water coral growth in the Alboran Sea related to high productivity during the Late Pleistocene and Holocene, Marine Geology, 339, 71-82, doi:10.1016/j.margeo.2013.04.009, 2013., d13C: Wang, H., Lo Iacono, C., Wienberg, C., Titschack, J., and Hebbeln, D.: Cold-water coral mounds in the southern Alboran Sea (western Mediterranean Sea): Internal waves as an important driver for mound formation since the last deglaciation, Marine Geology, 412, 1-18, doi:10.1016/j.margeo.2019.02.007, 2019.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.819094, https://doi.org/10.1594/PANGAEA.905903",1
GeoB13731-1,,0.33,0.296708,1.39,0.296708,1.39,,,,Cibicidoides kullenbergi,2,,,,,From Mulitza et al. 2022 ESSD compilation,"d18O, 14C: Fink, H. G., Wienberg, C., Pol-Holz, R. de, Wintersteller, P., and Hebbeln, D.: Cold-water coral growth in the Alboran Sea related to high productivity during the Late Pleistocene and Holocene, Marine Geology, 339, 71-82, doi:10.1016/j.margeo.2013.04.009, 2013., d13C: Wang, H., Lo Iacono, C., Wienberg, C., Titschack, J., and Hebbeln, D.: Cold-water coral mounds in the southern Alboran Sea (western Mediterranean Sea): Internal waves as an important driver for mound formation since the last deglaciation, Marine Geology, 412, 1-18, doi:10.1016/j.margeo.2019.02.007, 2019.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.819094, https://doi.org/10.1594/PANGAEA.905903",1
GeoB13731-1,,0.38,0.352949,1.29,0.352949,1.29,,,,Cibicidoides kullenbergi,2,,,,,From Mulitza et al. 2022 ESSD compilation,"d18O, 14C: Fink, H. G., Wienberg, C., Pol-Holz, R. de, Wintersteller, P., and Hebbeln, D.: Cold-water coral growth in the Alboran Sea related to high productivity during the Late Pleistocene and Holocene, Marine Geology, 339, 71-82, doi:10.1016/j.margeo.2013.04.009, 2013., d13C: Wang, H., Lo Iacono, C., Wienberg, C., Titschack, J., and Hebbeln, D.: Cold-water coral mounds in the southern Alboran Sea (western Mediterranean Sea): Internal waves as an important driver for mound formation since the last deglaciation, Marine Geology, 412, 1-18, doi:10.1016/j.margeo.2019.02.007, 2019.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.819094, https://doi.org/10.1594/PANGAEA.905903",1
GeoB13731-1,,0.43,0.512842,1.56,0.512842,1.56,,,,Cibicidoides kullenbergi,2,,,,,From Mulitza et al. 2022 ESSD compilation,"d18O, 14C: Fink, H. G., Wienberg, C., Pol-Holz, R. de, Wintersteller, P., and Hebbeln, D.: Cold-water coral growth in the Alboran Sea related to high productivity during the Late Pleistocene and Holocene, Marine Geology, 339, 71-82, doi:10.1016/j.margeo.2013.04.009, 2013., d13C: Wang, H., Lo Iacono, C., Wienberg, C., Titschack, J., and Hebbeln, D.: Cold-water coral mounds in the southern Alboran Sea (western Mediterranean Sea): Internal waves as an important driver for mound formation since the last deglaciation, Marine Geology, 412, 1-18, doi:10.1016/j.margeo.2019.02.007, 2019.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.819094, https://doi.org/10.1594/PANGAEA.905903",1
GeoB13731-1,,0.48,0.303733,1.48,0.303733,1.48,,,,Cibicidoides kullenbergi,2,,,,,From Mulitza et al. 2022 ESSD compilation,"d18O, 14C: Fink, H. G., Wienberg, C., Pol-Holz, R. de, Wintersteller, P., and Hebbeln, D.: Cold-water coral growth in the Alboran Sea related to high productivity during the Late Pleistocene and Holocene, Marine Geology, 339, 71-82, doi:10.1016/j.margeo.2013.04.009, 2013., d13C: Wang, H., Lo Iacono, C., Wienberg, C., Titschack, J., and Hebbeln, D.: Cold-water coral mounds in the southern Alboran Sea (western Mediterranean Sea): Internal waves as an important driver for mound formation since the last deglaciation, Marine Geology, 412, 1-18, doi:10.1016/j.margeo.2019.02.007, 2019.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.819094, https://doi.org/10.1594/PANGAEA.905903",1
