Site,Sample_label,hole_label,section_label,published_archival_depth (m),current_depth_model (m),current_depth_model_note,ODP SAMPLE Inventory:: DEPTH(mid) (m),ODP SAMPLE Inventory:: MBSF(mid) (m),ODP SAMPLE Inventory:: MCD(mid) (m),ODP SAMPLE Inventory:: CCSF(mid) (m),depth_model_1 (m),depth_model_note_1,older_depth_model_2 (m)
GeoB1515-1,,,,0.03,0.03,,,,,,0.03,,
GeoB1515-1,,,,0.05,0.05,,,,,,0.05,,
GeoB1515-1,,,,0.065,0.065,,,,,,0.065,,
GeoB1515-1,,,,0.08,0.08,,,,,,0.08,,
GeoB1515-1,,,,0.1,0.1,,,,,,0.1,,
GeoB1515-1,,,,0.15,0.15,,,,,,0.15,,
GeoB1515-1,,,,0.165,0.165,,,,,,0.165,,
GeoB1515-1,,,,0.18,0.18,,,,,,0.18,,
GeoB1515-1,,,,0.23,0.23,,,,,,0.23,,
GeoB1515-1,,,,0.245,0.245,,,,,,0.245,,
GeoB1515-1,,,,0.26,0.26,,,,,,0.26,,
GeoB1515-1,,,,0.28,0.28,,,,,,0.28,,
GeoB1515-1,,,,0.3,0.3,,,,,,0.3,,
GeoB1515-1,,,,0.36,0.36,,,,,,0.36,,
GeoB1515-1,,,,0.38,0.38,,,,,,0.38,,
GeoB1515-1,,,,0.4,0.4,,,,,,0.4,,
GeoB1515-1,,,,0.43,0.43,,,,,,0.43,,
GeoB1515-1,,,,0.445,0.445,,,,,,0.445,,
GeoB1515-1,,,,0.46,0.46,,,,,,0.46,,
GeoB1515-1,,,,0.48,0.48,,,,,,0.48,,
GeoB1515-1,,,,0.5,0.5,,,,,,0.5,,
GeoB1515-1,,,,0.545,0.545,,,,,,0.545,,
GeoB1515-1,,,,0.56,0.56,,,,,,0.56,,
GeoB1515-1,,,,0.58,0.58,,,,,,0.58,,
GeoB1515-1,,,,0.63,0.63,,,,,,0.63,,
GeoB1515-1,,,,0.665,0.665,,,,,,0.665,,
GeoB1515-1,,,,0.68,0.68,,,,,,0.68,,
GeoB1515-1,,,,0.7,0.7,,,,,,0.7,,
GeoB1515-1,,,,0.745,0.745,,,,,,0.745,,
GeoB1515-1,,,,0.765,0.765,,,,,,0.765,,
GeoB1515-1,,,,0.78,0.78,,,,,,0.78,,
GeoB1515-1,,,,0.83,0.83,,,,,,0.83,,
GeoB1515-1,,,,0.845,0.845,,,,,,0.845,,
GeoB1515-1,,,,0.865,0.865,,,,,,0.865,,
GeoB1515-1,,,,0.88,0.88,,,,,,0.88,,
GeoB1515-1,,,,0.9,0.9,,,,,,0.9,,
GeoB1515-1,,,,0.93,0.93,,,,,,0.93,,
GeoB1515-1,,,,0.965,0.965,,,,,,0.965,,
GeoB1515-1,,,,0.98,0.98,,,,,,0.98,,
GeoB1515-1,,,,1.0,1.0,,,,,,1.0,,
GeoB1515-1,,,,1.015,1.015,,,,,,1.015,,
GeoB1515-1,,,,1.03,1.03,,,,,,1.03,,
GeoB1515-1,,,,1.045,1.045,,,,,,1.045,,
GeoB1515-1,,,,1.065,1.065,,,,,,1.065,,
GeoB1515-1,,,,1.08,1.08,,,,,,1.08,,
GeoB1515-1,,,,1.095,1.095,,,,,,1.095,,
GeoB1515-1,,,,1.11,1.11,,,,,,1.11,,
GeoB1515-1,,,,1.13,1.13,,,,,,1.13,,
GeoB1515-1,,,,1.165,1.165,,,,,,1.165,,
GeoB1515-1,,,,1.18,1.18,,,,,,1.18,,
GeoB1515-1,,,,1.2,1.2,,,,,,1.2,,
GeoB1515-1,,,,1.245,1.245,,,,,,1.245,,
GeoB1515-1,,,,1.265,1.265,,,,,,1.265,,
GeoB1515-1,,,,1.28,1.28,,,,,,1.28,,
GeoB1515-1,,,,1.295,1.295,,,,,,1.295,,
GeoB1515-1,,,,1.315,1.315,,,,,,1.315,,
GeoB1515-1,,,,1.33,1.33,,,,,,1.33,,
GeoB1515-1,,,,1.345,1.345,,,,,,1.345,,
GeoB1515-1,,,,1.365,1.365,,,,,,1.365,,
