Site,Sample label,sample_depth,technique,lab. code,species/material,radiocarbon_age (y),radiocarbon_age_error_plus (y),radiocarbon_age_error_minus (y),reservoir_age (y),reservoir_age_error_plus (y),reservoir_age_error_minus (y),calendar_age (yBP),calendar_age_error_plus (yBP),calendar_age_error_minus (yBP),calibration curve,alignment target,alignment proxy,note1,note2,original reference,data doi
GeoB16202-2,,0.06,,Poz49086,G. ruber/G. sacculifer,1720,35,35,550,100,100,1037,139,97,SHCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
GeoB16202-2,,0.5,,Poz52734,G. ruber/G. sacculifer,5695,35,35,550,100,100,5803,113,93,SHCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
GeoB16202-2,,1.05,,Poz52735,G. ruber/G. sacculifer,8170,50,50,550,100,100,8320,92,43,SHCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
GeoB16202-2,,1.7,,Poz52736,G. ruber/G. sacculifer,10150,80,80,550,100,100,10847,232,73,SHCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
GeoB16202-2,,2.0,,Poz49087,G. ruber/G. sacculifer,10620,60,60,550,100,100,11490,138,223,SHCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
GeoB16202-2,,2.75,,Poz52737,G. ruber/G. sacculifer,11610,60,60,550,200,200,12882,194,147,SHCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
GeoB16202-2,,3.1,,Poz52496,G. ruber/G. sacculifer,12770,60,60,550,200,200,14015,262,278,SHCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
GeoB16202-2,,4.0,,Poz49088,G. ruber/G. sacculifer,13950,80,80,550,200,200,15859,319,286,SHCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
GeoB16202-2,,5.0,,Poz52497,G. ruber/G. sacculifer,14450,110,110,550,200,200,16553,346,290,SHCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
GeoB16202-2,,6.0,,Poz49100,G. ruber/G. sacculifer,14920,80,80,550,200,200,17175,265,313,SHCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
GeoB16202-2,,6.7,,Poz52498,G. ruber/G. sacculifer,15480,70,70,550,200,200,17883,318,192,SHCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
GeoB16202-2,,7.15,,Poz52500,G. ruber/G. sacculifer,18010,90,90,550,200,200,20746,227,275,SHCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
GeoB16202-2,,7.55,,Poz52738,G. ruber/G. sacculifer,20220,100,100,550,200,200,23370,354,171,SHCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
