Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_95_percent(y BP),lower_95_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
GeoB16202-2,,0.06,1048.0,1171.0,939.0,1275.0,819.0,3,Age model from Waelbroeck et al. 2019 (IntCal20),,1
GeoB16202-2,,0.07,1149.0,1281.0,1033.0,1393.0,910.0,3,Age model from Waelbroeck et al. 2019 (IntCal20),,1
GeoB16202-2,,0.08,1260.0,1400.0,1131.0,1540.0,1008.0,3,Age model from Waelbroeck et al. 2019 (IntCal20),,1
GeoB16202-2,,0.09,1364.0,1523.0,1224.0,1704.0,1087.0,3,Age model from Waelbroeck et al. 2019 (IntCal20),,1
GeoB16202-2,,0.1,1471.0,1653.0,1313.0,1880.0,1160.0,3,Age model from Waelbroeck et al. 2019 (IntCal20),,1
GeoB16202-2,,0.11,1578.0,1787.0,1398.0,2064.0,1230.0,3,Age model from Waelbroeck et al. 2019 (IntCal20),,1
GeoB16202-2,,0.12,1684.0,1926.0,1481.0,2256.0,1294.0,3,Age model from Waelbroeck et al. 2019 (IntCal20),,1
GeoB16202-2,,0.13,1789.0,2065.0,1564.0,2443.0,1358.0,3,Age model from Waelbroeck et al. 2019 (IntCal20),,1
GeoB16202-2,,0.14,1894.0,2205.0,1643.0,2632.0,1418.0,3,Age model from Waelbroeck et al. 2019 (IntCal20),,1
GeoB16202-2,,0.15,1998.0,2345.0,1721.0,2830.0,1477.0,3,Age model from Waelbroeck et al. 2019 (IntCal20),,1
GeoB16202-2,,0.16,2105.0,2488.0,1803.0,3027.0,1534.0,3,Age model from Waelbroeck et al. 2019 (IntCal20),,1
GeoB16202-2,,0.17,2209.0,2631.0,1881.0,3217.0,1592.0,3,Age model from Waelbroeck et al. 2019 (IntCal20),,1
GeoB16202-2,,0.18,2314.0,2771.0,1960.0,3393.0,1648.0,3,Age model from Waelbroeck et al. 2019 (IntCal20),,1
GeoB16202-2,,0.19,2420.0,2913.0,2039.0000000000002,3568.0,1710.0,3,Age model from Waelbroeck et al. 2019 (IntCal20),,1
GeoB16202-2,,0.2,2525.0,3053.0,2115.0,3729.0,1769.0,3,Age model from Waelbroeck et al. 2019 (IntCal20),,1
GeoB16202-2,,0.21,2630.0,3190.0,2192.0,3864.0,1823.0,3,Age model from Waelbroeck et al. 2019 (IntCal20),,1
GeoB16202-2,,0.22,2736.0,3325.0,2271.0,3979.0,1880.0,3,Age model from Waelbroeck et al. 2019 (IntCal20),,1
GeoB16202-2,,0.23,2840.0,3453.0,2348.0,4080.0,1939.0,3,Age model from Waelbroeck et al. 2019 (IntCal20),,1
GeoB16202-2,,0.24,2946.0,3577.0,2426.0,4178.0,1996.0,3,Age model from Waelbroeck et al. 2019 (IntCal20),,1
GeoB16202-2,,0.25,3051.0,3695.0,2504.0,4259.0,2052.0,3,Age model from Waelbroeck et al. 2019 (IntCal20),,1
GeoB16202-2,,0.26,3158.0,3798.0,2584.0,4341.0,2108.0,3,Age model from Waelbroeck et al. 2019 (IntCal20),,1
GeoB16202-2,,0.27,3267.0,3898.0,2666.0,4411.0,2163.0,3,Age model from Waelbroeck et al. 2019 (IntCal20),,1
GeoB16202-2,,0.28,3374.0,3992.0,2750.0,4484.0,2219.0,3,Age model from Waelbroeck et al. 2019 (IntCal20),,1
GeoB16202-2,,0.29,3482.0,4083.0,2836.0,4550.0,2275.0,3,Age model from Waelbroeck et al. 2019 (IntCal20),,1
GeoB16202-2,,0.3,3590.0,4169.0,2930.0,4612.0,2333.0,3,Age model from Waelbroeck et al. 2019 (IntCal20),,1
GeoB16202-2,,0.31,3700.0,4252.0,3028.0,4676.0,2391.0,3,Age model from Waelbroeck et al. 2019 (IntCal20),,1
GeoB16202-2,,0.32,3809.0,4335.0,3132.0,4739.0,2463.0,3,Age model from Waelbroeck et al. 2019 (IntCal20),,1
GeoB16202-2,,0.33,3918.0,4417.0,3244.0,4799.0,2525.0,3,Age model from Waelbroeck et al. 2019 (IntCal20),,1
GeoB16202-2,,0.34,4027.9999999999995,4500.0,3363.0,4863.0,2587.0,3,Age model from Waelbroeck et al. 2019 (IntCal20),,1
GeoB16202-2,,0.35,4138.0,4584.0,3493.0,4927.0,2666.0,3,Age model from Waelbroeck et al. 2019 (IntCal20),,1
GeoB16202-2,,0.36,4248.0,4667.0,3630.0,4993.0,2754.0,3,Age model from Waelbroeck et al. 2019 (IntCal20),,1
GeoB16202-2,,0.37,4360.0,4751.0,3769.0,5058.0,2831.0,3,Age model from Waelbroeck et al. 2019 (IntCal20),,1
GeoB16202-2,,0.38,4469.0,4832.0,3916.0,5123.0,2898.0,3,Age model from Waelbroeck et al. 2019 (IntCal20),,1
GeoB16202-2,,0.39,4579.0,4916.0,4062.9999999999995,5187.0,2989.0,3,Age model from Waelbroeck et al. 2019 (IntCal20),,1
GeoB16202-2,,0.4,4690.0,4998.0,4213.0,5249.0,3066.0,3,Age model from Waelbroeck et al. 2019 (IntCal20),,1
GeoB16202-2,,0.41,4797.0,5083.0,4368.0,5313.0,3145.0,3,Age model from Waelbroeck et al. 2019 (IntCal20),,1
GeoB16202-2,,0.42,4907.0,5164.0,4521.0,5379.0,3234.0,3,Age model from Waelbroeck et al. 2019 (IntCal20),,1
GeoB16202-2,,0.43,5017.0,5246.0,4669.0,5449.0,3316.0,3,Age model from Waelbroeck et al. 2019 (IntCal20),,1
GeoB16202-2,,0.44,5125.0,5333.0,4823.0,5518.0,3384.0,3,Age model from Waelbroeck et al. 2019 (IntCal20),,1
GeoB16202-2,,0.45,5233.0,5420.0,4970.0,5591.0,3446.0,3,Age model from Waelbroeck et al. 2019 (IntCal20),,1
GeoB16202-2,,0.46,5343.0,5509.0,5119.0,5662.0,3509.0,3,Age model from Waelbroeck et al. 2019 (IntCal20),,1
GeoB16202-2,,0.47,5453.0,5601.0,5262.0,5742.0,3571.0,3,Age model from Waelbroeck et al. 2019 (IntCal20),,1
GeoB16202-2,,0.48,5562.0,5699.0,5397.0,5826.0,3635.0,3,Age model from Waelbroeck et al. 2019 (IntCal20),,1
