Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_97.5_percent(y BP),lower_97.5_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
GeoB16206-1,,0.06,603.3024291992,,,1889.3781738281,642.3781738281,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 AMS, bacon, pdv",1
GeoB16206-1,,0.07,736.7199707031,,,1949.7062988281,738.7062988281,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 AMS, bacon, pdv",1
GeoB16206-1,,0.08,870.1337280273,,,2001.0341796875,838.0342407227,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 AMS, bacon, pdv",1
GeoB16206-1,,0.09,1003.5477294922,,,2067.3623046875,938.3621826172,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 AMS, bacon, pdv",1
GeoB16206-1,,0.1,1136.9626464844,,,2140.6901855469,1054.6901855469,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 AMS, bacon, pdv",1
GeoB16206-1,,0.11,1270.3824462891,,,2217.5732421875,1184.5732421875,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 AMS, bacon, pdv",1
GeoB16206-1,,0.12,1403.7951660156,,,2332.7131347656,1331.7131347656,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 AMS, bacon, pdv",1
GeoB16206-1,,0.13,1537.2147216797,,,2467.3186035156,1485.3186035156,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 AMS, bacon, pdv",1
GeoB16206-1,,0.14,1670.6243896484,,,2640.4362792969,1622.4362792969,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 AMS, bacon, pdv",1
GeoB16206-1,,0.15,1804.0432128906,,,2867.5537109375,1759.5537109375,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 AMS, bacon, pdv",1
GeoB16206-1,,0.16,1937.4598388672,,,3145.6713867188,1886.6713867188,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 AMS, bacon, pdv",1
GeoB16206-1,,0.17,2060.6323242188,,,3269.7358398438,2005.7357177734,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 AMS, bacon, pdv",1
GeoB16206-1,,0.18,2183.2626953125,,,3423.2080078125,2127.2080078125,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 AMS, bacon, pdv",1
GeoB16206-1,,0.19,2305.8967285156,,,3601.6801757813,2253.6801757813,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 AMS, bacon, pdv",1
GeoB16206-1,,0.2,2428.5258789063,,,3830.1525878906,2377.1525878906,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 AMS, bacon, pdv",1
GeoB16206-1,,0.21,2551.1564941406,,,4088.3601074219,2505.3601074219,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 AMS, bacon, pdv",1
GeoB16206-1,,0.22,2670.8134765625,,,4216.3618164063,2627.3618164063,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 AMS, bacon, pdv",1
GeoB16206-1,,0.23,2790.2250976563,,,4342.908203125,2750.9079589844,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 AMS, bacon, pdv",1
GeoB16206-1,,0.24,2909.6320800781,,,4492.4541015625,2865.4541015625,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 AMS, bacon, pdv",1
GeoB16206-1,,0.25,3029.0437011719,,,4672.7114257813,2986.7114257813,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 AMS, bacon, pdv",1
GeoB16206-1,,0.26,3148.4633789063,,,4862.2397460938,3101.2397460938,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 AMS, bacon, pdv",1
GeoB16206-1,,0.27,3260.4008789063,,,4958.81640625,3216.81640625,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 AMS, bacon, pdv",1
GeoB16206-1,,0.28,3371.4968261719,,,5025.8564453125,3336.8564453125,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 AMS, bacon, pdv",1
GeoB16206-1,,0.29,3482.5947265625,,,5106.8623046875,3454.8623046875,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 AMS, bacon, pdv",1
GeoB16206-1,,0.3,3593.6928710938,,,5209.8681640625,3570.8681640625,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 AMS, bacon, pdv",1
GeoB16206-1,,0.31,3704.7912597656,,,5326.8740234375,3681.8740234375,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 AMS, bacon, pdv",1
GeoB16206-1,,0.32,3811.98828125,,,5408.8955078125,3788.8955078125,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 AMS, bacon, pdv",1
GeoB16206-1,,0.33,3918.63671875,,,5487.1220703125,3893.1220703125,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 AMS, bacon, pdv",1
GeoB16206-1,,0.34,4025.2915039063,,,5557.3486328125,4003.3488769531,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 AMS, bacon, pdv",1
GeoB16206-1,,0.35,4131.9521484375,,,5639.5751953125,4117.5751953125,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 AMS, bacon, pdv",1
GeoB16206-1,,0.36,4238.5981445313,,,5745.8017578125,4230.8017578125,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 AMS, bacon, pdv",1
GeoB16206-1,,0.37,4354.7192382813,,,5819.78125,4345.78125,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 AMS, bacon, pdv",1
GeoB16206-1,,0.38,4472.5209960938,,,5887.4853515625,4466.4853515625,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 AMS, bacon, pdv",1
GeoB16206-1,,0.39,4590.3325195313,,,5993.095703125,4594.095703125,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 AMS, bacon, pdv",1
GeoB16206-1,,0.4,4708.1357421875,,,6148.70703125,4718.70703125,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 AMS, bacon, pdv",1
GeoB16206-1,,0.41,4825.943359375,,,6311.3173828125,4841.3173828125,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 AMS, bacon, pdv",1
GeoB16206-1,,0.42,4930.4130859375,,,6400.69921875,4950.69921875,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 AMS, bacon, pdv",1
GeoB16206-1,,0.43,5032.021484375,,,6479.9248046875,5052.9248046875,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 AMS, bacon, pdv",1
GeoB16206-1,,0.44,5133.640625,,,6562.1494140625,5160.1494140625,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 AMS, bacon, pdv",1
GeoB16206-1,,0.45,5235.259765625,,,6657.3745117188,5262.3745117188,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 AMS, bacon, pdv",1
