Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
GeoB16224-1,,0.04,1.2,2.92,1.2,2.92,1-5,125,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Voigt, Ines; Cruz, Anna Paula Soares; Mulitza, Stefan; Chiessi, Cristiano Mazur; Mackensen, Andreas; Lippold, J�rg; Antz, Benny; Zabel, Matthias; Zhang, Yancheng; Barbosa, Catia F; Tisserand, Amandine (2017): (Supplementary Table 1) Stable isotopes of sediment core GeoB16224-1. PANGAEA, https://doi.org/10.1594/PANGAEA.875796,",,"https://doi.org/10.1594/PANGAEA.875796,",1
GeoB16224-1,,0.06,1.21,2.79,1.21,2.79,1-5,125,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Voigt, Ines; Cruz, Anna Paula Soares; Mulitza, Stefan; Chiessi, Cristiano Mazur; Mackensen, Andreas; Lippold, J�rg; Antz, Benny; Zabel, Matthias; Zhang, Yancheng; Barbosa, Catia F; Tisserand, Amandine (2017): (Supplementary Table 1) Stable isotopes of sediment core GeoB16224-1. PANGAEA, https://doi.org/10.1594/PANGAEA.875796,",,"https://doi.org/10.1594/PANGAEA.875796,",1
GeoB16224-1,,0.08,1.16,2.73,1.16,2.73,1-5,125,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Voigt, Ines; Cruz, Anna Paula Soares; Mulitza, Stefan; Chiessi, Cristiano Mazur; Mackensen, Andreas; Lippold, J�rg; Antz, Benny; Zabel, Matthias; Zhang, Yancheng; Barbosa, Catia F; Tisserand, Amandine (2017): (Supplementary Table 1) Stable isotopes of sediment core GeoB16224-1. PANGAEA, https://doi.org/10.1594/PANGAEA.875796,",,"https://doi.org/10.1594/PANGAEA.875796,",1
GeoB16224-1,,0.12,1.02,2.84,1.02,2.84,1-5,125,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Voigt, Ines; Cruz, Anna Paula Soares; Mulitza, Stefan; Chiessi, Cristiano Mazur; Mackensen, Andreas; Lippold, J�rg; Antz, Benny; Zabel, Matthias; Zhang, Yancheng; Barbosa, Catia F; Tisserand, Amandine (2017): (Supplementary Table 1) Stable isotopes of sediment core GeoB16224-1. PANGAEA, https://doi.org/10.1594/PANGAEA.875796,",,"https://doi.org/10.1594/PANGAEA.875796,",1
GeoB16224-1,,0.14,1.32,2.61,1.32,2.61,1-5,125,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Voigt, Ines; Cruz, Anna Paula Soares; Mulitza, Stefan; Chiessi, Cristiano Mazur; Mackensen, Andreas; Lippold, J�rg; Antz, Benny; Zabel, Matthias; Zhang, Yancheng; Barbosa, Catia F; Tisserand, Amandine (2017): (Supplementary Table 1) Stable isotopes of sediment core GeoB16224-1. PANGAEA, https://doi.org/10.1594/PANGAEA.875796,",,"https://doi.org/10.1594/PANGAEA.875796,",1
GeoB16224-1,,0.16,1.35,2.71,1.35,2.71,1-5,125,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Voigt, Ines; Cruz, Anna Paula Soares; Mulitza, Stefan; Chiessi, Cristiano Mazur; Mackensen, Andreas; Lippold, J�rg; Antz, Benny; Zabel, Matthias; Zhang, Yancheng; Barbosa, Catia F; Tisserand, Amandine (2017): (Supplementary Table 1) Stable isotopes of sediment core GeoB16224-1. PANGAEA, https://doi.org/10.1594/PANGAEA.875796,",,"https://doi.org/10.1594/PANGAEA.875796,",1
GeoB16224-1,,0.18,1.2,2.86,1.2,2.86,1-5,125,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Voigt, Ines; Cruz, Anna Paula Soares; Mulitza, Stefan; Chiessi, Cristiano Mazur; Mackensen, Andreas; Lippold, J�rg; Antz, Benny; Zabel, Matthias; Zhang, Yancheng; Barbosa, Catia F; Tisserand, Amandine (2017): (Supplementary Table 1) Stable isotopes of sediment core GeoB16224-1. PANGAEA, https://doi.org/10.1594/PANGAEA.875796,",,"https://doi.org/10.1594/PANGAEA.875796,",1
GeoB16224-1,,0.22,1.18,2.76,1.18,2.76,1-5,125,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Voigt, Ines; Cruz, Anna Paula Soares; Mulitza, Stefan; Chiessi, Cristiano Mazur; Mackensen, Andreas; Lippold, J�rg; Antz, Benny; Zabel, Matthias; Zhang, Yancheng; Barbosa, Catia F; Tisserand, Amandine (2017): (Supplementary Table 1) Stable isotopes of sediment core GeoB16224-1. PANGAEA, https://doi.org/10.1594/PANGAEA.875796,",,"https://doi.org/10.1594/PANGAEA.875796,",1
GeoB16224-1,,0.24,1.25,2.88,1.25,2.88,1-5,125,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Voigt, Ines; Cruz, Anna Paula Soares; Mulitza, Stefan; Chiessi, Cristiano Mazur; Mackensen, Andreas; Lippold, J�rg; Antz, Benny; Zabel, Matthias; Zhang, Yancheng; Barbosa, Catia F; Tisserand, Amandine (2017): (Supplementary Table 1) Stable isotopes of sediment core GeoB16224-1. PANGAEA, https://doi.org/10.1594/PANGAEA.875796,",,"https://doi.org/10.1594/PANGAEA.875796,",1
GeoB16224-1,,0.26,1.23,3.01,1.23,3.01,1-5,125,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Voigt, Ines; Cruz, Anna Paula Soares; Mulitza, Stefan; Chiessi, Cristiano Mazur; Mackensen, Andreas; Lippold, J�rg; Antz, Benny; Zabel, Matthias; Zhang, Yancheng; Barbosa, Catia F; Tisserand, Amandine (2017): (Supplementary Table 1) Stable isotopes of sediment core GeoB16224-1. PANGAEA, https://doi.org/10.1594/PANGAEA.875796,",,"https://doi.org/10.1594/PANGAEA.875796,",1
