Site,Sample_label,hole_label,section_label,published_archival_depth (m),current_depth_model (m),current_depth_model_note,ODP SAMPLE Inventory:: DEPTH(mid) (m),ODP SAMPLE Inventory:: MBSF(mid) (m),ODP SAMPLE Inventory:: MCD(mid) (m),ODP SAMPLE Inventory:: CCSF(mid) (m),depth_model_1 (m),depth_model_note_1,older_depth_model_2 (m)
GeoB1711,,,,0.23,0.23,,,,,,0.23,,
GeoB1711,,,,0.43,0.43,,,,,,0.43,,
GeoB1711,,,,0.48,0.48,,,,,,0.48,,
GeoB1711,,,,0.53,0.53,,,,,,0.53,,
GeoB1711,,,,0.58,0.58,,,,,,0.58,,
GeoB1711,,,,0.63,0.63,,,,,,0.63,,
GeoB1711,,,,0.68,0.68,,,,,,0.68,,
GeoB1711,,,,0.73,0.73,,,,,,0.73,,
GeoB1711,,,,0.77,0.77,,,,,,0.77,,
GeoB1711,,,,0.83,0.83,,,,,,0.83,,
GeoB1711,,,,0.88,0.88,,,,,,0.88,,
GeoB1711,,,,0.93,0.93,,,,,,0.93,,
GeoB1711,,,,0.98,0.98,,,,,,0.98,,
GeoB1711,,,,1.03,1.03,,,,,,1.03,,
GeoB1711,,,,1.08,1.08,,,,,,1.08,,
GeoB1711,,,,1.13,1.13,,,,,,1.13,,
GeoB1711,,,,1.18,1.18,,,,,,1.18,,
GeoB1711,,,,1.23,1.23,,,,,,1.23,,
GeoB1711,,,,1.28,1.28,,,,,,1.28,,
GeoB1711,,,,1.33,1.33,,,,,,1.33,,
GeoB1711,,,,1.38,1.38,,,,,,1.38,,
GeoB1711,,,,1.43,1.43,,,,,,1.43,,
GeoB1711,,,,1.48,1.48,,,,,,1.48,,
GeoB1711,,,,1.53,1.53,,,,,,1.53,,
GeoB1711,,,,1.58,1.58,,,,,,1.58,,
GeoB1711,,,,1.63,1.63,,,,,,1.63,,
GeoB1711,,,,1.68,1.68,,,,,,1.68,,
GeoB1711,,,,1.73,1.73,,,,,,1.73,,
GeoB1711,,,,1.78,1.78,,,,,,1.78,,
GeoB1711,,,,1.83,1.83,,,,,,1.83,,
GeoB1711,,,,1.88,1.88,,,,,,1.88,,
GeoB1711,,,,1.93,1.93,,,,,,1.93,,
GeoB1711,,,,1.98,1.98,,,,,,1.98,,
GeoB1711,,,,2.03,2.03,,,,,,2.03,,
GeoB1711,,,,2.08,2.08,,,,,,2.08,,
GeoB1711,,,,2.13,2.13,,,,,,2.13,,
GeoB1711,,,,2.18,2.18,,,,,,2.18,,
GeoB1711,,,,2.23,2.23,,,,,,2.23,,
GeoB1711,,,,2.28,2.28,,,,,,2.28,,
GeoB1711,,,,2.33,2.33,,,,,,2.33,,
GeoB1711,,,,2.38,2.38,,,,,,2.38,,
GeoB1711,,,,2.43,2.43,,,,,,2.43,,
GeoB1711,,,,2.48,2.48,,,,,,2.48,,
GeoB1711,,,,2.53,2.53,,,,,,2.53,,
GeoB1711,,,,2.58,2.58,,,,,,2.58,,
GeoB1711,,,,2.63,2.63,,,,,,2.63,,
GeoB1711,,,,2.68,2.68,,,,,,2.68,,
GeoB1711,,,,2.73,2.73,,,,,,2.73,,
GeoB1711,,,,2.78,2.78,,,,,,2.78,,
GeoB1711,,,,2.83,2.83,,,,,,2.83,,
GeoB1711,,,,2.88,2.88,,,,,,2.88,,
GeoB1711,,,,2.93,2.93,,,,,,2.93,,
GeoB1711,,,,2.98,2.98,,,,,,2.98,,
GeoB1711,,,,3.03,3.03,,,,,,3.03,,
GeoB1711,,,,3.08,3.08,,,,,,3.08,,
