Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_95_percent(y BP),lower_95_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
GeoB1720_2,,0.01,810.0,941.0,679.0,1064.0,558.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.02,1047.0,1194.0,909.0,1367.0,791.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.03,1282.0,1476.0,1114.0,1752.0,968.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.04,1514.0,1771.0,1308.0,2159.0,1122.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.05,1747.0,2071.0,1492.0,2569.0,1264.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.06,1978.0,2377.0,1674.0,2993.0,1401.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.07,2212.0,2690.0,1853.0,3407.0,1536.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.08,2445.0,2999.0,2032.0,3836.0,1674.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.09,2678.0,3308.0,2211.0,4263.0,1809.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.1,2911.0,3618.0,2386.0,4677.0,1938.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.11,3143.0,3928.0,2565.0,5088.0,2066.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.12,3375.0,4235.0,2744.0,5446.0,2197.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.13,3607.0,4543.0,2919.0,5780.0,2330.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.14,3838.0,4840.0,3093.0,6064.0,2455.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.15,4075.0,5121.0,3272.0,6327.0,2586.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.16,4310.0,5382.0,3451.0,6536.0,2717.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.17,4544.0,5628.0,3630.0,6731.0,2845.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.18,4776.0,5850.0,3814.0,6939.0,2974.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.19,5009.0,6055.0,3999.0,7088.0,3116.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.2,5241.0,6254.0,4197.0,7260.0,3264.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.21,5471.0,6446.0,4403.0,7441.0,3405.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.22,5704.0,6630.0,4634.0,7611.0,3590.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.23,5934.0,6812.0,4883.0,7781.0,3781.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.24,6165.0,6997.0,5149.0,7976.0,4013.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.25,6397.0,7173.0,5424.0,8154.0,4228.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.26,6626.0,7351.0,5717.0,8319.0,4473.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.27,6857.0,7528.0,6019.0,8470.0,4779.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.28,7085.0,7704.0,6318.0,8663.0,5084.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.29,7314.0,7878.0,6622.0,8854.0,5408.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.3,7544.0,8054.0,6925.0,9048.0,5753.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.31,7776.0,8228.0,7227.0,9234.0,6104.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.32,8007.999999999999,8406.0,7533.0,9417.0,6427.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.33,8240.0,8585.0,7835.0,9595.0,6810.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.34,8468.0,8771.0,8132.999999999999,9780.0,7186.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.35,8703.0,8964.0,8422.0,9961.0,7551.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.36,8940.0,9172.0,8691.0,10149.0,7906.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.37,9183.0,9403.0,8944.0,10338.0,8228.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.38,9443.0,9672.0,9201.0,10519.0,8545.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.39,9698.0,9975.0,9434.0,10724.0,8869.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.4,9953.0,10295.0,9656.0,10984.0,9158.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.41,10202.0,10624.0,9861.0,11282.0,9414.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.42,10457.0,10946.0,10065.0,11565.0,9627.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.43,10712.0,11242.0,10268.0,11785.0,9831.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.44,10968.0,11496.0,10471.0,11984.0,10026.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.45,11223.0,11713.0,10693.0,12158.0,10200.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.46,11479.0,11917.0,10941.0,12314.0,10397.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.47,11735.0,12120.0,11237.0,12464.0,10623.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.48,11991.0,12323.0,11556.0,12621.0,10866.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.49,12245.0,12527.0,11884.0,12781.0,11133.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.5,12502.0,12745.0,12209.0,12950.0,11372.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.51,12759.0,12975.0,12521.0,13149.0,11595.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.52,13010.0,13212.0,12786.0,13377.0,11859.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.53,13193.0,13382.0,12972.0,13560.0,12123.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.54,13358.0,13566.0,13127.0,13811.0,12384.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.55,13511.0,13771.0,13267.0,14067.0,12658.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.56,13661.0,13965.0,13399.0,14298.0,12919.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.57,13804.0,14137.0,13528.0,14526.0,13163.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.58,13957.0,14304.0,13672.0,14789.0,13380.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.59,14126.0,14484.0,13823.0,15079.0,13579.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.6,14297.0,14679.0,13969.0,15362.0,13742.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.61,14481.0,14882.0,14122.0,15630.0,13867.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.62,14737.0,15124.0,14376.0,15883.0,14115.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.63,15004.0,15398.0,14637.0,16129.999999999998,14349.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.64,15264.0,15694.0,14882.0,16383.0,14555.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.65,15517.0,16007.000000000002,15111.0,16654.0,14744.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.66,15776.0,16314.0,15335.0,16916.0,14923.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.67,16032.0,16593.0,15557.0,17152.0,15107.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.68,16286.999999999998,16841.0,15774.0,17369.0,15280.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.69,16533.0,17059.0,16006.0,17584.0,15466.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.7,16778.0,17266.0,16259.0,17830.0,15680.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.71,17025.0,17464.0,16546.0,18093.0,15947.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.72,17269.0,17670.0,16857.0,18429.0,16280.000000000002,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.73,17516.0,17881.0,17163.0,18785.0,16625.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.74,17765.0,18104.0,17453.0,19122.0,16954.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.75,18017.0,18343.0,17729.0,19459.0,17214.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.76,18276.0,18605.0,17984.0,19799.0,17431.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.77,18565.0,18893.0,18260.0,20148.0,17636.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.78,18856.0,19217.0,18517.0,20467.0,17843.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.79,19137.0,19564.0,18755.0,20785.0,18059.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.8,19417.0,19923.0,18984.0,21109.0,18274.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.81,19694.0,20284.0,19205.0,21413.0,18467.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.82,19969.0,20657.0,19420.0,21789.0,18663.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.83,20246.0,21013.0,19636.0,22155.0,18858.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.84,20521.0,21363.0,19856.0,22472.0,19054.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.85,20798.0,21707.0,20071.0,22830.0,19260.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.86,21075.0,22026.0,20286.0,23088.0,19450.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.87,21351.0,22337.0,20502.0,23345.0,19642.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.88,21626.0,22622.0,20719.0,23569.0,19849.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.89,21901.0,22871.0,20953.0,23805.0,20047.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.9,22174.0,23101.0,21199.0,24061.0,20265.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.91,22446.0,23319.0,21462.0,24332.0,20496.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.92,22718.0,23539.0,21757.0,24597.0,20757.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.93,22991.0,23759.0,22074.0,24919.0,21011.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.94,23263.0,23969.0,22414.0,25245.0,21318.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
GeoB1720_2,,0.95,23534.0,24176.0,22761.0,25556.0,21643.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
