Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_95_percent(y BP),lower_95_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
GeoB1720_2,,0.005,824.5794067383,,,960.0639648438,681.0639648438,3,Age model from Jonkers et al. (2020),,1
GeoB1720_2,,0.015,1058.1030273438,,,1421.0247802734,797.0247802734,3,Age model from Jonkers et al. (2020),,1
GeoB1720_2,,0.025,1291.6234130859,,,1966.6613769531,862.6613769531,3,Age model from Jonkers et al. (2020),,1
GeoB1720_2,,0.035,1525.1497802734,,,2505.5634765625,916.5635986328,3,Age model from Jonkers et al. (2020),,1
GeoB1720_2,,0.045,1758.6706542969,,,3071.4658203125,965.4658203125,3,Age model from Jonkers et al. (2020),,1
GeoB1720_2,,0.055,1990.3023681641,,,3260.7470703125,1165.7469482422,3,Age model from Jonkers et al. (2020),,1
GeoB1720_2,,0.065,2221.8684082031,,,3497.6181640625,1302.6182861328,3,Age model from Jonkers et al. (2020),,1
GeoB1720_2,,0.075,2453.44140625,,,3829.6826171875,1400.6826171875,3,Age model from Jonkers et al. (2020),,1
GeoB1720_2,,0.085,2685.0109863281,,,4174.7470703125,1489.7468261719,3,Age model from Jonkers et al. (2020),,1
GeoB1720_2,,0.095,2920.6098632813,,,4408.439453125,1748.4392089844,3,Age model from Jonkers et al. (2020),,1
GeoB1720_2,,0.105,3156.4772949219,,,4708.78125,1938.7811279297,3,Age model from Jonkers et al. (2020),,1
GeoB1720_2,,0.115,3392.3459472656,,,5062.123046875,2082.123046875,3,Age model from Jonkers et al. (2020),,1
GeoB1720_2,,0.125,3628.2094726563,,,5499.4116210938,2186.4116210938,3,Age model from Jonkers et al. (2020),,1
GeoB1720_2,,0.135,3862.2553710938,,,5714.521484375,2463.5212402344,3,Age model from Jonkers et al. (2020),,1
GeoB1720_2,,0.145,4096.1186523438,,,5934.263671875,2678.263671875,3,Age model from Jonkers et al. (2020),,1
GeoB1720_2,,0.155,4329.9799804688,,,6170.57421875,2852.5739746094,3,Age model from Jonkers et al. (2020),,1
GeoB1720_2,,0.165,4563.8413085938,,,6440.884765625,2983.8845214844,3,Age model from Jonkers et al. (2020),,1
GeoB1720_2,,0.175,4822.8955078125,,,6594.4033203125,3314.4033203125,3,Age model from Jonkers et al. (2020),,1
GeoB1720_2,,0.185,5085.4458007813,,,6764.2329101563,3560.2329101563,3,Age model from Jonkers et al. (2020),,1
GeoB1720_2,,0.195,5347.9990234375,,,7015.3139648438,3756.3139648438,3,Age model from Jonkers et al. (2020),,1
GeoB1720_2,,0.205,5610.5703125,,,7411.39453125,3907.3947753906,3,Age model from Jonkers et al. (2020),,1
GeoB1720_2,,0.215,5846.4755859375,,,7579.7958984375,4155.7958984375,3,Age model from Jonkers et al. (2020),,1
GeoB1720_2,,0.225,6077.5825195313,,,7699.39453125,4399.39453125,3,Age model from Jonkers et al. (2020),,1
GeoB1720_2,,0.235,6308.69140625,,,7857.6044921875,4624.6044921875,3,Age model from Jonkers et al. (2020),,1
GeoB1720_2,,0.245,6539.7758789063,,,8128.162109375,4804.162109375,3,Age model from Jonkers et al. (2020),,1
GeoB1720_2,,0.255,6776.060546875,,,8256.287109375,5114.2875976563,3,Age model from Jonkers et al. (2020),,1
GeoB1720_2,,0.265,7013.4921875,,,8356.748046875,5432.7485351563,3,Age model from Jonkers et al. (2020),,1
GeoB1720_2,,0.275,7250.9135742188,,,8507.076171875,5703.0756835938,3,Age model from Jonkers et al. (2020),,1
GeoB1720_2,,0.285,7488.3486328125,,,8731.193359375,5916.1928710938,3,Age model from Jonkers et al. (2020),,1
GeoB1720_2,,0.295,7705.6923828125,,,8830.0078125,6258.0083007813,3,Age model from Jonkers et al. (2020),,1
GeoB1720_2,,0.305,7917.55078125,,,8902.55859375,6627.5590820313,3,Age model from Jonkers et al. (2020),,1
GeoB1720_2,,0.315,8129.4047851563,,,8990.1103515625,6906.1103515625,3,Age model from Jonkers et al. (2020),,1
GeoB1720_2,,0.325,8341.2685546875,,,9125.7890625,7106.7885742188,3,Age model from Jonkers et al. (2020),,1
GeoB1720_2,,0.335,8566.9404296875,,,9217.021484375,7567.021484375,3,Age model from Jonkers et al. (2020),,1
GeoB1720_2,,0.345,8797.123046875,,,9264.568359375,8122.568359375,3,Age model from Jonkers et al. (2020),,1
GeoB1720_2,,0.355,9027.287109375,,,9331.115234375,8647.115234375,3,Age model from Jonkers et al. (2020),,1
GeoB1720_2,,0.365,9257.44140625,,,9448.794921875,9047.794921875,3,Age model from Jonkers et al. (2020),,1
GeoB1720_2,,0.375,9503.8837890625,,,9787.431640625,9228.431640625,3,Age model from Jonkers et al. (2020),,1
GeoB1720_2,,0.385,9756.4375,,,10248.412109375,9326.412109375,3,Age model from Jonkers et al. (2020),,1
GeoB1720_2,,0.395,10009.033203125,,,10734.9052734375,9395.9052734375,3,Age model from Jonkers et al. (2020),,1
GeoB1720_2,,0.405,10261.6357421875,,,11231.3974609375,9457.3974609375,3,Age model from Jonkers et al. (2020),,1
GeoB1720_2,,0.415,10485.0419921875,,,11486.4248046875,9644.4248046875,3,Age model from Jonkers et al. (2020),,1
GeoB1720_2,,0.425,10695.62890625,,,11653.87890625,9803.87890625,3,Age model from Jonkers et al. (2020),,1
GeoB1720_2,,0.435,10906.1689453125,,,11859.6650390625,9936.6650390625,3,Age model from Jonkers et al. (2020),,1
GeoB1720_2,,0.445,11116.7119140625,,,12113.451171875,10047.451171875,3,Age model from Jonkers et al. (2020),,1
GeoB1720_2,,0.455,11362.4921875,,,12289.37109375,10373.37109375,3,Age model from Jonkers et al. (2020),,1
GeoB1720_2,,0.465,11626.11328125,,,12392.7978515625,10776.7978515625,3,Age model from Jonkers et al. (2020),,1
GeoB1720_2,,0.475,11889.7626953125,,,12531.8291015625,11053.8291015625,3,Age model from Jonkers et al. (2020),,1
GeoB1720_2,,0.485,12153.3984375,,,12737.37109375,11313.37109375,3,Age model from Jonkers et al. (2020),,1
GeoB1720_2,,0.495,12412.740234375,,,12885.71875,11752.71875,3,Age model from Jonkers et al. (2020),,1
GeoB1720_2,,0.505,12669.568359375,,,12947.8251953125,12309.8251953125,3,Age model from Jonkers et al. (2020),,1
GeoB1720_2,,0.515,12926.412109375,,,13074.166015625,12770.166015625,3,Age model from Jonkers et al. (2020),,1
GeoB1720_2,,0.525,13183.212890625,,,13536.5908203125,12897.5908203125,3,Age model from Jonkers et al. (2020),,1
GeoB1720_2,,0.535,13380.2607421875,,,13828.9267578125,13035.9267578125,3,Age model from Jonkers et al. (2020),,1
GeoB1720_2,,0.545,13537.7646484375,,,13971.1025390625,13153.1025390625,3,Age model from Jonkers et al. (2020),,1
