Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
GeoB1720_2,,0.035,0.639,2.492,0.639,2.492,2-6,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Dickson, A. J., Beer, C. J., Dempsey, C., Maslin, M. A., Bendle, J. A., McClymont, E. L. and Pancost, R. D.: Oceanic forcing of the Marine Isotope Stage 11 interglacial, Nature Geoscience, 2(6), 428–433, doi:10.1038/ngeo527, 2009.",,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleocean//sediment_files/complete/gb1720_2-tab.txt,1
GeoB1720_2,,0.065,0.826,2.664,0.826,2.664,2-6,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Dickson, A. J., Beer, C. J., Dempsey, C., Maslin, M. A., Bendle, J. A., McClymont, E. L. and Pancost, R. D.: Oceanic forcing of the Marine Isotope Stage 11 interglacial, Nature Geoscience, 2(6), 428–433, doi:10.1038/ngeo527, 2009.",,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleocean//sediment_files/complete/gb1720_2-tab.txt,1
GeoB1720_2,,0.095,0.829,2.605,0.829,2.605,2-6,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Dickson, A. J., Beer, C. J., Dempsey, C., Maslin, M. A., Bendle, J. A., McClymont, E. L. and Pancost, R. D.: Oceanic forcing of the Marine Isotope Stage 11 interglacial, Nature Geoscience, 2(6), 428–433, doi:10.1038/ngeo527, 2009.",,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleocean//sediment_files/complete/gb1720_2-tab.txt,1
GeoB1720_2,,0.125,0.632,2.737,0.632,2.737,2-6,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Dickson, A. J., Beer, C. J., Dempsey, C., Maslin, M. A., Bendle, J. A., McClymont, E. L. and Pancost, R. D.: Oceanic forcing of the Marine Isotope Stage 11 interglacial, Nature Geoscience, 2(6), 428–433, doi:10.1038/ngeo527, 2009.",,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleocean//sediment_files/complete/gb1720_2-tab.txt,1
GeoB1720_2,,0.155,0.829,2.609,0.829,2.609,2-6,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Dickson, A. J., Beer, C. J., Dempsey, C., Maslin, M. A., Bendle, J. A., McClymont, E. L. and Pancost, R. D.: Oceanic forcing of the Marine Isotope Stage 11 interglacial, Nature Geoscience, 2(6), 428–433, doi:10.1038/ngeo527, 2009.",,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleocean//sediment_files/complete/gb1720_2-tab.txt,1
GeoB1720_2,,0.185,0.765,2.61,0.765,2.61,2-6,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Dickson, A. J., Beer, C. J., Dempsey, C., Maslin, M. A., Bendle, J. A., McClymont, E. L. and Pancost, R. D.: Oceanic forcing of the Marine Isotope Stage 11 interglacial, Nature Geoscience, 2(6), 428–433, doi:10.1038/ngeo527, 2009.",,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleocean//sediment_files/complete/gb1720_2-tab.txt,1
GeoB1720_2,,0.215,0.81,2.572,0.81,2.572,2-6,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Dickson, A. J., Beer, C. J., Dempsey, C., Maslin, M. A., Bendle, J. A., McClymont, E. L. and Pancost, R. D.: Oceanic forcing of the Marine Isotope Stage 11 interglacial, Nature Geoscience, 2(6), 428–433, doi:10.1038/ngeo527, 2009.",,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleocean//sediment_files/complete/gb1720_2-tab.txt,1
GeoB1720_2,,0.245,0.589,3.114,0.589,3.114,2-6,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Dickson, A. J., Beer, C. J., Dempsey, C., Maslin, M. A., Bendle, J. A., McClymont, E. L. and Pancost, R. D.: Oceanic forcing of the Marine Isotope Stage 11 interglacial, Nature Geoscience, 2(6), 428–433, doi:10.1038/ngeo527, 2009.",,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleocean//sediment_files/complete/gb1720_2-tab.txt,1
GeoB1720_2,,0.275,0.675,2.819,0.675,2.819,2-6,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Dickson, A. J., Beer, C. J., Dempsey, C., Maslin, M. A., Bendle, J. A., McClymont, E. L. and Pancost, R. D.: Oceanic forcing of the Marine Isotope Stage 11 interglacial, Nature Geoscience, 2(6), 428–433, doi:10.1038/ngeo527, 2009.",,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleocean//sediment_files/complete/gb1720_2-tab.txt,1
GeoB1720_2,,0.305,0.706,2.841,0.706,2.841,2-6,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Dickson, A. J., Beer, C. J., Dempsey, C., Maslin, M. A., Bendle, J. A., McClymont, E. L. and Pancost, R. D.: Oceanic forcing of the Marine Isotope Stage 11 interglacial, Nature Geoscience, 2(6), 428–433, doi:10.1038/ngeo527, 2009.",,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleocean//sediment_files/complete/gb1720_2-tab.txt,1
