Site,Sample_label,hole_label,section_label,published_archival_depth (m),current_depth_model (m),current_depth_model_note,ODP SAMPLE Inventory:: DEPTH(mid) (m),ODP SAMPLE Inventory:: MBSF(mid) (m),ODP SAMPLE Inventory:: MCD(mid) (m),ODP SAMPLE Inventory:: CCSF(mid) (m),depth_model_1 (m),depth_model_note_1,older_depth_model_2 (m)
GeoB2104-3,,,,0.03,0.03,,,,,,0.03,,
GeoB2104-3,,,,0.08,0.08,,,,,,0.08,,
GeoB2104-3,,,,0.08,0.08,,,,,,0.08,,
GeoB2104-3,,,,0.08,0.08,,,,,,0.08,,
GeoB2104-3,,,,0.13,0.13,,,,,,0.13,,
GeoB2104-3,,,,0.18,0.18,,,,,,0.18,,
GeoB2104-3,,,,0.18,0.18,,,,,,0.18,,
GeoB2104-3,,,,0.18,0.18,,,,,,0.18,,
GeoB2104-3,,,,0.23,0.23,,,,,,0.23,,
GeoB2104-3,,,,0.28,0.28,,,,,,0.28,,
GeoB2104-3,,,,0.33,0.33,,,,,,0.33,,
GeoB2104-3,,,,0.38,0.38,,,,,,0.38,,
GeoB2104-3,,,,0.43,0.43,,,,,,0.43,,
GeoB2104-3,,,,0.48,0.48,,,,,,0.48,,
GeoB2104-3,,,,0.53,0.53,,,,,,0.53,,
GeoB2104-3,,,,0.58,0.58,,,,,,0.58,,
GeoB2104-3,,,,0.58,0.58,,,,,,0.58,,
GeoB2104-3,,,,0.58,0.58,,,,,,0.58,,
GeoB2104-3,,,,0.63,0.63,,,,,,0.63,,
GeoB2104-3,,,,0.68,0.68,,,,,,0.68,,
GeoB2104-3,,,,0.73,0.73,,,,,,0.73,,
GeoB2104-3,,,,0.78,0.78,,,,,,0.78,,
GeoB2104-3,,,,0.83,0.83,,,,,,0.83,,
GeoB2104-3,,,,0.88,0.88,,,,,,0.88,,
GeoB2104-3,,,,0.93,0.93,,,,,,0.93,,
GeoB2104-3,,,,0.98,0.98,,,,,,0.98,,
GeoB2104-3,,,,1.03,1.03,,,,,,1.03,,
GeoB2104-3,,,,1.08,1.08,,,,,,1.08,,
GeoB2104-3,,,,1.13,1.13,,,,,,1.13,,
GeoB2104-3,,,,1.18,1.18,,,,,,1.18,,
GeoB2104-3,,,,1.18,1.18,,,,,,1.18,,
GeoB2104-3,,,,1.18,1.18,,,,,,1.18,,
GeoB2104-3,,,,1.23,1.23,,,,,,1.23,,
GeoB2104-3,,,,1.28,1.28,,,,,,1.28,,
GeoB2104-3,,,,1.33,1.33,,,,,,1.33,,
GeoB2104-3,,,,1.38,1.38,,,,,,1.38,,
GeoB2104-3,,,,1.43,1.43,,,,,,1.43,,
GeoB2104-3,,,,1.48,1.48,,,,,,1.48,,
GeoB2104-3,,,,1.53,1.53,,,,,,1.53,,
GeoB2104-3,,,,1.58,1.58,,,,,,1.58,,
GeoB2104-3,,,,1.63,1.63,,,,,,1.63,,
GeoB2104-3,,,,1.68,1.68,,,,,,1.68,,
GeoB2104-3,,,,1.68,1.68,,,,,,1.68,,
GeoB2104-3,,,,1.68,1.68,,,,,,1.68,,
GeoB2104-3,,,,1.73,1.73,,,,,,1.73,,
GeoB2104-3,,,,1.83,1.83,,,,,,1.83,,
GeoB2104-3,,,,1.88,1.88,,,,,,1.88,,
GeoB2104-3,,,,1.93,1.93,,,,,,1.93,,
GeoB2104-3,,,,1.98,1.98,,,,,,1.98,,
GeoB2104-3,,,,1.98,1.98,,,,,,1.98,,
GeoB2104-3,,,,1.98,1.98,,,,,,1.98,,
GeoB2104-3,,,,2.03,2.03,,,,,,2.03,,
