Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
GeoB2104-3,,0.03,1.02,2.44,1.02,2.44,,,,Cibicidoides spp.,7,,,,,From Mulitza et al. 2022 ESSD compilation,Mulitza (unpublished),,Laboratory,1
GeoB2104-3,,0.08,1.01,2.55,1.01,2.55,,,,Cibicidoides spp.,7,,,,,From Mulitza et al. 2022 ESSD compilation,Mulitza (unpublished),,Laboratory,1
GeoB2104-3,,0.08,0.87,2.52,0.87,2.52,,,,Cibicidoides spp.,7,,,,,From Mulitza et al. 2022 ESSD compilation,Mulitza (unpublished),,Laboratory,1
GeoB2104-3,,0.08,0.94,2.535,0.94,2.535,,,,Cibicidoides spp.,7,,,,,From Mulitza et al. 2022 ESSD compilation,Mulitza (unpublished),,Laboratory,1
GeoB2104-3,,0.13,0.76,3.03,0.76,3.03,,,,Cibicidoides spp.,7,,,,,From Mulitza et al. 2022 ESSD compilation,Mulitza (unpublished),,Laboratory,1
GeoB2104-3,,0.18,1.02,2.585,1.02,2.585,,,,Cibicidoides spp.,7,,,,,From Mulitza et al. 2022 ESSD compilation,Mulitza (unpublished),,Laboratory,1
GeoB2104-3,,0.18,1.15,2.59,1.15,2.59,,,,Cibicidoides spp.,7,,,,,From Mulitza et al. 2022 ESSD compilation,Mulitza (unpublished),,Laboratory,1
GeoB2104-3,,0.18,0.89,2.58,0.89,2.58,,,,Cibicidoides spp.,7,,,,,From Mulitza et al. 2022 ESSD compilation,Mulitza (unpublished),,Laboratory,1
GeoB2104-3,,0.23,0.92,2.84,0.92,2.84,,,,Cibicidoides spp.,7,,,,,From Mulitza et al. 2022 ESSD compilation,Mulitza (unpublished),,Laboratory,1
GeoB2104-3,,0.28,0.98,2.71,0.98,2.71,,,,Cibicidoides spp.,7,,,,,From Mulitza et al. 2022 ESSD compilation,Mulitza (unpublished),,Laboratory,1
GeoB2104-3,,0.33,0.89,2.61,0.89,2.61,,,,Cibicidoides spp.,7,,,,,From Mulitza et al. 2022 ESSD compilation,Mulitza (unpublished),,Laboratory,1
GeoB2104-3,,0.38,0.87,2.81,0.87,2.81,,,,Cibicidoides spp.,7,,,,,From Mulitza et al. 2022 ESSD compilation,Mulitza (unpublished),,Laboratory,1
GeoB2104-3,,0.43,0.81,2.63,0.81,2.63,,,,Cibicidoides spp.,7,,,,,From Mulitza et al. 2022 ESSD compilation,Mulitza (unpublished),,Laboratory,1
GeoB2104-3,,0.48,0.91,2.78,0.91,2.78,,,,Cibicidoides spp.,7,,,,,From Mulitza et al. 2022 ESSD compilation,Mulitza (unpublished),,Laboratory,1
GeoB2104-3,,0.53,0.85,2.82,0.85,2.82,,,,Cibicidoides spp.,7,,,,,From Mulitza et al. 2022 ESSD compilation,Mulitza (unpublished),,Laboratory,1
GeoB2104-3,,0.58,0.99,2.52,0.99,2.52,,,,Cibicidoides spp.,7,,,,,From Mulitza et al. 2022 ESSD compilation,Mulitza (unpublished),,Laboratory,1
GeoB2104-3,,0.58,0.92,2.71,0.92,2.71,,,,Cibicidoides spp.,7,,,,,From Mulitza et al. 2022 ESSD compilation,Mulitza (unpublished),,Laboratory,1
GeoB2104-3,,0.58,0.955,2.615,0.955,2.615,,,,Cibicidoides spp.,7,,,,,From Mulitza et al. 2022 ESSD compilation,Mulitza (unpublished),,Laboratory,1
