Site,Sample label,sample_depth,technique,lab. code,species/material,radiocarbon_age (y),radiocarbon_age_error_plus (y),radiocarbon_age_error_minus (y),reservoir_age (y),reservoir_age_error_plus (y),reservoir_age_error_minus (y),calendar_age (yBP),calendar_age_error_plus (yBP),calendar_age_error_minus (yBP),calibration curve,alignment target,alignment proxy,note1,note2,original reference,data doi
GeoB3104,,0.07999999821186066,,,,3059.999942779541,50.00000074505806,50.00000074505806,409.0,52.1,52.1,2768.0,176.0,269.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GeoB3104,,0.20000000298023224,,,,6139.999866485596,59.99999865889549,59.99999865889549,476.0,53.3,53.3,6455.0,179.0,153.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GeoB3104,,0.8700000047683716,,,,12979.999542236328,100.00000149011612,100.00000149011612,554.0,38.6,38.6,14577.0,440.0,451.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GeoB3104,,0.9700000286102295,,,,13359.999656677246,90.00000357627869,90.00000357627869,588.0,43.1,43.1,15255.0,318.0,286.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GeoB3104,,1.7200000286102295,,,,16520.000457763672,159.9999964237213,159.9999964237213,752.0,49.9,49.9,19085.0,380.0,302.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GeoB3104,,2.0899999141693115,,,,20940.000534057617,349.9999940395355,330.00001311302185,811.0,75.0,75.0,24283.0,906.0,926.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GeoB3104,,2.740000009536743,,,,25450.000762939453,200.00000298023224,200.00000298023224,854.0,90.80000000000001,90.80000000000001,28844.0,391.0,549.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GeoB3104,,2.9200000762939453,,,,28219.999313354492,289.99999165534973,280.0000011920929,748.0,89.2,89.2,31476.0,555.0,410.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GeoB3104,,3.369999885559082,,,,32090.00015258789,449.99998807907104,419.99998688697815,747.0,72.4,72.4,35701.0,871.0,971.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GeoB3104,,3.8399999141693115,,,,33799.99923706055,1840.000033378601,149.00000393390656,630.0,166.6,166.6,38252.0,3600.0,3302.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GeoB3104,,4.619999885559082,,,,39000.0,899.9999761581421,800.000011920929,1399.0,157.9,157.9,42015.0,966.0,1024.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
