Site,Sample_label,hole_label,section_label,published_archival_depth (m),current_depth_model (m),current_depth_model_note,ODP SAMPLE Inventory:: DEPTH(mid) (m),ODP SAMPLE Inventory:: MBSF(mid) (m),ODP SAMPLE Inventory:: MCD(mid) (m),ODP SAMPLE Inventory:: CCSF(mid) (m),depth_model_1 (m),depth_model_note_1,older_depth_model_2 (m),depth_model_note_2
GeoB3104,,,,0.03,0.03,,,,,,0.03,depth model from Peterson and Lisiecki 2018,,
GeoB3104,,,,0.055,0.055,,,,,,0.055,depth model from Peterson and Lisiecki 2018,,
GeoB3104,,,,0.08,0.08,,,,,,0.08,depth model from Peterson and Lisiecki 2018,,
GeoB3104,,,,0.105,0.105,,,,,,0.105,depth model from Peterson and Lisiecki 2018,,
GeoB3104,,,,0.13,0.13,,,,,,0.13,depth model from Peterson and Lisiecki 2018,,
GeoB3104,,,,0.155,0.155,,,,,,0.155,depth model from Peterson and Lisiecki 2018,,
GeoB3104,,,,0.18,0.18,,,,,,0.18,depth model from Peterson and Lisiecki 2018,,
GeoB3104,,,,0.23,0.23,,,,,,0.23,depth model from Peterson and Lisiecki 2018,,
GeoB3104,,,,0.255,0.255,,,,,,0.255,depth model from Peterson and Lisiecki 2018,,
GeoB3104,,,,0.28,0.28,,,,,,0.28,depth model from Peterson and Lisiecki 2018,,
GeoB3104,,,,0.305,0.305,,,,,,0.305,depth model from Peterson and Lisiecki 2018,,
GeoB3104,,,,0.33,0.33,,,,,,0.33,depth model from Peterson and Lisiecki 2018,,
GeoB3104,,,,0.355,0.355,,,,,,0.355,depth model from Peterson and Lisiecki 2018,,
GeoB3104,,,,0.38,0.38,,,,,,0.38,depth model from Peterson and Lisiecki 2018,,
GeoB3104,,,,0.405,0.405,,,,,,0.405,depth model from Peterson and Lisiecki 2018,,
GeoB3104,,,,0.43,0.43,,,,,,0.43,depth model from Peterson and Lisiecki 2018,,
GeoB3104,,,,0.48,0.48,,,,,,0.48,depth model from Peterson and Lisiecki 2018,,
GeoB3104,,,,0.505,0.505,,,,,,0.505,depth model from Peterson and Lisiecki 2018,,
GeoB3104,,,,0.555,0.555,,,,,,0.555,depth model from Peterson and Lisiecki 2018,,
GeoB3104,,,,0.58,0.58,,,,,,0.58,depth model from Peterson and Lisiecki 2018,,
GeoB3104,,,,0.605,0.605,,,,,,0.605,depth model from Peterson and Lisiecki 2018,,
GeoB3104,,,,0.63,0.63,,,,,,0.63,depth model from Peterson and Lisiecki 2018,,
GeoB3104,,,,0.655,0.655,,,,,,0.655,depth model from Peterson and Lisiecki 2018,,
GeoB3104,,,,0.68,0.68,,,,,,0.68,depth model from Peterson and Lisiecki 2018,,
GeoB3104,,,,0.755,0.755,,,,,,0.755,depth model from Peterson and Lisiecki 2018,,
GeoB3104,,,,0.78,0.78,,,,,,0.78,depth model from Peterson and Lisiecki 2018,,
GeoB3104,,,,0.805,0.805,,,,,,0.805,depth model from Peterson and Lisiecki 2018,,
GeoB3104,,,,0.83,0.83,,,,,,0.83,depth model from Peterson and Lisiecki 2018,,
GeoB3104,,,,0.88,0.88,,,,,,0.88,depth model from Peterson and Lisiecki 2018,,
GeoB3104,,,,1.03,1.03,,,,,,1.03,depth model from Peterson and Lisiecki 2018,,
GeoB3104,,,,1.08,1.08,,,,,,1.08,depth model from Peterson and Lisiecki 2018,,
GeoB3104,,,,1.13,1.13,,,,,,1.13,depth model from Peterson and Lisiecki 2018,,
GeoB3104,,,,1.18,1.18,,,,,,1.18,depth model from Peterson and Lisiecki 2018,,
GeoB3104,,,,1.33,1.33,,,,,,1.33,depth model from Peterson and Lisiecki 2018,,
GeoB3104,,,,1.38,1.38,,,,,,1.38,depth model from Peterson and Lisiecki 2018,,
GeoB3104,,,,1.43,1.43,,,,,,1.43,depth model from Peterson and Lisiecki 2018,,
GeoB3104,,,,1.48,1.48,,,,,,1.48,depth model from Peterson and Lisiecki 2018,,
GeoB3104,,,,1.53,1.53,,,,,,1.53,depth model from Peterson and Lisiecki 2018,,
GeoB3104,,,,1.58,1.58,,,,,,1.58,depth model from Peterson and Lisiecki 2018,,
GeoB3104,,,,1.63,1.63,,,,,,1.63,depth model from Peterson and Lisiecki 2018,,
GeoB3104,,,,1.655,1.655,,,,,,1.655,depth model from Peterson and Lisiecki 2018,,
