Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_95_percent(y BP),lower_95_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
GeoB6718,,0.03,16.777,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GeoB6718,,0.13,1819.9,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GeoB6718,,0.18,2032.7000000000003,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GeoB6718,,0.23,2211.3999999999996,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GeoB6718,,0.28,2947.5,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GeoB6718,,0.33,3721.2999999999997,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GeoB6718,,0.38,4042.3,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GeoB6718,,0.43,5091.400000000001,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GeoB6718,,0.48,5290.2,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GeoB6718,,0.53,6559.5,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GeoB6718,,0.58,7029.6,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GeoB6718,,0.63,7304.400000000001,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GeoB6718,,0.68,8435.1,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GeoB6718,,0.73,9693.4,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GeoB6718,,0.78,11325.0,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GeoB6718,,0.83,11593.0,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GeoB6718,,0.88,12267.000000000002,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GeoB6718,,0.93,12795.0,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GeoB6718,,0.98,12970.999999999998,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GeoB6718,,1.03,13589.0,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GeoB6718,,1.08,13830.0,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GeoB6718,,1.13,14413.0,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GeoB6718,,1.18,14556.0,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GeoB6718,,1.23,14649.0,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GeoB6718,,1.28,14920.0,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GeoB6718,,1.33,15497.0,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GeoB6718,,1.38,15821.0,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GeoB6718,,1.43,16367.0,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GeoB6718,,1.48,17105.999999999996,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GeoB6718,,1.53,17218.0,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GeoB6718,,1.58,17300.0,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GeoB6718,,1.63,17393.0,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GeoB6718,,1.68,17487.000000000004,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GeoB6718,,1.73,17592.0,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GeoB6718,,1.78,17715.0,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GeoB6718,,1.88,17993.0,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GeoB6718,,1.93,18197.0,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GeoB6718,,1.98,18552.0,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GeoB6718,,2.03,18715.999999999996,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GeoB6718,,2.08,19010.0,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GeoB6718,,2.13,19858.0,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GeoB6718,,2.18,20032.0,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GeoB6718,,2.23,20235.0,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GeoB6718,,2.28,20454.0,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GeoB6718,,2.33,20971.999999999996,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GeoB6718,,2.38,21215.999999999996,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GeoB6718,,2.43,21339.000000000004,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GeoB6718,,2.48,21534.000000000004,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GeoB6718,,2.53,21921.0,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GeoB6718,,2.58,22138.0,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GeoB6718,,2.63,22285.999999999996,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GeoB6718,,2.68,22440.0,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GeoB6718,,2.73,22609.0,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GeoB6718,,2.78,22705.0,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GeoB6718,,2.83,22801.0,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GeoB6718,,2.88,22890.0,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GeoB6718,,2.93,22976.0,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GeoB6718,,2.98,23151.999999999996,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GeoB6718,,3.13,23795.0,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GeoB6718,,3.18,24103.0,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GeoB6718,,3.23,24255.0,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GeoB6718,,3.28,24355.0,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GeoB6718,,3.33,24459.0,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GeoB6718,,3.38,24636.999999999996,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GeoB6718,,3.43,24913.0,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GeoB6718,,3.48,25145.0,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GeoB6718,,3.53,25370.0,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GeoB6718,,3.58,25598.000000000004,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GeoB6718,,3.63,25810.0,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GeoB6718,,3.68,25914.0,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GeoB6718,,3.73,26026.999999999996,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GeoB6718,,3.78,26162.0,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GeoB6718,,3.83,26400.0,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GeoB6718,,3.88,27040.0,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GeoB6718,,3.93,27849.0,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GeoB6718,,3.98,28017.0,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GeoB6718,,4.03,28189.0,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GeoB6718,,4.08,28298.0,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GeoB6718,,4.13,28366.999999999996,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GeoB6718,,4.18,28436.999999999996,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GeoB6718,,4.23,28500.0,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GeoB6718,,4.28,28555.999999999996,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GeoB6718,,4.33,28633.000000000004,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GeoB6718,,4.38,28688.000000000004,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GeoB6718,,4.43,28734.0,,,,,4,Age model from Peterson and Lisiecki (2018),,1
