Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
GeoB6718,,0.03,1.28,2.6,0.03,,,,1.28,Cibicidoides kullenbergi,2,,,,,Peterson and Lisiecki (2018) compilation,Dorschel et al (2005),,https://doi.org/10.1594/PANGAEA.134554,1
GeoB6718,,0.13,0.89,1.9,0.13,,,,0.89,Cibicidoides kullenbergi,2,,,,,Peterson and Lisiecki (2018) compilation,Dorschel et al (2005),,https://doi.org/10.1594/PANGAEA.134554,1
GeoB6718,,0.18,0.96,3.22,0.18,,,,0.96,Cibicidoides kullenbergi,2,,,,,Peterson and Lisiecki (2018) compilation,Dorschel et al (2005),,https://doi.org/10.1594/PANGAEA.134554,1
GeoB6718,,0.23,1.11,3.25,0.23,,,,1.11,Cibicidoides kullenbergi,2,,,,,Peterson and Lisiecki (2018) compilation,Dorschel et al (2005),,https://doi.org/10.1594/PANGAEA.134554,1
GeoB6718,,0.28,0.61,2.68,0.28,,,,0.61,Cibicidoides kullenbergi,2,,,,,Peterson and Lisiecki (2018) compilation,Dorschel et al (2005),,https://doi.org/10.1594/PANGAEA.134554,1
GeoB6718,,0.33,0.89,1.69,0.33,,,,0.89,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation,Dorschel et al (2005),,https://doi.org/10.1594/PANGAEA.134554,1
GeoB6718,,0.38,1.08,2.91,0.38,,,,1.08,Cibicidoides kullenbergi,2,,,,,Peterson and Lisiecki (2018) compilation,Dorschel et al (2005),,https://doi.org/10.1594/PANGAEA.134554,1
GeoB6718,,0.43,0.93,2.78,0.43,,,,0.93,Cibicidoides kullenbergi,2,,,,,Peterson and Lisiecki (2018) compilation,Dorschel et al (2005),,https://doi.org/10.1594/PANGAEA.134554,1
GeoB6718,,0.48,1.17,3.29,0.48,,,,1.17,Cibicidoides kullenbergi,2,,,,,Peterson and Lisiecki (2018) compilation,Dorschel et al (2005),,https://doi.org/10.1594/PANGAEA.134554,1
GeoB6718,,0.53,0.84,2.14,0.53,,,,0.84,Cibicidoides kullenbergi,2,,,,,Peterson and Lisiecki (2018) compilation,Dorschel et al (2005),,https://doi.org/10.1594/PANGAEA.134554,1
