Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_95_percent(y BP),lower_95_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
GeoB9508-5,,0.03,581.9002075195,,,688.6771240234,481.6770935059,3,Age model from Jonkers et al. (2020),,1
GeoB9508-5,,0.04,679.2209472656,,,890.4490966797,518.4490966797,3,Age model from Jonkers et al. (2020),,1
GeoB9508-5,,0.05,776.5427856445,,,1147.2175292969,541.217590332,3,Age model from Jonkers et al. (2020),,1
GeoB9508-5,,0.06,873.8654785156,,,1423.6358642578,570.6358642578,3,Age model from Jonkers et al. (2020),,1
GeoB9508-5,,0.07,971.1892089844,,,1667.0541992188,591.0541992188,3,Age model from Jonkers et al. (2020),,1
GeoB9508-5,,0.08,1068.5093994141,,,1940.4725341797,610.4725341797,3,Age model from Jonkers et al. (2020),,1
GeoB9508-5,,0.09,1159.2655029297,,,2023.7172851563,686.7172851563,3,Age model from Jonkers et al. (2020),,1
GeoB9508-5,,0.1,1250.0191650391,,,2095.6420898438,736.6419677734,3,Age model from Jonkers et al. (2020),,1
GeoB9508-5,,0.11,1340.7750244141,,,2188.3254394531,774.3255004883,3,Age model from Jonkers et al. (2020),,1
GeoB9508-5,,0.12,1431.5329589844,,,2327.560546875,806.560546875,3,Age model from Jonkers et al. (2020),,1
GeoB9508-5,,0.13,1522.2874755859,,,2472.7956542969,835.7956542969,3,Age model from Jonkers et al. (2020),,1
GeoB9508-5,,0.14,1614.3591308594,,,2556.60546875,920.60546875,3,Age model from Jonkers et al. (2020),,1
GeoB9508-5,,0.15,1706.4343261719,,,2654.4152832031,987.4152832031,3,Age model from Jonkers et al. (2020),,1
GeoB9508-5,,0.16,1798.5059814453,,,2775.0947265625,1045.0947265625,3,Age model from Jonkers et al. (2020),,1
GeoB9508-5,,0.17,1890.5814208984,,,2903.1538085938,1090.1538085938,3,Age model from Jonkers et al. (2020),,1
GeoB9508-5,,0.18,1982.6553955078,,,3055.212890625,1132.212890625,3,Age model from Jonkers et al. (2020),,1
GeoB9508-5,,0.19,2080.5861816406,,,3119.5268554688,1237.5269775391,3,Age model from Jonkers et al. (2020),,1
GeoB9508-5,,0.2,2178.5224609375,,,3221.091796875,1315.0919189453,3,Age model from Jonkers et al. (2020),,1
GeoB9508-5,,0.21,2276.4572753906,,,3325.6567382813,1385.6567382813,3,Age model from Jonkers et al. (2020),,1
GeoB9508-5,,0.22,2374.3879394531,,,3422.2216796875,1442.2216796875,3,Age model from Jonkers et al. (2020),,1
GeoB9508-5,,0.23,2472.3259277344,,,3555.7866210938,1493.7866210938,3,Age model from Jonkers et al. (2020),,1
GeoB9508-5,,0.24,2565.2666015625,,,3622.2890625,1605.2889404297,3,Age model from Jonkers et al. (2020),,1
GeoB9508-5,,0.25,2658.2231445313,,,3696.4838867188,1697.4838867188,3,Age model from Jonkers et al. (2020),,1
GeoB9508-5,,0.26,2751.1682128906,,,3791.6787109375,1768.6787109375,3,Age model from Jonkers et al. (2020),,1
GeoB9508-5,,0.27,2844.1110839844,,,3900.8737792969,1835.8737792969,3,Age model from Jonkers et al. (2020),,1
GeoB9508-5,,0.28,2937.060546875,,,4027.0686035156,1890.0686035156,3,Age model from Jonkers et al. (2020),,1
GeoB9508-5,,0.29,3027.8408203125,,,4093.2905273438,1984.2905273438,3,Age model from Jonkers et al. (2020),,1
GeoB9508-5,,0.3,3118.6364746094,,,4171.5126953125,2071.5124511719,3,Age model from Jonkers et al. (2020),,1
GeoB9508-5,,0.31,3209.4130859375,,,4256.734375,2145.734375,3,Age model from Jonkers et al. (2020),,1
GeoB9508-5,,0.32,3300.2084960938,,,4375.9560546875,2213.9560546875,3,Age model from Jonkers et al. (2020),,1
GeoB9508-5,,0.33,3390.99609375,,,4495.177734375,2278.1779785156,3,Age model from Jonkers et al. (2020),,1
GeoB9508-5,,0.34,3483.1394042969,,,4572.6450195313,2392.6450195313,3,Age model from Jonkers et al. (2020),,1
GeoB9508-5,,0.35,3575.2827148438,,,4654.9072265625,2500.9069824219,3,Age model from Jonkers et al. (2020),,1
GeoB9508-5,,0.36,3667.4338378906,,,4739.677734375,2588.6774902344,3,Age model from Jonkers et al. (2020),,1
GeoB9508-5,,0.37,3759.5771484375,,,4852.4482421875,2668.4479980469,3,Age model from Jonkers et al. (2020),,1
GeoB9508-5,,0.38,3851.7292480469,,,4969.21875,2730.2185058594,3,Age model from Jonkers et al. (2020),,1
GeoB9508-5,,0.39,3938.7612304688,,,5016.5078125,2846.5078125,3,Age model from Jonkers et al. (2020),,1
GeoB9508-5,,0.4,4025.7937011719,,,5069.796875,2947.796875,3,Age model from Jonkers et al. (2020),,1
GeoB9508-5,,0.41,4112.8178710938,,,5145.0859375,3041.0861816406,3,Age model from Jonkers et al. (2020),,1
GeoB9508-5,,0.42,4199.8461914063,,,5226.3754882813,3121.3754882813,3,Age model from Jonkers et al. (2020),,1
GeoB9508-5,,0.43,4286.8852539063,,,5320.6645507813,3194.6645507813,3,Age model from Jonkers et al. (2020),,1
GeoB9508-5,,0.44,4380.0092773438,,,5368.861328125,3333.8615722656,3,Age model from Jonkers et al. (2020),,1
GeoB9508-5,,0.45,4473.1357421875,,,5430.05859375,3454.05859375,3,Age model from Jonkers et al. (2020),,1
GeoB9508-5,,0.46,4566.2856445313,,,5492.255859375,3553.2556152344,3,Age model from Jonkers et al. (2020),,1
GeoB9508-5,,0.47,4659.416015625,,,5592.6064453125,3635.6066894531,3,Age model from Jonkers et al. (2020),,1
GeoB9508-5,,0.48,4752.5512695313,,,5697.5512695313,3705.5512695313,3,Age model from Jonkers et al. (2020),,1
GeoB9508-5,,0.49,4841.041015625,,,5739.7763671875,3848.7761230469,3,Age model from Jonkers et al. (2020),,1
GeoB9508-5,,0.5,4929.5390625,,,5786.921875,3975.9216308594,3,Age model from Jonkers et al. (2020),,1
GeoB9508-5,,0.51,5018.0288085938,,,5843.5625,4089.5627441406,3,Age model from Jonkers et al. (2020),,1
GeoB9508-5,,0.52,5106.5380859375,,,5911.2041015625,4190.2041015625,3,Age model from Jonkers et al. (2020),,1
GeoB9508-5,,0.53,5195.0185546875,,,6000.8447265625,4265.8447265625,3,Age model from Jonkers et al. (2020),,1
GeoB9508-5,,0.54,5284.6206054688,,,6040.2260742188,4405.2260742188,3,Age model from Jonkers et al. (2020),,1
GeoB9508-5,,0.55,5374.212890625,,,6083.5693359375,4525.5693359375,3,Age model from Jonkers et al. (2020),,1
GeoB9508-5,,0.56,5463.8154296875,,,6139.5112304688,4628.5112304688,3,Age model from Jonkers et al. (2020),,1
GeoB9508-5,,0.57,5553.4223632813,,,6210.453125,4734.453125,3,Age model from Jonkers et al. (2020),,1
GeoB9508-5,,0.58,5643.0185546875,,,6297.8466796875,4806.8466796875,3,Age model from Jonkers et al. (2020),,1
GeoB9508-5,,0.59,5734.732421875,,,6328.0146484375,4969.0146484375,3,Age model from Jonkers et al. (2020),,1
GeoB9508-5,,0.6,5826.466796875,,,6367.1826171875,5115.1826171875,3,Age model from Jonkers et al. (2020),,1
GeoB9508-5,,0.61,5918.171875,,,6407.3505859375,5227.3505859375,3,Age model from Jonkers et al. (2020),,1
GeoB9508-5,,0.62,6009.9028320313,,,6464.5185546875,5322.5185546875,3,Age model from Jonkers et al. (2020),,1
GeoB9508-5,,0.63,6101.6108398438,,,6546.6083984375,5410.6083984375,3,Age model from Jonkers et al. (2020),,1
GeoB9508-5,,0.64,6190.8837890625,,,6571.1484375,5626.1484375,3,Age model from Jonkers et al. (2020),,1
