Site,Sample label,sample_depth,technique,lab. code,species/material,radiocarbon_age (y),radiocarbon_age_error_plus (y),radiocarbon_age_error_minus (y),reservoir_age (y),reservoir_age_error_plus (y),reservoir_age_error_minus (y),calendar_age (yBP),calendar_age_error_plus (yBP),calendar_age_error_minus (yBP),calibration curve,alignment target,alignment proxy,note1,note2,original reference,data doi
GeoB9526,KIA 35453,0.095,,,,690,25,25,560,100,100,,107,-23,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
GeoB9526,KIA 35454,0.355,,,,2860,30,30,560,100,100,,146,-150,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
GeoB9526,KIA 35456,0.755,,,,6480,40,40,560,100,100,,139,-141,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
GeoB9526,KIA 31575,1.255,,,,11880,80,80,560,200,200,,183,222,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
GeoB9526,KIA 30725,1.405,,,,13155,60,60,560,200,200,,365,394,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
GeoB9526,KIA 30726,1.855,,,,14400,70,70,560,200,200,,290,286,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
GeoB9526,KIA 35457,2.105,,,,15080,75,75,560,200,200,,268,275,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
GeoB9526,KIA 30727,2.655,,,,20640,120,120,560,200,200,,259,276,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
GeoB9526,KIA 30728,3.655,,,,26460,240,240,560,200,200,,418,409,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
GeoB9526,,5.315,,,,34410,614,614,560,200,200,,773,930,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
GeoB9526,,5.475,,,,36599,914,914,560,200,200,,946,888,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
GeoB9526,,6.455,,,,41120,110,110,560,200,200,,279,286,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
GeoB9526,,6.725,,,,43974,496,496,560,200,200,,508,604,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
GeoB9526,,7.605,,,,48842,496,496,560,200,200,,116,74,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
