Site,Sample label,sample_depth,technique,lab. code,species/material,radiocarbon_age (y),radiocarbon_age_error_plus (y),radiocarbon_age_error_minus (y),reservoir_age (y),reservoir_age_error_plus (y),reservoir_age_error_minus (y),calendar_age (yBP),calendar_age_error_plus (yBP),calendar_age_error_minus (yBP),calibration curve,alignment target,alignment proxy,note1,note2,original reference,data doi
GeoB9526,,0.095,,KIA 35453,,690,25,25,560,100,100,156,113,54,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
GeoB9526,,0.355,,KIA 35454,,2860,30,30,560,100,100,2297,130,155,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
GeoB9526,,0.755,,KIA 35456,,6480,40,40,560,100,100,6679,115,140,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
GeoB9526,,1.255,,KIA 31575,,11880,80,80,560,200,200,13112,192,209,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
GeoB9526,,1.405,,KIA 30725,,13155,60,60,560,200,200,14649,364,383,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
GeoB9526,,1.855,,KIA 30726,,14400,70,70,560,200,200,16521,323,281,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
GeoB9526,,2.105,,KIA 35457,,15080,75,75,560,200,200,17429,283,326,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
GeoB9526,,2.655,,KIA 30727,,20640,120,120,560,200,200,23863,310,137,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
GeoB9526,,3.655,,KIA 30728,,26460,240,240,560,200,200,29907,329,407,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
GeoB9526,,5.315,,,,34410,614,614,560,200,200,38479,857,886,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
GeoB9526,,5.475,,,,36599,914,914,560,200,200,40860,820,760,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
GeoB9526,,6.455,,,,41120,110,110,560,200,200,43488,358,68,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
GeoB9526,,6.725,,,,43974,496,496,560,200,200,45650,412,532,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
GeoB9526,,7.605,,,,48842,496,496,560,200,200,51014,955,1030,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
