Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_95_percent(y BP),lower_95_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
GeoB9526,,0.03,522.923828125,,,730.3181152344,325.3181152344,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.04,624.5975341797,,,882.1887817383,391.1887817383,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.05,726.266784668,,,1099.0676269531,438.0676879883,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.06,827.9426879883,,,1342.6166992188,469.6166992188,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.07,929.615234375,,,1600.1657714844,498.1657104492,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.08,1031.2877197266,,,1857.2814941406,521.2814941406,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.09,1127.9375,,,1964.5126953125,600.5127563477,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.1,1224.5352783203,,,2099.1694335938,657.1694335938,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.11,1321.1348876953,,,2227.826171875,703.826171875,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.12,1417.7257080078,,,2405.5532226563,736.5531005859,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.13,1514.3292236328,,,2576.99609375,774.9962158203,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.14,1614.8947753906,,,2695.7109375,858.7108154297,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.15,1715.5404052734,,,2832.2077636719,921.2077026367,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.16,1816.1878662109,,,2976.2426757813,973.2426757813,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.17,1916.8376464844,,,3134.2775878906,1016.2776489258,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.18,2017.4858398438,,,3323.3125,1055.3126220703,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.19,2121.7429199219,,,3425.3610839844,1159.3610839844,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.2,2226.1123046875,,,3539.2468261719,1246.2468261719,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.21,2330.4821777344,,,3691.6625976563,1312.6625976563,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.22,2434.8522949219,,,3868.0786132813,1373.0786132813,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.23,2539.2106933594,,,4113.494140625,1424.4943847656,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.24,2637.4562988281,,,4195.927734375,1516.9274902344,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.25,2735.4396972656,,,4287.376953125,1598.3771972656,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.26,2833.4226074219,,,4386.8271484375,1666.8269042969,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.27,2931.4052734375,,,4505.2763671875,1725.2766113281,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.28,3029.3879394531,,,4636.7265625,1778.7263183594,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.29,3124.6931152344,,,4719.9052734375,1868.9050292969,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.3,3219.853515625,,,4806.044921875,1951.044921875,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.31,3315.0031738281,,,4903.810546875,2021.8103027344,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.32,3410.1608886719,,,5017.1826171875,2086.1826171875,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.33,3505.3110351563,,,5144.5546875,2135.5549316406,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.34,3606.6201171875,,,5229.353515625,2249.353515625,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.35,3708.3095703125,,,5320.29296875,2351.29296875,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.36,3810.0104980469,,,5431.232421875,2435.232421875,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.37,3911.6987304688,,,5550.6762695313,2510.6762695313,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.38,4013.3991699219,,,5674.2841796875,2573.2844238281,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.39,4121.2768554688,,,5778.880859375,2694.880859375,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.4,4229.6533203125,,,5887.8286132813,2798.8286132813,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.41,4338.0161132813,,,6013.7763671875,2884.7763671875,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.42,4446.392578125,,,6142.7236328125,2953.7238769531,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.43,4554.7768554688,,,6290.671875,3018.6716308594,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.44,4650.4780273438,,,6369.5107421875,3112.5107421875,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.45,4745.0688476563,,,6440.2021484375,3202.2021484375,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.46,4839.6552734375,,,6519.8935546875,3279.8933105469,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.47,4934.234375,,,6620.5844726563,3352.5844726563,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.48,5028.8188476563,,,6725.2758789063,3419.2758789063,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.49,5122.892578125,,,6806.1025390625,3528.1025390625,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.5,5216.9116210938,,,6884.5234375,3637.5236816406,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.51,5310.9365234375,,,6986.9448242188,3735.9448242188,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.52,5404.9482421875,,,7088.3657226563,3826.3657226563,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.53,5498.9741210938,,,7187.787109375,3908.7868652344,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.54,5602.9873046875,,,7272.4228515625,4029.4230957031,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.55,5708.126953125,,,7360.8271484375,4142.8271484375,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.56,5813.2749023438,,,7452.2309570313,4246.2309570313,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.57,5918.4252929688,,,7559.634765625,4335.634765625,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.58,6023.5751953125,,,7695.0390625,4417.0390625,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.59,6129.8505859375,,,7781.2578125,4517.2578125,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.6,6236.2866210938,,,7863.4897460938,4615.4897460938,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.61,6342.7368164063,,,7971.0620117188,4710.0620117188,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.62,6449.1689453125,,,8076.6337890625,4788.6337890625,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.63,6555.6030273438,,,8201.2060546875,4859.2060546875,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.64,6657.7475585938,,,8283.7421875,4958.7421875,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.65,6759.2485351563,,,8377.63671875,5066.6372070313,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.66,6860.771484375,,,8476.162109375,5170.162109375,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.67,6962.3129882813,,,8570.658203125,5255.6577148438,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.68,7063.8291015625,,,8691.1533203125,5336.1533203125,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.69,7162.8969726563,,,8769.810546875,5443.810546875,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.7,7261.5810546875,,,8853.9111328125,5550.9111328125,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.71,7360.263671875,,,8940.83984375,5642.8393554688,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.72,7458.9296875,,,9054.767578125,5733.767578125,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.73,7557.63671875,,,9170.6953125,5811.6958007813,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.74,7656.5131835938,,,9262.734375,5929.7338867188,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.75,7755.4389648438,,,9345.43359375,6047.4340820313,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.76,7854.3745117188,,,9434.1337890625,6156.1337890625,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.77,7953.2763671875,,,9526.98828125,6252.9887695313,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.78,8052.203125,,,9627.931640625,6340.9311523438,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.79,8158.4389648438,,,9707.166015625,6462.1665039063,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.8,8265.9833984375,,,9781.6689453125,6588.6689453125,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.81,8373.5400390625,,,9876.171875,6691.1713867188,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.82,8481.1279296875,,,9978.673828125,6788.673828125,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.83,8588.662109375,,,10097.1767578125,6876.1767578125,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.84,8691.013671875,,,10173.693359375,7014.693359375,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.85,8792.396484375,,,10240.916015625,7126.916015625,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.86,8893.734375,,,10322.138671875,7228.138671875,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.87,8995.0849609375,,,10412.361328125,7323.361328125,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.88,9096.4482421875,,,10518.583984375,7404.583984375,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.89,9196.515625,,,10588.2177734375,7528.2177734375,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.9,9296.3193359375,,,10648.041015625,7663.0415039063,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.91,9396.0595703125,,,10721.865234375,7792.8657226563,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.92,9495.87109375,,,10824.689453125,7900.689453125,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.93,9595.6611328125,,,10921.513671875,7994.513671875,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.94,9700.96484375,,,11004.93359375,8135.9331054688,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.95,9807.5146484375,,,11081.9130859375,8275.9130859375,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.96,9914.0595703125,,,11164.892578125,8396.892578125,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.97,10020.609375,,,11268.873046875,8517.873046875,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.98,10127.1318359375,,,11393.6123046875,8615.6123046875,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.99,10225.787109375,,,11461.796875,8733.796875,3,Age model from Jonkers et al. (2020),,1
