Site,Sample_label,hole_label,section_label,published_archival_depth (m),current_depth_model (m),current_depth_model_note,ODP SAMPLE Inventory:: DEPTH(mid) (m),ODP SAMPLE Inventory:: MBSF(mid) (m),ODP SAMPLE Inventory:: MCD(mid) (m),ODP SAMPLE Inventory:: CCSF(mid) (m),depth_model_1 (m),depth_model_note_1,older_depth_model_2 (m)
GeoB9526,,,,0.03,0.03,,,,,,0.03,depth model from Jonkers et al. 2020,
GeoB9526,,,,0.05,0.05,,,,,,0.05,depth model from Jonkers et al. 2020,
GeoB9526,,,,0.25,0.25,,,,,,0.25,depth model from Jonkers et al. 2020,
GeoB9526,,,,0.35,0.35,,,,,,0.35,depth model from Jonkers et al. 2020,
GeoB9526,,,,0.4,0.4,,,,,,0.4,depth model from Jonkers et al. 2020,
GeoB9526,,,,0.45,0.45,,,,,,0.45,depth model from Jonkers et al. 2020,
GeoB9526,,,,0.5,0.5,,,,,,0.5,depth model from Jonkers et al. 2020,
GeoB9526,,,,0.55,0.55,,,,,,0.55,depth model from Jonkers et al. 2020,
GeoB9526,,,,0.6,0.6,,,,,,0.6,depth model from Jonkers et al. 2020,
GeoB9526,,,,0.65,0.65,,,,,,0.65,depth model from Jonkers et al. 2020,
GeoB9526,,,,0.7,0.7,,,,,,0.7,depth model from Jonkers et al. 2020,
GeoB9526,,,,0.75,0.75,,,,,,0.75,depth model from Jonkers et al. 2020,
GeoB9526,,,,0.8,0.8,,,,,,0.8,depth model from Jonkers et al. 2020,
GeoB9526,,,,0.85,0.85,,,,,,0.85,depth model from Jonkers et al. 2020,
GeoB9526,,,,0.9,0.9,,,,,,0.9,depth model from Jonkers et al. 2020,
GeoB9526,,,,0.95,0.95,,,,,,0.95,depth model from Jonkers et al. 2020,
GeoB9526,,,,1.0,1.0,,,,,,1.0,depth model from Jonkers et al. 2020,
GeoB9526,,,,1.05,1.05,,,,,,1.05,depth model from Jonkers et al. 2020,
GeoB9526,,,,1.1,1.1,,,,,,1.1,depth model from Jonkers et al. 2020,
GeoB9526,,,,1.15,1.15,,,,,,1.15,depth model from Jonkers et al. 2020,
GeoB9526,,,,1.2,1.2,,,,,,1.2,depth model from Jonkers et al. 2020,
GeoB9526,,,,1.25,1.25,,,,,,1.25,depth model from Jonkers et al. 2020,
GeoB9526,,,,1.3,1.3,,,,,,1.3,depth model from Jonkers et al. 2020,
GeoB9526,,,,1.35,1.35,,,,,,1.35,depth model from Jonkers et al. 2020,
GeoB9526,,,,1.4,1.4,,,,,,1.4,depth model from Jonkers et al. 2020,
GeoB9526,,,,1.45,1.45,,,,,,1.45,depth model from Jonkers et al. 2020,
GeoB9526,,,,1.5,1.5,,,,,,1.5,depth model from Jonkers et al. 2020,
GeoB9526,,,,1.55,1.55,,,,,,1.55,depth model from Jonkers et al. 2020,
GeoB9526,,,,1.6,1.6,,,,,,1.6,depth model from Jonkers et al. 2020,
GeoB9526,,,,1.65,1.65,,,,,,1.65,depth model from Jonkers et al. 2020,
GeoB9526,,,,1.7,1.7,,,,,,1.7,depth model from Jonkers et al. 2020,
GeoB9526,,,,1.75,1.75,,,,,,1.75,depth model from Jonkers et al. 2020,
GeoB9526,,,,1.8,1.8,,,,,,1.8,depth model from Jonkers et al. 2020,
GeoB9526,,,,1.85,1.85,,,,,,1.85,depth model from Jonkers et al. 2020,
GeoB9526,,,,1.9,1.9,,,,,,1.9,depth model from Jonkers et al. 2020,
GeoB9526,,,,1.95,1.95,,,,,,1.95,depth model from Jonkers et al. 2020,
GeoB9526,,,,2.0,2.0,,,,,,2.0,depth model from Jonkers et al. 2020,
GeoB9526,,,,2.05,2.05,,,,,,2.05,depth model from Jonkers et al. 2020,
GeoB9526,,,,2.1,2.1,,,,,,2.1,depth model from Jonkers et al. 2020,
GeoB9526,,,,2.15,2.15,,,,,,2.15,depth model from Jonkers et al. 2020,
GeoB9526,,,,2.2,2.2,,,,,,2.2,depth model from Jonkers et al. 2020,
GeoB9526,,,,2.25,2.25,,,,,,2.25,depth model from Jonkers et al. 2020,
GeoB9526,,,,2.3,2.3,,,,,,2.3,depth model from Jonkers et al. 2020,
GeoB9526,,,,2.35,2.35,,,,,,2.35,depth model from Jonkers et al. 2020,
GeoB9526,,,,2.4,2.4,,,,,,2.4,depth model from Jonkers et al. 2020,
GeoB9526,,,,2.45,2.45,,,,,,2.45,depth model from Jonkers et al. 2020,
GeoB9526,,,,2.5,2.5,,,,,,2.5,depth model from Jonkers et al. 2020,
GeoB9526,,,,2.55,2.55,,,,,,2.55,depth model from Jonkers et al. 2020,
GeoB9526,,,,2.6,2.6,,,,,,2.6,depth model from Jonkers et al. 2020,
GeoB9526,,,,2.65,2.65,,,,,,2.65,depth model from Jonkers et al. 2020,
GeoB9526,,,,2.7,2.7,,,,,,2.7,depth model from Jonkers et al. 2020,
GeoB9526,,,,2.75,2.75,,,,,,2.75,depth model from Jonkers et al. 2020,
GeoB9526,,,,2.8,2.8,,,,,,2.8,depth model from Jonkers et al. 2020,
GeoB9526,,,,2.85,2.85,,,,,,2.85,depth model from Jonkers et al. 2020,
GeoB9526,,,,2.9,2.9,,,,,,2.9,depth model from Jonkers et al. 2020,
GeoB9526,,,,2.95,2.95,,,,,,2.95,depth model from Jonkers et al. 2020,
GeoB9526,,,,3.0,3.0,,,,,,3.0,depth model from Jonkers et al. 2020,
GeoB9526,,,,3.05,3.05,,,,,,3.05,depth model from Jonkers et al. 2020,
GeoB9526,,,,3.1,3.1,,,,,,3.1,depth model from Jonkers et al. 2020,
GeoB9526,,,,3.15,3.15,,,,,,3.15,depth model from Jonkers et al. 2020,
GeoB9526,,,,3.2,3.2,,,,,,3.2,depth model from Jonkers et al. 2020,
GeoB9526,,,,3.25,3.25,,,,,,3.25,depth model from Jonkers et al. 2020,
GeoB9526,,,,3.3,3.3,,,,,,3.3,depth model from Jonkers et al. 2020,
GeoB9526,,,,3.35,3.35,,,,,,3.35,depth model from Jonkers et al. 2020,
GeoB9526,,,,3.4,3.4,,,,,,3.4,depth model from Jonkers et al. 2020,
GeoB9526,,,,3.45,3.45,,,,,,3.45,depth model from Jonkers et al. 2020,
GeoB9526,,,,3.5,3.5,,,,,,3.5,depth model from Jonkers et al. 2020,
GeoB9526,,,,3.55,3.55,,,,,,3.55,depth model from Jonkers et al. 2020,
GeoB9526,,,,3.6,3.6,,,,,,3.6,depth model from Jonkers et al. 2020,
GeoB9526,,,,3.65,3.65,,,,,,3.65,depth model from Jonkers et al. 2020,
