Site,Sample_label,hole_label,section_label,published_archival_depth (m),current_depth_model (m),current_depth_model_note,ODP SAMPLE Inventory:: DEPTH(mid) (m),ODP SAMPLE Inventory:: MBSF(mid) (m),ODP SAMPLE Inventory:: MCD(mid) (m),ODP SAMPLE Inventory:: CCSF(mid) (m),depth_model_1 (m),depth_model_note_1,older_depth_model_2 (m)
GeoB9526,,,,0.03,0.03,mcd,,,,,0.03,depth model from Peterson and Lisiecki 2018,
GeoB9526,,,,0.05,0.05,mcd,,,,,0.05,depth model from Peterson and Lisiecki 2018,
GeoB9526,,,,0.1,0.25,mcd,,,,,0.1,depth model from Peterson and Lisiecki 2018,
GeoB9526,,,,0.2,0.35,mcd,,,,,0.2,depth model from Peterson and Lisiecki 2018,
GeoB9526,,,,0.25,0.4,mcd,,,,,0.25,depth model from Peterson and Lisiecki 2018,
GeoB9526,,,,0.3,0.45,mcd,,,,,0.3,depth model from Peterson and Lisiecki 2018,
GeoB9526,,,,0.35,0.5,mcd,,,,,0.35,depth model from Peterson and Lisiecki 2018,
GeoB9526,,,,0.4,0.55,mcd,,,,,0.4,depth model from Peterson and Lisiecki 2018,
GeoB9526,,,,0.45,0.6,mcd,,,,,0.45,depth model from Peterson and Lisiecki 2018,
GeoB9526,,,,0.5,0.65,mcd,,,,,0.5,depth model from Peterson and Lisiecki 2018,
GeoB9526,,,,0.55,0.7,mcd,,,,,0.55,depth model from Peterson and Lisiecki 2018,
GeoB9526,,,,0.6,0.75,mcd,,,,,0.6,depth model from Peterson and Lisiecki 2018,
GeoB9526,,,,0.65,0.8,mcd,,,,,0.65,depth model from Peterson and Lisiecki 2018,
GeoB9526,,,,0.7,0.85,mcd,,,,,0.7,depth model from Peterson and Lisiecki 2018,
GeoB9526,,,,0.75,0.9,mcd,,,,,0.75,depth model from Peterson and Lisiecki 2018,
GeoB9526,,,,0.8,0.95,mcd,,,,,0.8,depth model from Peterson and Lisiecki 2018,
GeoB9526,,,,0.85,1,mcd,,,,,0.85,depth model from Peterson and Lisiecki 2018,
GeoB9526,,,,0.9,1.05,mcd,,,,,0.9,depth model from Peterson and Lisiecki 2018,
GeoB9526,,,,0.95,1.1,mcd,,,,,0.95,depth model from Peterson and Lisiecki 2018,
GeoB9526,,,,1,1.15,mcd,,,,,1,depth model from Peterson and Lisiecki 2018,
GeoB9526,,,,1.05,1.2,mcd,,,,,1.05,depth model from Peterson and Lisiecki 2018,
GeoB9526,,,,1.1,1.25,mcd,,,,,1.1,depth model from Peterson and Lisiecki 2018,
GeoB9526,,,,1.15,1.3,mcd,,,,,1.15,depth model from Peterson and Lisiecki 2018,
GeoB9526,,,,1.2,1.35,mcd,,,,,1.2,depth model from Peterson and Lisiecki 2018,
GeoB9526,,,,1.25,1.4,mcd,,,,,1.25,depth model from Peterson and Lisiecki 2018,
GeoB9526,,,,1.3,1.45,mcd,,,,,1.3,depth model from Peterson and Lisiecki 2018,
GeoB9526,,,,1.35,1.5,mcd,,,,,1.35,depth model from Peterson and Lisiecki 2018,
GeoB9526,,,,1.4,1.55,mcd,,,,,1.4,depth model from Peterson and Lisiecki 2018,
GeoB9526,,,,1.45,1.6,mcd,,,,,1.45,depth model from Peterson and Lisiecki 2018,
GeoB9526,,,,1.5,1.65,mcd,,,,,1.5,depth model from Peterson and Lisiecki 2018,
GeoB9526,,,,1.55,1.7,mcd,,,,,1.55,depth model from Peterson and Lisiecki 2018,
GeoB9526,,,,1.6,1.75,mcd,,,,,1.6,depth model from Peterson and Lisiecki 2018,
GeoB9526,,,,1.65,1.8,mcd,,,,,1.65,depth model from Peterson and Lisiecki 2018,
GeoB9526,,,,1.7,1.85,mcd,,,,,1.7,depth model from Peterson and Lisiecki 2018,
GeoB9526,,,,1.75,1.9,mcd,,,,,1.75,depth model from Peterson and Lisiecki 2018,
GeoB9526,,,,1.8,1.95,mcd,,,,,1.8,depth model from Peterson and Lisiecki 2018,
GeoB9526,,,,1.85,2,mcd,,,,,1.85,depth model from Peterson and Lisiecki 2018,
GeoB9526,,,,1.9,2.05,mcd,,,,,1.9,depth model from Peterson and Lisiecki 2018,
GeoB9526,,,,1.95,2.1,mcd,,,,,1.95,depth model from Peterson and Lisiecki 2018,
GeoB9526,,,,2,2.15,mcd,,,,,2,depth model from Peterson and Lisiecki 2018,
GeoB9526,,,,2.05,2.2,mcd,,,,,2.05,depth model from Peterson and Lisiecki 2018,
GeoB9526,,,,2.1,2.25,mcd,,,,,2.1,depth model from Peterson and Lisiecki 2018,
GeoB9526,,,,2.15,2.3,mcd,,,,,2.15,depth model from Peterson and Lisiecki 2018,
GeoB9526,,,,2.2,2.35,mcd,,,,,2.2,depth model from Peterson and Lisiecki 2018,
GeoB9526,,,,2.25,2.4,mcd,,,,,2.25,depth model from Peterson and Lisiecki 2018,
GeoB9526,,,,2.3,2.45,mcd,,,,,2.3,depth model from Peterson and Lisiecki 2018,
GeoB9526,,,,2.35,2.5,mcd,,,,,2.35,depth model from Peterson and Lisiecki 2018,
GeoB9526,,,,2.4,2.55,mcd,,,,,2.4,depth model from Peterson and Lisiecki 2018,
GeoB9526,,,,2.45,2.6,mcd,,,,,2.45,depth model from Peterson and Lisiecki 2018,
GeoB9526,,,,2.5,2.65,mcd,,,,,2.5,depth model from Peterson and Lisiecki 2018,
GeoB9526,,,,2.55,2.7,mcd,,,,,2.55,depth model from Peterson and Lisiecki 2018,
GeoB9526,,,,2.6,2.75,mcd,,,,,2.6,depth model from Peterson and Lisiecki 2018,
GeoB9526,,,,2.65,2.8,mcd,,,,,2.65,depth model from Peterson and Lisiecki 2018,
GeoB9526,,,,2.7,2.85,mcd,,,,,2.7,depth model from Peterson and Lisiecki 2018,
GeoB9526,,,,2.75,2.9,mcd,,,,,2.75,depth model from Peterson and Lisiecki 2018,
GeoB9526,,,,2.8,2.95,mcd,,,,,2.8,depth model from Peterson and Lisiecki 2018,
GeoB9526,,,,2.85,3,mcd,,,,,2.85,depth model from Peterson and Lisiecki 2018,
GeoB9526,,,,2.9,3.05,mcd,,,,,2.9,depth model from Peterson and Lisiecki 2018,
GeoB9526,,,,2.95,3.1,mcd,,,,,2.95,depth model from Peterson and Lisiecki 2018,
GeoB9526,,,,3,3.15,mcd,,,,,3,depth model from Peterson and Lisiecki 2018,
GeoB9526,,,,3.05,3.2,mcd,,,,,3.05,depth model from Peterson and Lisiecki 2018,
GeoB9526,,,,3.1,3.25,mcd,,,,,3.1,depth model from Peterson and Lisiecki 2018,
GeoB9526,,,,3.15,3.3,mcd,,,,,3.15,depth model from Peterson and Lisiecki 2018,
GeoB9526,,,,3.2,3.35,mcd,,,,,3.2,depth model from Peterson and Lisiecki 2018,
GeoB9526,,,,3.25,3.4,mcd,,,,,3.25,depth model from Peterson and Lisiecki 2018,
GeoB9526,,,,3.3,3.45,mcd,,,,,3.3,depth model from Peterson and Lisiecki 2018,
GeoB9526,,,,3.35,3.5,mcd,,,,,3.35,depth model from Peterson and Lisiecki 2018,
