Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
GeoB9526,,0.03,0.78,2.96,0.78,2.96,2-5,125,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Zarriess, M. and Mackensen, A.: Testing the impact of seasonal phytodetritus deposition onδ13C of epibenthic foraminiferCibicidoides wuellerstorfi: A 31,000 year high-resolution record from the northwest African continental slope, Paleoceanography, 26(2), n/a–n/a, doi:10.1029/2010pa001944, 2011. AND Zarriess, M., Johnstone, H., Prange, M., Steph, S., Groeneveld, J., Mulitza, S. and Mackensen, A.: Bipolar seesaw in the northeastern tropical Atlantic during Heinrich stadials, Geophysical Research Letters, 38(4), n/a–n/a, doi:10.1029/2010gl046070, 2011.",,"https://doi.pangaea.de/10.1594/PANGAEA.756414, https://doi.pangaea.de/10.1594/PANGAEA.756436",1
GeoB9526,,0.05,0.71,2.95,0.71,2.95,2-5,125,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Zarriess, M. and Mackensen, A.: Testing the impact of seasonal phytodetritus deposition onδ13C of epibenthic foraminiferCibicidoides wuellerstorfi: A 31,000 year high-resolution record from the northwest African continental slope, Paleoceanography, 26(2), n/a–n/a, doi:10.1029/2010pa001944, 2011. AND Zarriess, M., Johnstone, H., Prange, M., Steph, S., Groeneveld, J., Mulitza, S. and Mackensen, A.: Bipolar seesaw in the northeastern tropical Atlantic during Heinrich stadials, Geophysical Research Letters, 38(4), n/a–n/a, doi:10.1029/2010gl046070, 2011.",,"https://doi.pangaea.de/10.1594/PANGAEA.756414, https://doi.pangaea.de/10.1594/PANGAEA.756436",1
GeoB9526,,0.25,0.07,2.89,0.07,2.89,2-5,125,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Zarriess, M. and Mackensen, A.: Testing the impact of seasonal phytodetritus deposition onδ13C of epibenthic foraminiferCibicidoides wuellerstorfi: A 31,000 year high-resolution record from the northwest African continental slope, Paleoceanography, 26(2), n/a–n/a, doi:10.1029/2010pa001944, 2011. AND Zarriess, M., Johnstone, H., Prange, M., Steph, S., Groeneveld, J., Mulitza, S. and Mackensen, A.: Bipolar seesaw in the northeastern tropical Atlantic during Heinrich stadials, Geophysical Research Letters, 38(4), n/a–n/a, doi:10.1029/2010gl046070, 2011.",,"https://doi.pangaea.de/10.1594/PANGAEA.756414, https://doi.pangaea.de/10.1594/PANGAEA.756436",1
GeoB9526,,0.35,0.54,2.83,0.54,2.83,2-5,125,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Zarriess, M. and Mackensen, A.: Testing the impact of seasonal phytodetritus deposition onδ13C of epibenthic foraminiferCibicidoides wuellerstorfi: A 31,000 year high-resolution record from the northwest African continental slope, Paleoceanography, 26(2), n/a–n/a, doi:10.1029/2010pa001944, 2011. AND Zarriess, M., Johnstone, H., Prange, M., Steph, S., Groeneveld, J., Mulitza, S. and Mackensen, A.: Bipolar seesaw in the northeastern tropical Atlantic during Heinrich stadials, Geophysical Research Letters, 38(4), n/a–n/a, doi:10.1029/2010gl046070, 2011.",,"https://doi.pangaea.de/10.1594/PANGAEA.756414, https://doi.pangaea.de/10.1594/PANGAEA.756436",1
GeoB9526,,0.4,0.68,2.89,0.68,2.89,2-5,125,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Zarriess, M. and Mackensen, A.: Testing the impact of seasonal phytodetritus deposition onδ13C of epibenthic foraminiferCibicidoides wuellerstorfi: A 31,000 year high-resolution record from the northwest African continental slope, Paleoceanography, 26(2), n/a–n/a, doi:10.1029/2010pa001944, 2011. AND Zarriess, M., Johnstone, H., Prange, M., Steph, S., Groeneveld, J., Mulitza, S. and Mackensen, A.: Bipolar seesaw in the northeastern tropical Atlantic during Heinrich stadials, Geophysical Research Letters, 38(4), n/a–n/a, doi:10.1029/2010gl046070, 2011.",,"https://doi.pangaea.de/10.1594/PANGAEA.756414, https://doi.pangaea.de/10.1594/PANGAEA.756436",1
GeoB9526,,0.45,0.67,2.81,0.67,2.81,2-5,125,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Zarriess, M. and Mackensen, A.: Testing the impact of seasonal phytodetritus deposition onδ13C of epibenthic foraminiferCibicidoides wuellerstorfi: A 31,000 year high-resolution record from the northwest African continental slope, Paleoceanography, 26(2), n/a–n/a, doi:10.1029/2010pa001944, 2011. AND Zarriess, M., Johnstone, H., Prange, M., Steph, S., Groeneveld, J., Mulitza, S. and Mackensen, A.: Bipolar seesaw in the northeastern tropical Atlantic during Heinrich stadials, Geophysical Research Letters, 38(4), n/a–n/a, doi:10.1029/2010gl046070, 2011.",,"https://doi.pangaea.de/10.1594/PANGAEA.756414, https://doi.pangaea.de/10.1594/PANGAEA.756436",1
GeoB9526,,0.5,0.85,2.76,0.85,2.76,2-5,125,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Zarriess, M. and Mackensen, A.: Testing the impact of seasonal phytodetritus deposition onδ13C of epibenthic foraminiferCibicidoides wuellerstorfi: A 31,000 year high-resolution record from the northwest African continental slope, Paleoceanography, 26(2), n/a–n/a, doi:10.1029/2010pa001944, 2011. AND Zarriess, M., Johnstone, H., Prange, M., Steph, S., Groeneveld, J., Mulitza, S. and Mackensen, A.: Bipolar seesaw in the northeastern tropical Atlantic during Heinrich stadials, Geophysical Research Letters, 38(4), n/a–n/a, doi:10.1029/2010gl046070, 2011.",,"https://doi.pangaea.de/10.1594/PANGAEA.756414, https://doi.pangaea.de/10.1594/PANGAEA.756436",1
GeoB9526,,0.55,0.8,2.8,0.8,2.8,2-5,125,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Zarriess, M. and Mackensen, A.: Testing the impact of seasonal phytodetritus deposition onδ13C of epibenthic foraminiferCibicidoides wuellerstorfi: A 31,000 year high-resolution record from the northwest African continental slope, Paleoceanography, 26(2), n/a–n/a, doi:10.1029/2010pa001944, 2011. AND Zarriess, M., Johnstone, H., Prange, M., Steph, S., Groeneveld, J., Mulitza, S. and Mackensen, A.: Bipolar seesaw in the northeastern tropical Atlantic during Heinrich stadials, Geophysical Research Letters, 38(4), n/a–n/a, doi:10.1029/2010gl046070, 2011.",,"https://doi.pangaea.de/10.1594/PANGAEA.756414, https://doi.pangaea.de/10.1594/PANGAEA.756436",1
GeoB9526,,0.6,0.98,2.84,0.98,2.84,2-5,125,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Zarriess, M. and Mackensen, A.: Testing the impact of seasonal phytodetritus deposition onδ13C of epibenthic foraminiferCibicidoides wuellerstorfi: A 31,000 year high-resolution record from the northwest African continental slope, Paleoceanography, 26(2), n/a–n/a, doi:10.1029/2010pa001944, 2011. AND Zarriess, M., Johnstone, H., Prange, M., Steph, S., Groeneveld, J., Mulitza, S. and Mackensen, A.: Bipolar seesaw in the northeastern tropical Atlantic during Heinrich stadials, Geophysical Research Letters, 38(4), n/a–n/a, doi:10.1029/2010gl046070, 2011.",,"https://doi.pangaea.de/10.1594/PANGAEA.756414, https://doi.pangaea.de/10.1594/PANGAEA.756436",1
GeoB9526,,0.65,0.74,2.69,0.74,2.69,2-5,125,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Zarriess, M. and Mackensen, A.: Testing the impact of seasonal phytodetritus deposition onδ13C of epibenthic foraminiferCibicidoides wuellerstorfi: A 31,000 year high-resolution record from the northwest African continental slope, Paleoceanography, 26(2), n/a–n/a, doi:10.1029/2010pa001944, 2011. AND Zarriess, M., Johnstone, H., Prange, M., Steph, S., Groeneveld, J., Mulitza, S. and Mackensen, A.: Bipolar seesaw in the northeastern tropical Atlantic during Heinrich stadials, Geophysical Research Letters, 38(4), n/a–n/a, doi:10.1029/2010gl046070, 2011.",,"https://doi.pangaea.de/10.1594/PANGAEA.756414, https://doi.pangaea.de/10.1594/PANGAEA.756436",1
