Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_95_percent(y BP),lower_95_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
H214,,0.3220000076,3646.9328613281,,,3928.2700195313,3378.2700195313,3,Age model from Jonkers et al. (2020),,1
H214,,0.3320000076,3738.1625976563,,,4067.4182128906,3454.4182128906,3,Age model from Jonkers et al. (2020),,1
H214,,0.3420000076,3829.3967285156,,,4223.56640625,3506.5661621094,3,Age model from Jonkers et al. (2020),,1
H214,,0.3520000076,3920.6279296875,,,4417.7143554688,3540.7143554688,3,Age model from Jonkers et al. (2020),,1
H214,,0.3620000076,4011.8566894531,,,4618.8623046875,3574.8625488281,3,Age model from Jonkers et al. (2020),,1
H214,,0.3720000076,4103.0854492188,,,4842.0107421875,3604.0104980469,3,Age model from Jonkers et al. (2020),,1
H214,,0.3820000076,4209.0063476563,,,4954.9799804688,3690.9799804688,3,Age model from Jonkers et al. (2020),,1
H214,,0.3920000076,4316.828125,,,5037.0239257813,3754.0239257813,3,Age model from Jonkers et al. (2020),,1
H214,,0.4020000076,4424.6489257813,,,5161.6708984375,3804.6711425781,3,Age model from Jonkers et al. (2020),,1
H214,,0.4120000076,4532.4672851563,,,5338.318359375,3848.318359375,3,Age model from Jonkers et al. (2020),,1
H214,,0.4220000076,4640.2890625,,,5538.9658203125,3888.9655761719,3,Age model from Jonkers et al. (2020),,1
H214,,0.4320000076,4741.63671875,,,5664.6850585938,3982.6850585938,3,Age model from Jonkers et al. (2020),,1
H214,,0.4420000076,4841.0541992188,,,5778.869140625,4072.869140625,3,Age model from Jonkers et al. (2020),,1
H214,,0.4520000076,4940.4873046875,,,5899.6767578125,4145.6767578125,3,Age model from Jonkers et al. (2020),,1
H214,,0.4620000076,5039.890625,,,6024.0673828125,4210.0673828125,3,Age model from Jonkers et al. (2020),,1
H214,,0.4720000076,5139.3237304688,,,6151.4584960938,4267.4584960938,3,Age model from Jonkers et al. (2020),,1
H214,,0.4820000076,5243.1337890625,,,6235.2294921875,4376.2294921875,3,Age model from Jonkers et al. (2020),,1
H214,,0.4920000076,5349.2670898438,,,6309.181640625,4492.181640625,3,Age model from Jonkers et al. (2020),,1
H214,,0.5020000076,5455.38671875,,,6404.2905273438,4578.2905273438,3,Age model from Jonkers et al. (2020),,1
H214,,0.5120000076,5561.5141601563,,,6525.3989257813,4664.3989257813,3,Age model from Jonkers et al. (2020),,1
H214,,0.5220000076,5667.62890625,,,6660.958984375,4739.958984375,3,Age model from Jonkers et al. (2020),,1
H214,,0.5320000076,5778.6713867188,,,6768.0727539063,4859.0727539063,3,Age model from Jonkers et al. (2020),,1
H214,,0.5420000076,5893.8784179688,,,6825.3740234375,4991.3740234375,3,Age model from Jonkers et al. (2020),,1
H214,,0.5520000076,6009.0971679688,,,6906.849609375,5101.849609375,3,Age model from Jonkers et al. (2020),,1
H214,,0.5620000076,6124.2915039063,,,6993.3256835938,5203.3256835938,3,Age model from Jonkers et al. (2020),,1
H214,,0.5720000076,6239.5009765625,,,7097.8012695313,5291.8012695313,3,Age model from Jonkers et al. (2020),,1
H214,,0.5820000076,6345.6083984375,,,7202.9516601563,5379.9516601563,3,Age model from Jonkers et al. (2020),,1
H214,,0.5920000076,6439.5249023438,,,7255.3798828125,5505.3798828125,3,Age model from Jonkers et al. (2020),,1
H214,,0.6020000076,6533.439453125,,,7308.8076171875,5631.8076171875,3,Age model from Jonkers et al. (2020),,1
H214,,0.6120000076,6627.3344726563,,,7374.2353515625,5739.2353515625,3,Age model from Jonkers et al. (2020),,1
H214,,0.6220000076,6721.2451171875,,,7455.6635742188,5824.6635742188,3,Age model from Jonkers et al. (2020),,1
H214,,0.6320000076,6815.986328125,,,7532.314453125,5934.314453125,3,Age model from Jonkers et al. (2020),,1
