Site,Sample_label,hole_label,section_label,published_archival_depth (m),current_depth_model (m),current_depth_model_note,ODP SAMPLE Inventory:: DEPTH(mid) (m),ODP SAMPLE Inventory:: MBSF(mid) (m),ODP SAMPLE Inventory:: MCD(mid) (m),ODP SAMPLE Inventory:: CCSF(mid) (m),depth_model_1 (m),depth_model_note_1,older_depth_model_2 (m)
H214,,H214,,0.005,0.005,,,,,,0.005,depth model from Jonkers et al. 2020 compilation,
H214,,H214,,0.111,0.111,,,,,,0.111,depth model from Jonkers et al. 2020 compilation,
H214,,H214,,0.217,0.217,,,,,,0.217,depth model from Jonkers et al. 2020 compilation,
H214,,H214,,0.322,0.322,,,,,,0.322,depth model from Jonkers et al. 2020 compilation,
H214,,H214,,0.428,0.428,,,,,,0.428,depth model from Jonkers et al. 2020 compilation,
H214,,H214,,0.534,0.534,,,,,,0.534,depth model from Jonkers et al. 2020 compilation,
H214,,H214,,0.64,0.64,,,,,,0.64,depth model from Jonkers et al. 2020 compilation,
H214,,H214,,0.763,0.763,,,,,,0.763,depth model from Jonkers et al. 2020 compilation,
H214,,H214,,0.859,0.859,,,,,,0.859,depth model from Jonkers et al. 2020 compilation,
H214,,H214,,1.02,1.02,,,,,,1.02,depth model from Jonkers et al. 2020 compilation,
H214,,H214,,1.042,1.042,,,,,,1.042,depth model from Jonkers et al. 2020 compilation,
H214,,H214,,1.064,1.064,,,,,,1.064,depth model from Jonkers et al. 2020 compilation,
H214,,H214,,1.086,1.086,,,,,,1.086,depth model from Jonkers et al. 2020 compilation,
H214,,H214,,1.109,1.109,,,,,,1.109,depth model from Jonkers et al. 2020 compilation,
H214,,H214,,1.131,1.131,,,,,,1.131,depth model from Jonkers et al. 2020 compilation,
H214,,H214,,1.153,1.153,,,,,,1.153,depth model from Jonkers et al. 2020 compilation,
H214,,H214,,1.197,1.197,,,,,,1.197,depth model from Jonkers et al. 2020 compilation,
H214,,H214,,1.219,1.219,,,,,,1.219,depth model from Jonkers et al. 2020 compilation,
H214,,H214,,1.242,1.242,,,,,,1.242,depth model from Jonkers et al. 2020 compilation,
H214,,H214,,1.264,1.264,,,,,,1.264,depth model from Jonkers et al. 2020 compilation,
H214,,H214,,1.286,1.286,,,,,,1.286,depth model from Jonkers et al. 2020 compilation,
H214,,H214,,1.308,1.308,,,,,,1.308,depth model from Jonkers et al. 2020 compilation,
H214,,H214,,1.33,1.33,,,,,,1.33,depth model from Jonkers et al. 2020 compilation,
H214,,H214,,1.353,1.353,,,,,,1.353,depth model from Jonkers et al. 2020 compilation,
H214,,H214,,1.375,1.375,,,,,,1.375,depth model from Jonkers et al. 2020 compilation,
H214,,H214,,1.397,1.397,,,,,,1.397,depth model from Jonkers et al. 2020 compilation,
H214,,H214,,1.419,1.419,,,,,,1.419,depth model from Jonkers et al. 2020 compilation,
H214,,H214,,1.463,1.463,,,,,,1.463,depth model from Jonkers et al. 2020 compilation,
H214,,H214,,1.595,1.595,,,,,,1.595,depth model from Jonkers et al. 2020 compilation,
H214,,H214,,1.606,1.606,,,,,,1.606,depth model from Jonkers et al. 2020 compilation,
H214,,H214,,1.617,1.617,,,,,,1.617,depth model from Jonkers et al. 2020 compilation,
H214,,H214,,1.628,1.628,,,,,,1.628,depth model from Jonkers et al. 2020 compilation,
H214,,H214,,1.639,1.639,,,,,,1.639,depth model from Jonkers et al. 2020 compilation,
H214,,H214,,1.65,1.65,,,,,,1.65,depth model from Jonkers et al. 2020 compilation,
H214,,H214,,1.76,1.76,,,,,,1.76,depth model from Jonkers et al. 2020 compilation,
H214,,H214,,1.815,1.815,,,,,,1.815,depth model from Jonkers et al. 2020 compilation,
H214,,H214,,1.869,1.869,,,,,,1.869,depth model from Jonkers et al. 2020 compilation,
H214,,H214,,1.924,1.924,,,,,,1.924,depth model from Jonkers et al. 2020 compilation,
H214,,H214,,1.979,1.979,,,,,,1.979,depth model from Jonkers et al. 2020 compilation,
H214,,H214,,2.079,2.079,,,,,,2.079,depth model from Jonkers et al. 2020 compilation,
H214,,H214,,2.116,2.116,,,,,,2.116,depth model from Jonkers et al. 2020 compilation,
H214,,H214,,2.173,2.173,,,,,,2.173,depth model from Jonkers et al. 2020 compilation,
H214,,H214,,2.232,2.232,,,,,,2.232,depth model from Jonkers et al. 2020 compilation,
H214,,H214,,2.349,2.349,,,,,,2.349,depth model from Jonkers et al. 2020 compilation,
H214,,H214,,2.419,2.419,,,,,,2.419,depth model from Jonkers et al. 2020 compilation,
H214,,H214,,2.466,2.466,,,,,,2.466,depth model from Jonkers et al. 2020 compilation,
H214,,H214,,2.584,2.584,,,,,,2.584,depth model from Jonkers et al. 2020 compilation,
