Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_97.5_percent(y BP),lower_97.5_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
HU-90-013-013P,,0.99,4254.0654296875,,,4768.091796875,4261.091796875,"3,5",Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
HU-90-013-013P,,1.0,4291.46484375,,,4780.3837890625,4291.3837890625,"3,5",Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
HU-90-013-013P,,1.01,4328.8544921875,,,4804.67578125,4323.67578125,"3,5",Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
HU-90-013-013P,,1.02,4366.2490234375,,,4827.9677734375,4354.9677734375,"3,5",Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
HU-90-013-013P,,1.03,4403.64453125,,,4850.259765625,4389.259765625,"3,5",Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
HU-90-013-013P,,1.04,4441.03466796875,,,4885.5517578125,4422.5517578125,"3,5",Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
HU-90-013-013P,,1.05,4478.4296875,,,4919.17578125,4461.17578125,"3,5",Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
HU-90-013-013P,,1.06,4515.82861328125,,,4953.0302734375,4500.0302734375,"3,5",Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
HU-90-013-013P,,1.07,4553.22021484375,,,4998.884765625,4537.884765625,"3,5",Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
HU-90-013-013P,,1.08,4590.61669921875,,,5059.7392578125,4574.7392578125,"3,5",Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
HU-90-013-013P,,1.09,4628.01513671875,,,5113.59423828125,4605.59423828125,"3,5",Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
HU-90-013-013P,,1.1,4663.890625,,,5155.9814453125,4643.9814453125,"3,5",Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
HU-90-013-013P,,1.11,4699.693359375,,,5193.220703125,4683.220703125,"3,5",Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
HU-90-013-013P,,1.12,4735.5087890625,,,5232.16015625,4720.16015625,"3,5",Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
HU-90-013-013P,,1.13,4771.30419921875,,,5281.099609375,4757.099609375,"3,5",Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
HU-90-013-013P,,1.14,4807.1220703125,,,5330.0390625,4793.0390625,"3,5",Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
HU-90-013-013P,,1.15,4843.2900390625,,,5370.04931640625,4830.04931640625,"3,5",Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
HU-90-013-013P,,1.16,4879.505859375,,,5411.310546875,4868.310546875,"3,5",Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
HU-90-013-013P,,1.17,4915.72998046875,,,5445.7568359375,4906.7568359375,"3,5",Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
HU-90-013-013P,,1.18,4951.94775390625,,,5496.3662109375,4944.3662109375,"3,5",Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
HU-90-013-013P,,1.19,4988.16552734375,,,5546.9755859375,4977.9755859375,"3,5",Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
HU-90-013-013P,,1.2,5025.13330078125,,,5577.26123046875,5018.26123046875,"3,5",Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
HU-90-013-013P,,1.21,5062.212890625,,,5616.64013671875,5057.64013671875,"3,5",Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
HU-90-013-013P,,1.22,5099.27685546875,,,5661.5107421875,5094.5107421875,"3,5",Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
HU-90-013-013P,,1.23,5136.32275390625,,,5710.673828125,5133.673828125,"3,5",Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
HU-90-013-013P,,1.24,5173.392578125,,,5760.90625,5166.90625,"3,5",Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
HU-90-013-013P,,1.25,5210.22265625,,,5797.49072265625,5201.49072265625,"3,5",Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
HU-90-013-013P,,1.26,5247.017578125,,,5824.796875,5240.796875,"3,5",Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
HU-90-013-013P,,1.27,5283.80908203125,,,5869.10302734375,5278.10302734375,"3,5",Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
HU-90-013-013P,,1.28,5320.6064453125,,,5915.40966796875,5314.40966796875,"3,5",Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
HU-90-013-013P,,1.29,5357.4228515625,,,5961.7158203125,5352.7158203125,"3,5",Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
HU-90-013-013P,,1.3,5393.8134765625,,,5986.703125,5385.703125,"3,5",Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
HU-90-013-013P,,1.31,5430.14794921875,,,6019.52490234375,5425.52490234375,"3,5",Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
HU-90-013-013P,,1.32,5466.48583984375,,,6060.34619140625,5464.34619140625,"3,5",Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
HU-90-013-013P,,1.33,5502.82958984375,,,6096.16796875,5503.16796875,"3,5",Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
HU-90-013-013P,,1.34,5539.177734375,,,6147.9892578125,5541.9892578125,"3,5",Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
HU-90-013-013P,,1.35,5575.48876953125,,,6179.30029296875,5577.30029296875,"3,5",Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
HU-90-013-013P,,1.36,5611.7861328125,,,6210.578125,5614.578125,"3,5",Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
HU-90-013-013P,,1.37,5648.0986328125,,,6246.5185546875,5648.5185546875,"3,5",Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
HU-90-013-013P,,1.38,5684.41259765625,,,6291.458984375,5685.458984375,"3,5",Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
HU-90-013-013P,,1.39,5720.71728515625,,,6341.3994140625,5718.3994140625,"3,5",Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
HU-90-013-013P,,1.4,5757.10302734375,,,6371.72607421875,5756.72607421875,"3,5",Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
HU-90-013-013P,,1.41,5793.5400390625,,,6394.15771484375,5794.15771484375,"3,5",Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
HU-90-013-013P,,1.42,5829.94091796875,,,6423.58984375,5829.58984375,"3,5",Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
HU-90-013-013P,,1.43,5866.3564453125,,,6457.021484375,5869.021484375,"3,5",Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
HU-90-013-013P,,1.44,5902.779296875,,,6488.453125,5909.453125,"3,5",Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
HU-90-013-013P,,1.45,5942.81103515625,,,6527.9619140625,5948.9619140625,"3,5",Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
HU-90-013-013P,,1.46,5983.8125,,,6550.80810546875,5988.80810546875,"3,5",Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
HU-90-013-013P,,1.47,6024.79541015625,,,6589.654296875,6032.654296875,"3,5",Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
