Site,Sample_label,hole_label,section_label,published_archival_depth (m),current_depth_model (m),current_depth_model_note,ODP SAMPLE Inventory:: DEPTH(mid) (m),ODP SAMPLE Inventory:: MBSF(mid) (m),ODP SAMPLE Inventory:: MCD(mid) (m),ODP SAMPLE Inventory:: CCSF(mid) (m),depth_model_1 (m),depth_model_note_1,older_depth_model_2 (m)
HU-90-013-013P,,,,0.09,0.09,,,,,,0.09,depth model from Repschlaeger et al. 2021,
HU-90-013-013P,,,,0.19,0.19,,,,,,0.19,depth model from Repschlaeger et al. 2021,
HU-90-013-013P,,,,0.29,0.29,,,,,,0.29,depth model from Repschlaeger et al. 2021,
HU-90-013-013P,,,,0.39,0.39,,,,,,0.39,depth model from Repschlaeger et al. 2021,
HU-90-013-013P,,,,0.69,0.69,,,,,,0.69,depth model from Repschlaeger et al. 2021,
HU-90-013-013P,,,,0.805,0.805,,,,,,0.805,depth model from Repschlaeger et al. 2021,
HU-90-013-013P,,,,0.905,0.905,,,,,,0.905,depth model from Repschlaeger et al. 2021,
HU-90-013-013P,,,,0.99,0.99,,,,,,0.99,depth model from Repschlaeger et al. 2021,
HU-90-013-013P,,,,1.105,1.105,,,,,,1.105,depth model from Repschlaeger et al. 2021,
HU-90-013-013P,,,,1.29,1.29,,,,,,1.29,depth model from Repschlaeger et al. 2021,
HU-90-013-013P,,,,1.38,1.38,,,,,,1.38,depth model from Repschlaeger et al. 2021,
HU-90-013-013P,,,,1.495,1.495,,,,,,1.495,depth model from Repschlaeger et al. 2021,
HU-90-013-013P,,,,1.595,1.595,,,,,,1.595,depth model from Repschlaeger et al. 2021,
HU-90-013-013P,,,,1.69,1.69,,,,,,1.69,depth model from Repschlaeger et al. 2021,
HU-90-013-013P,,,,2.09,2.09,,,,,,2.09,depth model from Repschlaeger et al. 2021,
HU-90-013-013P,,,,2.19,2.19,,,,,,2.19,depth model from Repschlaeger et al. 2021,
HU-90-013-013P,,,,2.395,2.395,,,,,,2.395,depth model from Repschlaeger et al. 2021,
HU-90-013-013P,,,,2.495,2.495,,,,,,2.495,depth model from Repschlaeger et al. 2021,
HU-90-013-013P,,,,3.89,3.89,,,,,,3.89,depth model from Repschlaeger et al. 2021,
HU-90-013-013P,,,,4.003,4.003,,,,,,4.003,depth model from Repschlaeger et al. 2021,
HU-90-013-013P,,,,4.155,4.155,,,,,,4.155,depth model from Repschlaeger et al. 2021,
HU-90-013-013P,,,,4.515,4.515,,,,,,4.515,depth model from Repschlaeger et al. 2021,
HU-90-013-013P,,,,4.685,4.685,,,,,,4.685,depth model from Repschlaeger et al. 2021,
HU-90-013-013P,,,,4.845,4.845,,,,,,4.845,depth model from Repschlaeger et al. 2021,
HU-90-013-013P,,,,12.06,12.06,,,,,,12.06,depth model from Repschlaeger et al. 2021,
HU-90-013-013P,,,,12.47,12.47,,,,,,12.47,depth model from Repschlaeger et al. 2021,
HU-90-013-013P,,,,12.57,12.57,,,,,,12.57,depth model from Repschlaeger et al. 2021,
HU-90-013-013P,,,,12.67,12.67,,,,,,12.67,depth model from Repschlaeger et al. 2021,
HU-90-013-013P,,,,12.77,12.77,,,,,,12.77,depth model from Repschlaeger et al. 2021,
HU-90-013-013P,,,,12.87,12.87,,,,,,12.87,depth model from Repschlaeger et al. 2021,
HU-90-013-013P,,,,12.97,12.97,,,,,,12.97,depth model from Repschlaeger et al. 2021,
HU-90-013-013P,,,,13.07,13.07,,,,,,13.07,depth model from Repschlaeger et al. 2021,
HU-90-013-013P,,,,13.17,13.17,,,,,,13.17,depth model from Repschlaeger et al. 2021,
HU-90-013-013P,,,,13.27,13.27,,,,,,13.27,depth model from Repschlaeger et al. 2021,
HU-90-013-013P,,,,13.37,13.37,,,,,,13.37,depth model from Repschlaeger et al. 2021,
HU-90-013-013P,,,,13.47,13.47,,,,,,13.47,depth model from Repschlaeger et al. 2021,
HU-90-013-013P,,,,13.57,13.57,,,,,,13.57,depth model from Repschlaeger et al. 2021,
HU-90-013-013P,,,,13.67,13.67,,,,,,13.67,depth model from Repschlaeger et al. 2021,
HU-90-013-013P,,,,13.97,13.97,,,,,,13.97,depth model from Repschlaeger et al. 2021,
HU-90-013-013P,,,,14.12,14.12,,,,,,14.12,depth model from Repschlaeger et al. 2021,
HU-90-013-013P,,,,14.37,14.37,,,,,,14.37,depth model from Repschlaeger et al. 2021,
HU-90-013-013P,,,,14.47,14.47,,,,,,14.47,depth model from Repschlaeger et al. 2021,
HU-90-013-013P,,,,14.56,14.56,,,,,,14.56,depth model from Repschlaeger et al. 2021,
