Site,Sample_label,hole_label,section_label,published_archival_depth (m),current_depth_model (m),current_depth_model_note,ODP SAMPLE Inventory:: DEPTH(mid) (m),ODP SAMPLE Inventory:: MBSF(mid) (m),ODP SAMPLE Inventory:: MCD(mid) (m),ODP SAMPLE Inventory:: CCSF(mid) (m),depth_model_1 (m),depth_model_note_1,older_depth_model_2 (m)
HYIV2015-B9,,,,0.05,0.05,,,,,,0.05,,
HYIV2015-B9,,,,0.09,0.09,,,,,,0.09,,
HYIV2015-B9,,,,0.13,0.13,,,,,,0.13,,
HYIV2015-B9,,,,0.21,0.21,,,,,,0.21,,
HYIV2015-B9,,,,0.25,0.25,,,,,,0.25,,
HYIV2015-B9,,,,0.29,0.29,,,,,,0.29,,
HYIV2015-B9,,,,0.33,0.33,,,,,,0.33,,
HYIV2015-B9,,,,0.35,0.35,,,,,,0.35,,
HYIV2015-B9,,,,0.37,0.37,,,,,,0.37,,
HYIV2015-B9,,,,0.39,0.39,,,,,,0.39,,
HYIV2015-B9,,,,0.41,0.41,,,,,,0.41,,
HYIV2015-B9,,,,0.45,0.45,,,,,,0.45,,
HYIV2015-B9,,,,0.47,0.47,,,,,,0.47,,
HYIV2015-B9,,,,0.49,0.49,,,,,,0.49,,
HYIV2015-B9,,,,0.53,0.53,,,,,,0.53,,
HYIV2015-B9,,,,0.57,0.57,,,,,,0.57,,
HYIV2015-B9,,,,0.61,0.61,,,,,,0.61,,
HYIV2015-B9,,,,0.65,0.65,,,,,,0.65,,
HYIV2015-B9,,,,0.69,0.69,,,,,,0.69,,
HYIV2015-B9,,,,0.71,0.71,,,,,,0.71,,
HYIV2015-B9,,,,0.75,0.75,,,,,,0.75,,
HYIV2015-B9,,,,0.77,0.77,,,,,,0.77,,
HYIV2015-B9,,,,0.81,0.81,,,,,,0.81,,
HYIV2015-B9,,,,0.85,0.85,,,,,,0.85,,
HYIV2015-B9,,,,0.89,0.89,,,,,,0.89,,
HYIV2015-B9,,,,0.93,0.93,,,,,,0.93,,
HYIV2015-B9,,,,0.97,0.97,,,,,,0.97,,
HYIV2015-B9,,,,1.01,1.01,,,,,,1.01,,
HYIV2015-B9,,,,1.05,1.05,,,,,,1.05,,
HYIV2015-B9,,,,1.13,1.13,,,,,,1.13,,
HYIV2015-B9,,,,1.17,1.17,,,,,,1.17,,
HYIV2015-B9,,,,1.21,1.21,,,,,,1.21,,
HYIV2015-B9,,,,1.25,1.25,,,,,,1.25,,
HYIV2015-B9,,,,1.29,1.29,,,,,,1.29,,
HYIV2015-B9,,,,1.33,1.33,,,,,,1.33,,
HYIV2015-B9,,,,1.41,1.41,,,,,,1.41,,
HYIV2015-B9,,,,1.45,1.45,,,,,,1.45,,
HYIV2015-B9,,,,1.49,1.49,,,,,,1.49,,
HYIV2015-B9,,,,1.53,1.53,,,,,,1.53,,
HYIV2015-B9,,,,1.57,1.57,,,,,,1.57,,
HYIV2015-B9,,,,1.61,1.61,,,,,,1.61,,
HYIV2015-B9,,,,1.65,1.65,,,,,,1.65,,
