Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
HYIV2015-B9,,0.05,0.207,2.59,0.207,2.59,,250,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"Li, G., Rashid, H., Zhong, L., Xu, X., Yan, W., and Chen, Z.: Changes in Deep Water Oxygenation of the South China Sea Since the Last Glacial Period, Geophys. Res. Lett., 45, 9058-9066, doi:10.1029/2018GL078568, 2018.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.899180",1
HYIV2015-B9,,0.09,0.13,2.679,0.13,2.679,,250,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"Li, G., Rashid, H., Zhong, L., Xu, X., Yan, W., and Chen, Z.: Changes in Deep Water Oxygenation of the South China Sea Since the Last Glacial Period, Geophys. Res. Lett., 45, 9058-9066, doi:10.1029/2018GL078568, 2018.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.899180",1
HYIV2015-B9,,0.13,0.153,2.588,0.153,2.588,,250,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"Li, G., Rashid, H., Zhong, L., Xu, X., Yan, W., and Chen, Z.: Changes in Deep Water Oxygenation of the South China Sea Since the Last Glacial Period, Geophys. Res. Lett., 45, 9058-9066, doi:10.1029/2018GL078568, 2018.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.899180",1
HYIV2015-B9,,0.21,0.042,2.338,0.042,2.338,,250,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"Li, G., Rashid, H., Zhong, L., Xu, X., Yan, W., and Chen, Z.: Changes in Deep Water Oxygenation of the South China Sea Since the Last Glacial Period, Geophys. Res. Lett., 45, 9058-9066, doi:10.1029/2018GL078568, 2018.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.899180",1
HYIV2015-B9,,0.25,0.073,2.723,0.073,2.723,,250,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"Li, G., Rashid, H., Zhong, L., Xu, X., Yan, W., and Chen, Z.: Changes in Deep Water Oxygenation of the South China Sea Since the Last Glacial Period, Geophys. Res. Lett., 45, 9058-9066, doi:10.1029/2018GL078568, 2018.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.899180",1
HYIV2015-B9,,0.29,-0.018,2.77,-0.018,2.77,,250,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"Li, G., Rashid, H., Zhong, L., Xu, X., Yan, W., and Chen, Z.: Changes in Deep Water Oxygenation of the South China Sea Since the Last Glacial Period, Geophys. Res. Lett., 45, 9058-9066, doi:10.1029/2018GL078568, 2018.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.899180",1
HYIV2015-B9,,0.33,0.028,2.487,0.028,2.487,,250,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"Li, G., Rashid, H., Zhong, L., Xu, X., Yan, W., and Chen, Z.: Changes in Deep Water Oxygenation of the South China Sea Since the Last Glacial Period, Geophys. Res. Lett., 45, 9058-9066, doi:10.1029/2018GL078568, 2018.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.899180",1
HYIV2015-B9,,0.35,-0.178,3.051,-0.178,3.051,,250,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"Li, G., Rashid, H., Zhong, L., Xu, X., Yan, W., and Chen, Z.: Changes in Deep Water Oxygenation of the South China Sea Since the Last Glacial Period, Geophys. Res. Lett., 45, 9058-9066, doi:10.1029/2018GL078568, 2018.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.899180",1
HYIV2015-B9,,0.37,-0.185,3.512,-0.185,3.512,,250,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"Li, G., Rashid, H., Zhong, L., Xu, X., Yan, W., and Chen, Z.: Changes in Deep Water Oxygenation of the South China Sea Since the Last Glacial Period, Geophys. Res. Lett., 45, 9058-9066, doi:10.1029/2018GL078568, 2018.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.899180",1
HYIV2015-B9,,0.39,-0.066,3.931,-0.066,3.931,,250,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"Li, G., Rashid, H., Zhong, L., Xu, X., Yan, W., and Chen, Z.: Changes in Deep Water Oxygenation of the South China Sea Since the Last Glacial Period, Geophys. Res. Lett., 45, 9058-9066, doi:10.1029/2018GL078568, 2018.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.899180",1
HYIV2015-B9,,0.41,-0.122,3.658,-0.122,3.658,,250,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"Li, G., Rashid, H., Zhong, L., Xu, X., Yan, W., and Chen, Z.: Changes in Deep Water Oxygenation of the South China Sea Since the Last Glacial Period, Geophys. Res. Lett., 45, 9058-9066, doi:10.1029/2018GL078568, 2018.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.899180",1
HYIV2015-B9,,0.45,-0.074,3.069,-0.074,3.069,,250,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"Li, G., Rashid, H., Zhong, L., Xu, X., Yan, W., and Chen, Z.: Changes in Deep Water Oxygenation of the South China Sea Since the Last Glacial Period, Geophys. Res. Lett., 45, 9058-9066, doi:10.1029/2018GL078568, 2018.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.899180",1
HYIV2015-B9,,0.47,-0.158,3.647,-0.158,3.647,,250,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"Li, G., Rashid, H., Zhong, L., Xu, X., Yan, W., and Chen, Z.: Changes in Deep Water Oxygenation of the South China Sea Since the Last Glacial Period, Geophys. Res. Lett., 45, 9058-9066, doi:10.1029/2018GL078568, 2018.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.899180",1
HYIV2015-B9,,0.49,-0.149,3.607,-0.149,3.607,,250,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"Li, G., Rashid, H., Zhong, L., Xu, X., Yan, W., and Chen, Z.: Changes in Deep Water Oxygenation of the South China Sea Since the Last Glacial Period, Geophys. Res. Lett., 45, 9058-9066, doi:10.1029/2018GL078568, 2018.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.899180",1
HYIV2015-B9,,0.53,-0.202,3.681,-0.202,3.681,,250,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"Li, G., Rashid, H., Zhong, L., Xu, X., Yan, W., and Chen, Z.: Changes in Deep Water Oxygenation of the South China Sea Since the Last Glacial Period, Geophys. Res. Lett., 45, 9058-9066, doi:10.1029/2018GL078568, 2018.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.899180",1
HYIV2015-B9,,0.57,-0.152,4.157,-0.152,4.157,,250,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"Li, G., Rashid, H., Zhong, L., Xu, X., Yan, W., and Chen, Z.: Changes in Deep Water Oxygenation of the South China Sea Since the Last Glacial Period, Geophys. Res. Lett., 45, 9058-9066, doi:10.1029/2018GL078568, 2018.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.899180",1
HYIV2015-B9,,0.61,-0.225,4.248,-0.225,4.248,,250,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"Li, G., Rashid, H., Zhong, L., Xu, X., Yan, W., and Chen, Z.: Changes in Deep Water Oxygenation of the South China Sea Since the Last Glacial Period, Geophys. Res. Lett., 45, 9058-9066, doi:10.1029/2018GL078568, 2018.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.899180",1
HYIV2015-B9,,0.65,-0.194,4.112,-0.194,4.112,,250,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"Li, G., Rashid, H., Zhong, L., Xu, X., Yan, W., and Chen, Z.: Changes in Deep Water Oxygenation of the South China Sea Since the Last Glacial Period, Geophys. Res. Lett., 45, 9058-9066, doi:10.1029/2018GL078568, 2018.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.899180",1
HYIV2015-B9,,0.69,-0.112,4.489,-0.112,4.489,,250,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"Li, G., Rashid, H., Zhong, L., Xu, X., Yan, W., and Chen, Z.: Changes in Deep Water Oxygenation of the South China Sea Since the Last Glacial Period, Geophys. Res. Lett., 45, 9058-9066, doi:10.1029/2018GL078568, 2018.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.899180",1
HYIV2015-B9,,0.71,-0.245,4.347,-0.245,4.347,,250,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"Li, G., Rashid, H., Zhong, L., Xu, X., Yan, W., and Chen, Z.: Changes in Deep Water Oxygenation of the South China Sea Since the Last Glacial Period, Geophys. Res. Lett., 45, 9058-9066, doi:10.1029/2018GL078568, 2018.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.899180",1
HYIV2015-B9,,0.75,-0.184,4.224,-0.184,4.224,,250,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"Li, G., Rashid, H., Zhong, L., Xu, X., Yan, W., and Chen, Z.: Changes in Deep Water Oxygenation of the South China Sea Since the Last Glacial Period, Geophys. Res. Lett., 45, 9058-9066, doi:10.1029/2018GL078568, 2018.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.899180",1
HYIV2015-B9,,0.77,-0.079,4.348,-0.079,4.348,,250,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"Li, G., Rashid, H., Zhong, L., Xu, X., Yan, W., and Chen, Z.: Changes in Deep Water Oxygenation of the South China Sea Since the Last Glacial Period, Geophys. Res. Lett., 45, 9058-9066, doi:10.1029/2018GL078568, 2018.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.899180",1
