Site,Sample_label,hole_label,section_label,published_archival_depth (m),current_depth_model (m),current_depth_model_note,ODP SAMPLE Inventory:: DEPTH(mid) (m),ODP SAMPLE Inventory:: MBSF(mid) (m),ODP SAMPLE Inventory:: MCD(mid) (m),ODP SAMPLE Inventory:: CCSF(mid) (m),depth_model_1 (m),depth_model_note_1,older_depth_model_2 (m)
IODP-303-U1308,,,,0.0,0.0,,,,,,0.0,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,0.02,0.02,,,,,,0.02,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,0.04,0.04,,,,,,0.04,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,0.06,0.06,,,,,,0.06,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,0.08,0.08,,,,,,0.08,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,0.1,0.1,,,,,,0.1,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,0.12,0.12,,,,,,0.12,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,0.14,0.14,,,,,,0.14,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,0.16,0.16,,,,,,0.16,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,0.18,0.18,,,,,,0.18,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,0.2,0.2,,,,,,0.2,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,0.22,0.22,,,,,,0.22,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,0.24,0.24,,,,,,0.24,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,0.26,0.26,,,,,,0.26,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,0.28,0.28,,,,,,0.28,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,0.3,0.3,,,,,,0.3,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,0.32,0.32,,,,,,0.32,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,0.34,0.34,,,,,,0.34,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,0.36,0.36,,,,,,0.36,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,0.38,0.38,,,,,,0.38,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,0.4,0.4,,,,,,0.4,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,0.42,0.42,,,,,,0.42,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,0.44,0.44,,,,,,0.44,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,0.46,0.46,,,,,,0.46,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,0.48,0.48,,,,,,0.48,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,0.5,0.5,,,,,,0.5,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,0.52,0.52,,,,,,0.52,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,0.54,0.54,,,,,,0.54,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,0.56,0.56,,,,,,0.56,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,0.58,0.58,,,,,,0.58,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,0.6,0.6,,,,,,0.6,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,0.62,0.62,,,,,,0.62,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,0.64,0.64,,,,,,0.64,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,0.66,0.66,,,,,,0.66,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,0.68,0.68,,,,,,0.68,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,0.7,0.7,,,,,,0.7,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,0.72,0.72,,,,,,0.72,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,0.74,0.74,,,,,,0.74,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,0.76,0.76,,,,,,0.76,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,0.78,0.78,,,,,,0.78,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,0.8,0.8,,,,,,0.8,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,0.82,0.82,,,,,,0.82,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,0.84,0.84,,,,,,0.84,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,0.86,0.86,,,,,,0.86,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,0.9,0.9,,,,,,0.9,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,0.92,0.92,,,,,,0.92,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,0.96,0.96,,,,,,0.96,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,0.98,0.98,,,,,,0.98,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,1.0,1.0,,,,,,1.0,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,1.02,1.02,,,,,,1.02,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,1.04,1.04,,,,,,1.04,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,1.06,1.06,,,,,,1.06,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,1.08,1.08,,,,,,1.08,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,1.1,1.1,,,,,,1.1,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,1.12,1.12,,,,,,1.12,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,1.14,1.14,,,,,,1.14,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,1.16,1.16,,,,,,1.16,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,1.16,1.16,,,,,,1.16,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,1.18,1.18,,,,,,1.18,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,1.18,1.18,,,,,,1.18,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,1.2,1.2,,,,,,1.2,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,1.2,1.2,,,,,,1.2,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,1.22,1.22,,,,,,1.22,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,1.22,1.22,,,,,,1.22,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,1.24,1.24,,,,,,1.24,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,1.24,1.24,,,,,,1.24,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,1.26,1.26,,,,,,1.26,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,1.28,1.28,,,,,,1.28,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,1.3,1.3,,,,,,1.3,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,1.34,1.34,,,,,,1.34,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,1.36,1.36,,,,,,1.36,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,1.36,1.36,,,,,,1.36,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,1.38,1.38,,,,,,1.38,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,1.38,1.38,,,,,,1.38,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,1.4,1.4,,,,,,1.4,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,1.4,1.4,,,,,,1.4,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,1.42,1.42,,,,,,1.42,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,1.42,1.42,,,,,,1.42,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,1.44,1.44,,,,,,1.44,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,1.46,1.46,,,,,,1.46,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,1.48,1.48,,,,,,1.48,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,1.5,1.5,,,,,,1.5,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,1.52,1.52,,,,,,1.52,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,1.54,1.54,,,,,,1.54,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,1.56,1.56,,,,,,1.56,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,1.58,1.58,,,,,,1.58,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,1.6,1.6,,,,,,1.6,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,1.62,1.62,,,,,,1.62,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,1.66,1.66,,,,,,1.66,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,1.68,1.68,,,,,,1.68,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,1.74,1.74,,,,,,1.74,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,1.8,1.8,,,,,,1.8,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,1.82,1.82,,,,,,1.82,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,1.84,1.84,,,,,,1.84,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,1.86,1.86,,,,,,1.86,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,1.9,1.9,,,,,,1.9,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,1.92,1.92,,,,,,1.92,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,1.94,1.94,,,,,,1.94,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,1.96,1.96,,,,,,1.96,depth model from Peterson and Lisiecki 2018,
IODP-303-U1308,,,,1.98,1.98,,,,,,1.98,depth model from Peterson and Lisiecki 2018,
