Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_95_percent(y BP),lower_95_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
IODP-323-U1339,,0.06,40.7407407,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
IODP-323-U1339,,0.33,244.4444444,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
IODP-323-U1339,,0.61,448.1481481,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
IODP-323-U1339,,0.88,651.8518519,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
IODP-323-U1339,,1.16,855.5555556,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
IODP-323-U1339,,1.43,1059.2592593,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
IODP-323-U1339,,1.71,1262.962963,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
IODP-323-U1339,,1.98,1466.6666667,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
IODP-323-U1339,,2.26,1670.3703704,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
IODP-323-U1339,,2.53,1874.0740741,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
IODP-323-U1339,,2.81,2077.7777778,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
IODP-323-U1339,,3.08,2281.4814815,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
IODP-323-U1339,,3.36,2485.1851852,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
IODP-323-U1339,,3.63,2688.8888889,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
IODP-323-U1339,,3.91,2892.5925926,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
IODP-323-U1339,,4.18,3096.2962963,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
IODP-323-U1339,,4.46,3300,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
IODP-323-U1339,,4.73,3503.7037037,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
IODP-323-U1339,,5.01,3707.4074074,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
IODP-323-U1339,,5.28,3911.1111111,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
IODP-323-U1339,,5.56,4114.8148148,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
IODP-323-U1339,,5.83,4318.5185185,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
IODP-323-U1339,,6.11,4522.2222222,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
IODP-323-U1339,,6.38,4725.9259259,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
IODP-323-U1339,,6.66,4929.6296296,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
IODP-323-U1339,,6.93,5133.3333333,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
IODP-323-U1339,,7.21,5337.037037,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
IODP-323-U1339,,7.48,5540.7407407,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
IODP-323-U1339,,7.76,5744.4444444,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
IODP-323-U1339,,8.03,5948.1481481,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
IODP-323-U1339,,8.45,6257.7777778,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
IODP-323-U1339,,8.72,6461.4814815,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
IODP-323-U1339,,9,6665.1851852,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
IODP-323-U1339,,9.27,6868.8888889,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
IODP-323-U1339,,9.55,7072.5925926,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
IODP-323-U1339,,9.82,7276.2962963,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
IODP-323-U1339,,10.1,7480,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
IODP-323-U1339,,10.37,7683.7037037,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
IODP-323-U1339,,10.65,7887.4074074,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
IODP-323-U1339,,10.92,8091.1111111,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
IODP-323-U1339,,11.14,8294.8148148,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
IODP-323-U1339,,11.33,8498.5185185,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
IODP-323-U1339,,11.52,8702.2222222,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
IODP-323-U1339,,11.72,8905.9259259,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
IODP-323-U1339,,11.91,9109.6296296,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
IODP-323-U1339,,12.1,9313.3333333,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
IODP-323-U1339,,12.29,9517.037037,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
IODP-323-U1339,,12.48,9720.7407407,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
IODP-323-U1339,,12.68,9924.4444444,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
IODP-323-U1339,,12.87,10128.1481481,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
IODP-323-U1339,,13.06,10331.8518519,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
IODP-323-U1339,,13.45,10739.2592593,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
IODP-323-U1339,,13.64,10942.962963,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
IODP-323-U1339,,13.83,11180,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
IODP-323-U1339,,14.02,11430,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
IODP-323-U1339,,14.22,11680,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
