Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
IODP-323-U1339,,0.0006,-1.28,3.73,,,,,,Uvigerina,5,,,,,Cook et al. 2016,,,,1
IODP-323-U1339,,0.0033000000000000004,-1.26,3.73,,,,,,Uvigerina,5,,,,,Cook et al. 2016,,,,1
IODP-323-U1339,,0.0061,-1.19,3.72,,,,,,Uvigerina,5,,,,,Cook et al. 2016,,,,1
IODP-323-U1339,,0.0088,-1.27,3.7,,,,,,Uvigerina,5,,,,,Cook et al. 2016,,,,1
IODP-323-U1339,,0.0116,-1.13,3.78,,,,,,Uvigerina,5,,,,,Cook et al. 2016,,,,1
IODP-323-U1339,,0.0143,-1.17,3.67,,,,,,Uvigerina,5,,,,,Cook et al. 2016,,,,1
IODP-323-U1339,,0.0171,-1.17,3.74,,,,,,Uvigerina,5,,,,,Cook et al. 2016,,,,1
IODP-323-U1339,,0.0198,-1.05,3.72,,,,,,Uvigerina,5,,,,,Cook et al. 2016,,,,1
IODP-323-U1339,,0.0226,-1.07,3.8,,,,,,Uvigerina,5,,,,,Cook et al. 2016,,,,1
IODP-323-U1339,,0.0253,-1.08,3.76,,,,,,Uvigerina,5,,,,,Cook et al. 2016,,,,1
IODP-323-U1339,,0.0281,-1.08,3.78,,,,,,Uvigerina,5,,,,,Cook et al. 2016,,,,1
IODP-323-U1339,,0.0308,-1.08,3.73,,,,,,Uvigerina,5,,,,,Cook et al. 2016,,,,1
IODP-323-U1339,,0.0336,-1.05,3.85,,,,,,Uvigerina,5,,,,,Cook et al. 2016,,,,1
IODP-323-U1339,,0.0363,-1.05,3.81,,,,,,Uvigerina,5,,,,,Cook et al. 2016,,,,1
IODP-323-U1339,,0.0391,-1.0,3.79,,,,,,Uvigerina,5,,,,,Cook et al. 2016,,,,1
IODP-323-U1339,,0.0418,-1.06,3.76,,,,,,Uvigerina,5,,,,,Cook et al. 2016,,,,1
IODP-323-U1339,,0.0446,-1.13,3.72,,,,,,Uvigerina,5,,,,,Cook et al. 2016,,,,1
IODP-323-U1339,,0.04730000000000001,-1.4,3.41,,,,,,Uvigerina,5,,,,,Cook et al. 2016,,,,1
IODP-323-U1339,,0.0501,-1.19,3.77,,,,,,Uvigerina,5,,,,,Cook et al. 2016,,,,1
IODP-323-U1339,,0.05280000000000001,-1.3,3.62,,,,,,Uvigerina,5,,,,,Cook et al. 2016,,,,1
IODP-323-U1339,,0.0556,-1.18,3.68,,,,,,Uvigerina,5,,,,,Cook et al. 2016,,,,1
IODP-323-U1339,,0.058300000000000005,-1.29,3.66,,,,,,Uvigerina,5,,,,,Cook et al. 2016,,,,1
IODP-323-U1339,,0.0611,-1.29,3.75,,,,,,Uvigerina,5,,,,,Cook et al. 2016,,,,1
IODP-323-U1339,,0.0638,-1.41,3.71,,,,,,Uvigerina,5,,,,,Cook et al. 2016,,,,1
IODP-323-U1339,,0.0666,-1.32,3.67,,,,,,Uvigerina,5,,,,,Cook et al. 2016,,,,1
IODP-323-U1339,,0.0693,-1.21,3.73,,,,,,Uvigerina,5,,,,,Cook et al. 2016,,,,1
IODP-323-U1339,,0.0721,-1.27,3.67,,,,,,Uvigerina,5,,,,,Cook et al. 2016,,,,1
IODP-323-U1339,,0.0748,-1.44,3.69,,,,,,Uvigerina,5,,,,,Cook et al. 2016,,,,1
IODP-323-U1339,,0.0776,-1.35,3.68,,,,,,Uvigerina,5,,,,,Cook et al. 2016,,,,1
IODP-323-U1339,,0.0803,-1.25,3.87,,,,,,Uvigerina,5,,,,,Cook et al. 2016,,,,1
IODP-323-U1339,,0.08449999999999999,-1.35,3.66,,,,,,Uvigerina,5,,,,,Cook et al. 2016,,,,1
IODP-323-U1339,,0.08720000000000001,-1.31,3.81,,,,,,Uvigerina,5,,,,,Cook et al. 2016,,,,1
IODP-323-U1339,,0.09,-1.15,3.76,,,,,,Uvigerina,5,,,,,Cook et al. 2016,,,,1
IODP-323-U1339,,0.09269999999999999,-1.2,3.8,,,,,,Uvigerina,5,,,,,Cook et al. 2016,,,,1
IODP-323-U1339,,0.09550000000000002,-1.27,3.88,,,,,,Uvigerina,5,,,,,Cook et al. 2016,,,,1
IODP-323-U1339,,0.09820000000000001,-1.25,3.73,,,,,,Uvigerina,5,,,,,Cook et al. 2016,,,,1
IODP-323-U1339,,0.10099999999999999,-1.29,3.88,,,,,,Uvigerina,5,,,,,Cook et al. 2016,,,,1
IODP-323-U1339,,0.1037,-1.15,3.88,,,,,,Uvigerina,5,,,,,Cook et al. 2016,,,,1
IODP-323-U1339,,0.10650000000000001,-1.18,3.84,,,,,,Uvigerina,5,,,,,Cook et al. 2016,,,,1
IODP-323-U1339,,0.1092,-1.43,3.83,,,,,,Uvigerina,5,,,,,Cook et al. 2016,,,,1
IODP-323-U1339,,0.11140000000000001,-1.4,3.82,,,,,,Uvigerina,5,,,,,Cook et al. 2016,,,,1
IODP-323-U1339,,0.1133,-1.42,3.92,,,,,,Uvigerina,5,,,,,Cook et al. 2016,,,,1
IODP-323-U1339,,0.1152,-1.28,3.92,,,,,,Uvigerina,5,,,,,Cook et al. 2016,,,,1
IODP-323-U1339,,0.11720000000000001,-1.44,4.01,,,,,,Uvigerina,5,,,,,Cook et al. 2016,,,,1
IODP-323-U1339,,0.1191,-1.36,3.92,,,,,,Uvigerina,5,,,,,Cook et al. 2016,,,,1
IODP-323-U1339,,0.121,-1.25,3.96,,,,,,Uvigerina,5,,,,,Cook et al. 2016,,,,1
IODP-323-U1339,,0.1229,-1.34,3.95,,,,,,Uvigerina,5,,,,,Cook et al. 2016,,,,1
IODP-323-U1339,,0.12480000000000001,-1.21,3.98,,,,,,Uvigerina,5,,,,,Cook et al. 2016,,,,1
IODP-323-U1339,,0.1268,-1.47,4.05,,,,,,Uvigerina,5,,,,,Cook et al. 2016,,,,1
IODP-323-U1339,,0.12869999999999998,-1.37,4.01,,,,,,Uvigerina,5,,,,,Cook et al. 2016,,,,1
IODP-323-U1339,,0.1306,-1.47,4.23,,,,,,Uvigerina,5,,,,,Cook et al. 2016,,,,1
IODP-323-U1339,,0.1345,-1.24,4.22,,,,,,Uvigerina,5,,,,,Cook et al. 2016,,,,1
IODP-323-U1339,,0.13640000000000002,-1.26,4.3,,,,,,Uvigerina,5,,,,,Cook et al. 2016,,,,1
IODP-323-U1339,,0.1383,-1.07,4.4,,,,,,Uvigerina,5,,,,,Cook et al. 2016,,,,1
IODP-323-U1339,,0.1402,-1.11,4.39,,,,,,Uvigerina,5,,,,,Cook et al. 2016,,,,1
IODP-323-U1339,,0.14220000000000002,-1.12,4.31,,,,,,Uvigerina,5,,,,,Cook et al. 2016,,,,1
IODP-323-U1339,,0.1441,-1.38,4.56,,,,,,Uvigerina,5,,,,,Cook et al. 2016,,,,1
IODP-323-U1339,,0.146,-1.36,4.47,,,,,,Uvigerina,5,,,,,Cook et al. 2016,,,,1
IODP-323-U1339,,0.1479,-1.36,4.63,,,,,,Uvigerina,5,,,,,Cook et al. 2016,,,,1
IODP-323-U1339,,0.1514,-1.26,4.32,,,,,,Uvigerina,5,,,,,Cook et al. 2016,,,,1
IODP-323-U1339,,0.1533,-1.5,4.52,,,,,,Uvigerina,5,,,,,Cook et al. 2016,,,,1
IODP-323-U1339,,0.1552,-1.67,4.53,,,,,,Uvigerina,5,,,,,Cook et al. 2016,,,,1
IODP-323-U1339,,0.1572,-1.69,4.46,,,,,,Uvigerina,5,,,,,Cook et al. 2016,,,,1
IODP-323-U1339,,0.161,-1.71,4.59,,,,,,Uvigerina,5,,,,,Cook et al. 2016,,,,1
IODP-323-U1339,,0.1706,-1.43,4.51,,,,,,Uvigerina,5,,,,,Cook et al. 2016,,,,1
IODP-323-U1339,,0.1745,-1.47,4.67,,,,,,Uvigerina,5,,,,,Cook et al. 2016,,,,1
IODP-323-U1339,,0.1764,-1.58,4.76,,,,,,Uvigerina,5,,,,,Cook et al. 2016,,,,1
IODP-323-U1339,,0.1783,-1.54,4.64,,,,,,Uvigerina,5,,,,,Cook et al. 2016,,,,1
IODP-323-U1339,,0.1802,-1.54,4.88,,,,,,Uvigerina,5,,,,,Cook et al. 2016,,,,1
IODP-323-U1339,,0.1822,-1.56,4.73,,,,,,Uvigerina,5,,,,,Cook et al. 2016,,,,1
IODP-323-U1339,,0.18789999999999998,-1.31,4.78,,,,,,Uvigerina,5,,,,,Cook et al. 2016,,,,1
IODP-323-U1339,,0.1898,-1.48,4.89,,,,,,Uvigerina,5,,,,,Cook et al. 2016,,,,1
IODP-323-U1339,,0.1918,-1.38,5.0,,,,,,Uvigerina,5,,,,,Cook et al. 2016,,,,1
IODP-323-U1339,,0.1937,-1.46,4.95,,,,,,Uvigerina,5,,,,,Cook et al. 2016,,,,1
IODP-323-U1339,,0.1956,-1.46,5.03,,,,,,Uvigerina,5,,,,,Cook et al. 2016,,,,1
IODP-323-U1339,,0.1975,-1.35,5.14,,,,,,Uvigerina,5,,,,,Cook et al. 2016,,,,1
IODP-323-U1339,,0.1995,-1.35,5.03,,,,,,Uvigerina,5,,,,,Cook et al. 2016,,,,1
IODP-323-U1339,,0.20140000000000002,-1.29,5.15,,,,,,Uvigerina,5,,,,,Cook et al. 2016,,,,1
IODP-323-U1339,,0.20329999999999998,-1.34,5.19,,,,,,Uvigerina,5,,,,,Cook et al. 2016,,,,1
IODP-323-U1339,,0.2052,-1.48,4.99,,,,,,Uvigerina,5,,,,,Cook et al. 2016,,,,1
IODP-323-U1339,,0.2072,-1.38,5.12,,,,,,Uvigerina,5,,,,,Cook et al. 2016,,,,1
