Site,Sample label,sample_depth,technique,lab. code,species/material,radiocarbon_age (y),radiocarbon_age_error_plus (y),radiocarbon_age_error_minus (y),reservoir_age (y),reservoir_age_error_plus (y),reservoir_age_error_minus (y),calendar_age (yBP),calendar_age_error_plus (yBP),calendar_age_error_minus (yBP),calibration curve,alignment target,alignment proxy,note1,note2,original reference,data doi
IOW226920-3,,0.03,,,G. bulloldes,630.0,35.0,35.0,630.0,53.699999999999996,53.699999999999996,128.0,139.0,117.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,https://doi.org/10.1016/S0016-7037(03)00168-6,
IOW226920-3,,0.18,,,G. bulloldes,3505.0,35.0,35.0,583.0,51.9,51.9,3068.0,248.0,190.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,https://doi.org/10.1016/S0016-7037(03)00168-6,
IOW226920-3,,0.53,,,G. bulloldes,5540.0,45.0,45.0,641.0,51.2,51.2,5642.0,238.0,166.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,https://doi.org/10.1016/S0016-7037(03)00168-6,
IOW226920-3,,0.71,,,G. bulloldes,8020.0,60.0,60.0,643.0,56.599999999999994,56.599999999999994,8188.000000000001,166.9999999999991,165.0000000000009,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,https://doi.org/10.1016/S0016-7037(03)00168-6,
IOW226920-3,,0.91,,,G. bulloldes,8010.0,60.0,60.0,588.0,57.2,57.2,8230.0,147.0,194.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,https://doi.org/10.1016/S0016-7037(03)00168-6,
IOW226920-3,,1.11,,,G. bulloldes,9855.0,55.0,55.0,527.0,53.6,53.6,10516.0,206.0,239.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,https://doi.org/10.1016/S0016-7037(03)00168-6,
IOW226920-3,,1.3,,,G. bulloldes,10340.0,60.0,60.0,628.0,70.9,70.9,11044.0,223.0,290.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,https://doi.org/10.1016/S0016-7037(03)00168-6,
IOW226920-3,,1.51,,,G. bulloldes,11380.0,70.0,70.0,888.0,21.2,21.2,12444.0,246.0,379.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,https://doi.org/10.1016/S0016-7037(03)00168-6,
IOW226920-3,,1.71,,,G. bulloldes,13160.0,80.0,80.0,728.0,30.200000000000003,30.200000000000003,14590.0,397.0,406.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,https://doi.org/10.1016/S0016-7037(03)00168-6,
IOW226920-3,,2.31,,,G. bulloldes,18480.0,130.0,130.0,922.0,55.300000000000004,55.300000000000004,21237.0,504.0,362.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,https://doi.org/10.1016/S0016-7037(03)00168-6,
IOW226920-3,,3.13,,,G. bulloldes,22630.0,210.0,210.0,1165.0,92.89999999999999,92.89999999999999,25741.0,515.0,490.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,https://doi.org/10.1016/S0016-7037(03)00168-6,
