Site,Sample_label,hole_label,section_label,published_archival_depth (m),current_depth_model (m),current_depth_model_note,ODP SAMPLE Inventory:: DEPTH(mid) (m),ODP SAMPLE Inventory:: MBSF(mid) (m),ODP SAMPLE Inventory:: MCD(mid) (m),ODP SAMPLE Inventory:: CCSF(mid) (m),depth_model_1 (m),depth_model_note_1,older_depth_model_2 (m)
IOW226920-3,,,,0.03,0.03,,,,,,0.03,,
IOW226920-3,,,,0.08,0.08,,,,,,0.08,,
IOW226920-3,,,,0.13,0.13,,,,,,0.13,,
IOW226920-3,,,,0.18,0.18,,,,,,0.18,,
IOW226920-3,,,,0.23,0.23,,,,,,0.23,,
IOW226920-3,,,,0.28,0.28,,,,,,0.28,,
IOW226920-3,,,,0.33,0.33,,,,,,0.33,,
IOW226920-3,,,,0.38,0.38,,,,,,0.38,,
IOW226920-3,,,,0.43,0.43,,,,,,0.43,,
IOW226920-3,,,,0.48,0.48,,,,,,0.48,,
IOW226920-3,,,,0.58,0.58,,,,,,0.58,,
IOW226920-3,,,,0.63,0.63,,,,,,0.63,,
IOW226920-3,,,,0.68,0.68,,,,,,0.68,,
IOW226920-3,,,,0.78,0.78,,,,,,0.78,,
IOW226920-3,,,,0.83,0.83,,,,,,0.83,,
IOW226920-3,,,,0.93,0.93,,,,,,0.93,,
IOW226920-3,,,,1.03,1.03,,,,,,1.03,,
IOW226920-3,,,,1.13,1.13,,,,,,1.13,,
IOW226920-3,,,,1.23,1.23,,,,,,1.23,,
IOW226920-3,,,,1.28,1.28,,,,,,1.28,,
IOW226920-3,,,,1.32,1.32,,,,,,1.32,,
IOW226920-3,,,,1.38,1.38,,,,,,1.38,,
IOW226920-3,,,,1.43,1.43,,,,,,1.43,,
IOW226920-3,,,,1.53,1.53,,,,,,1.53,,
IOW226920-3,,,,1.58,1.58,,,,,,1.58,,
IOW226920-3,,,,1.63,1.63,,,,,,1.63,,
IOW226920-3,,,,1.68,1.68,,,,,,1.68,,
IOW226920-3,,,,1.73,1.73,,,,,,1.73,,
IOW226920-3,,,,1.83,1.83,,,,,,1.83,,
IOW226920-3,,,,1.88,1.88,,,,,,1.88,,
IOW226920-3,,,,1.93,1.93,,,,,,1.93,,
IOW226920-3,,,,1.98,1.98,,,,,,1.98,,
IOW226920-3,,,,2.03,2.03,,,,,,2.03,,
IOW226920-3,,,,2.08,2.08,,,,,,2.08,,
IOW226920-3,,,,2.13,2.13,,,,,,2.13,,
IOW226920-3,,,,2.18,2.18,,,,,,2.18,,
IOW226920-3,,,,2.23,2.23,,,,,,2.23,,
IOW226920-3,,,,2.28,2.28,,,,,,2.28,,
IOW226920-3,,,,2.32,2.32,,,,,,2.32,,
IOW226920-3,,,,2.38,2.38,,,,,,2.38,,
IOW226920-3,,,,2.43,2.43,,,,,,2.43,,
IOW226920-3,,,,2.48,2.48,,,,,,2.48,,
IOW226920-3,,,,2.53,2.53,,,,,,2.53,,
IOW226920-3,,,,2.58,2.58,,,,,,2.58,,
IOW226920-3,,,,2.63,2.63,,,,,,2.63,,
IOW226920-3,,,,2.68,2.68,,,,,,2.68,,
IOW226920-3,,,,2.73,2.73,,,,,,2.73,,
IOW226920-3,,,,2.83,2.83,,,,,,2.83,,
IOW226920-3,,,,2.88,2.88,,,,,,2.88,,
IOW226920-3,,,,2.93,2.93,,,,,,2.93,,
IOW226920-3,,,,2.98,2.98,,,,,,2.98,,
IOW226920-3,,,,3.03,3.03,,,,,,3.03,,
IOW226920-3,,,,3.08,3.08,,,,,,3.08,,
IOW226920-3,,,,3.13,3.13,,,,,,3.13,,
IOW226920-3,,,,3.18,3.18,,,,,,3.18,,
IOW226920-3,,,,3.23,3.23,,,,,,3.23,,
IOW226920-3,,,,3.28,3.28,,,,,,3.28,,
