Site,Sample_label,hole_label,section_label,published_archival_depth (m),current_depth_model (m),current_depth_model_note,ODP SAMPLE Inventory:: DEPTH(mid) (m),ODP SAMPLE Inventory:: MBSF(mid) (m),ODP SAMPLE Inventory:: MCD(mid) (m),ODP SAMPLE Inventory:: CCSF(mid) (m),depth_model_1 (m),depth_model_note_1,older_depth_model_2 (m)
KNR110_GGC58,,,,0.01,0.01,,,,,,0.01,depth model from Repschlaeger et al. 2021,
KNR110_GGC58,,,,0.01,0.01,,,,,,0.01,depth model from Repschlaeger et al. 2021,
KNR110_GGC58,,,,0.01,0.01,,,,,,0.01,depth model from Repschlaeger et al. 2021,
KNR110_GGC58,,,,0.01,0.01,,,,,,0.01,depth model from Repschlaeger et al. 2021,
KNR110_GGC58,,,,0.03,0.03,,,,,,0.03,depth model from Repschlaeger et al. 2021,
KNR110_GGC58,,,,0.07,0.07,,,,,,0.07,depth model from Repschlaeger et al. 2021,
KNR110_GGC58,,,,0.07,0.07,,,,,,0.07,depth model from Repschlaeger et al. 2021,
KNR110_GGC58,,,,0.07,0.07,,,,,,0.07,depth model from Repschlaeger et al. 2021,
KNR110_GGC58,,,,0.1,0.1,,,,,,0.1,depth model from Repschlaeger et al. 2021,
KNR110_GGC58,,,,0.1,0.1,,,,,,0.1,depth model from Repschlaeger et al. 2021,
KNR110_GGC58,,,,0.1,0.1,,,,,,0.1,depth model from Repschlaeger et al. 2021,
KNR110_GGC58,,,,0.13,0.13,,,,,,0.13,depth model from Repschlaeger et al. 2021,
KNR110_GGC58,,,,0.13,0.13,,,,,,0.13,depth model from Repschlaeger et al. 2021,
KNR110_GGC58,,,,0.13,0.13,,,,,,0.13,depth model from Repschlaeger et al. 2021,
KNR110_GGC58,,,,0.17,0.17,,,,,,0.17,depth model from Repschlaeger et al. 2021,
KNR110_GGC58,,,,0.17,0.17,,,,,,0.17,depth model from Repschlaeger et al. 2021,
KNR110_GGC58,,,,0.17,0.17,,,,,,0.17,depth model from Repschlaeger et al. 2021,
KNR110_GGC58,,,,0.2,0.2,,,,,,0.2,depth model from Repschlaeger et al. 2021,
KNR110_GGC58,,,,0.2,0.2,,,,,,0.2,depth model from Repschlaeger et al. 2021,
KNR110_GGC58,,,,0.2,0.2,,,,,,0.2,depth model from Repschlaeger et al. 2021,
KNR110_GGC58,,,,0.23,0.23,,,,,,0.23,depth model from Repschlaeger et al. 2021,
KNR110_GGC58,,,,0.23,0.23,,,,,,0.23,depth model from Repschlaeger et al. 2021,
KNR110_GGC58,,,,0.23,0.23,,,,,,0.23,depth model from Repschlaeger et al. 2021,
KNR110_GGC58,,,,0.27,0.27,,,,,,0.27,depth model from Repschlaeger et al. 2021,
KNR110_GGC58,,,,0.27,0.27,,,,,,0.27,depth model from Repschlaeger et al. 2021,
KNR110_GGC58,,,,0.27,0.27,,,,,,0.27,depth model from Repschlaeger et al. 2021,
KNR110_GGC58,,,,0.3,0.3,,,,,,0.3,depth model from Repschlaeger et al. 2021,
KNR110_GGC58,,,,0.3,0.3,,,,,,0.3,depth model from Repschlaeger et al. 2021,
KNR110_GGC58,,,,0.3,0.3,,,,,,0.3,depth model from Repschlaeger et al. 2021,
KNR110_GGC58,,,,0.33,0.33,,,,,,0.33,depth model from Repschlaeger et al. 2021,
KNR110_GGC58,,,,0.33,0.33,,,,,,0.33,depth model from Repschlaeger et al. 2021,
KNR110_GGC58,,,,0.33,0.33,,,,,,0.33,depth model from Repschlaeger et al. 2021,
KNR110_GGC58,,,,0.33,0.33,,,,,,0.33,depth model from Repschlaeger et al. 2021,
KNR110_GGC58,,,,0.37,0.37,,,,,,0.37,depth model from Repschlaeger et al. 2021,
KNR110_GGC58,,,,0.37,0.37,,,,,,0.37,depth model from Repschlaeger et al. 2021,
KNR110_GGC58,,,,0.37,0.37,,,,,,0.37,depth model from Repschlaeger et al. 2021,
KNR110_GGC58,,,,0.37,0.37,,,,,,0.37,depth model from Repschlaeger et al. 2021,
KNR110_GGC58,,,,0.4,0.4,,,,,,0.4,depth model from Repschlaeger et al. 2021,
KNR110_GGC58,,,,0.4,0.4,,,,,,0.4,depth model from Repschlaeger et al. 2021,
