Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
KNR110_GGC58,,0.01,0.73,2.17,0.73,2.17,,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Curry, William B; Duplessy, Jean-Claude; Labeyrie, Laurent D; Shackleton, Nicholas J (1988): Changes in the distribution of d13C of deep water Sigma-CO2 between the last glaciation and the Holocene. Paleoceanography, 3(3), 317-341, doi:10.1029/PA003i003p00317",,https://doi.org/10.1594/PANGAEA.357158,1
KNR110_GGC58,,0.01,0.2,2.17,0.2,2.17,,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Curry, William B; Duplessy, Jean-Claude; Labeyrie, Laurent D; Shackleton, Nicholas J (1988): Changes in the distribution of d13C of deep water Sigma-CO2 between the last glaciation and the Holocene. Paleoceanography, 3(3), 317-341, doi:10.1029/PA003i003p00317",,https://doi.org/10.1594/PANGAEA.357158,1
KNR110_GGC58,,0.01,0.64,2.89,0.64,2.89,,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Curry, William B; Duplessy, Jean-Claude; Labeyrie, Laurent D; Shackleton, Nicholas J (1988): Changes in the distribution of d13C of deep water Sigma-CO2 between the last glaciation and the Holocene. Paleoceanography, 3(3), 317-341, doi:10.1029/PA003i003p00317",,https://doi.org/10.1594/PANGAEA.357158,1
KNR110_GGC58,,0.01,0.523,2.41,0.523,2.41,,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Curry, William B; Duplessy, Jean-Claude; Labeyrie, Laurent D; Shackleton, Nicholas J (1988): Changes in the distribution of d13C of deep water Sigma-CO2 between the last glaciation and the Holocene. Paleoceanography, 3(3), 317-341, doi:10.1029/PA003i003p00317",,https://doi.org/10.1594/PANGAEA.357158,1
KNR110_GGC58,,0.03,0.35,2.61,0.35,2.61,,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Curry, William B; Duplessy, Jean-Claude; Labeyrie, Laurent D; Shackleton, Nicholas J (1988): Changes in the distribution of d13C of deep water Sigma-CO2 between the last glaciation and the Holocene. Paleoceanography, 3(3), 317-341, doi:10.1029/PA003i003p00317",,https://doi.org/10.1594/PANGAEA.357158,1
KNR110_GGC58,,0.07,0.97,2.73,0.97,2.73,,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Curry, William B; Duplessy, Jean-Claude; Labeyrie, Laurent D; Shackleton, Nicholas J (1988): Changes in the distribution of d13C of deep water Sigma-CO2 between the last glaciation and the Holocene. Paleoceanography, 3(3), 317-341, doi:10.1029/PA003i003p00317",,https://doi.org/10.1594/PANGAEA.357158,1
KNR110_GGC58,,0.07,1.05,2.5,1.05,2.5,,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Curry, William B; Duplessy, Jean-Claude; Labeyrie, Laurent D; Shackleton, Nicholas J (1988): Changes in the distribution of d13C of deep water Sigma-CO2 between the last glaciation and the Holocene. Paleoceanography, 3(3), 317-341, doi:10.1029/PA003i003p00317",,https://doi.org/10.1594/PANGAEA.357158,1
KNR110_GGC58,,0.07,0.89,2.96,0.89,2.96,,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Curry, William B; Duplessy, Jean-Claude; Labeyrie, Laurent D; Shackleton, Nicholas J (1988): Changes in the distribution of d13C of deep water Sigma-CO2 between the last glaciation and the Holocene. Paleoceanography, 3(3), 317-341, doi:10.1029/PA003i003p00317",,https://doi.org/10.1594/PANGAEA.357158,1
KNR110_GGC58,,0.1,0.79,2.47,0.79,2.47,,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Curry, William B; Duplessy, Jean-Claude; Labeyrie, Laurent D; Shackleton, Nicholas J (1988): Changes in the distribution of d13C of deep water Sigma-CO2 between the last glaciation and the Holocene. Paleoceanography, 3(3), 317-341, doi:10.1029/PA003i003p00317",,https://doi.org/10.1594/PANGAEA.357158,1
KNR110_GGC58,,0.1,0.61,2.79,0.61,2.79,,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Curry, William B; Duplessy, Jean-Claude; Labeyrie, Laurent D; Shackleton, Nicholas J (1988): Changes in the distribution of d13C of deep water Sigma-CO2 between the last glaciation and the Holocene. Paleoceanography, 3(3), 317-341, doi:10.1029/PA003i003p00317",,https://doi.org/10.1594/PANGAEA.357158,1
