Site,Sample_label,hole_label,section_label,published_archival_depth (m),current_depth_model (m),current_depth_model_note,ODP SAMPLE Inventory:: DEPTH(mid) (m),ODP SAMPLE Inventory:: MBSF(mid) (m),ODP SAMPLE Inventory:: MCD(mid) (m),ODP SAMPLE Inventory:: CCSF(mid) (m),depth_model_1 (m),depth_model_note_1,older_depth_model_2 (m)
KNR140-39GGC,,,,0.07,0.07,,,,,,0.07,,
KNR140-39GGC,,,,0.15,0.15,,,,,,0.15,,
KNR140-39GGC,,,,0.27,0.27,,,,,,0.27,,
KNR140-39GGC,,,,0.31,0.31,,,,,,0.31,,
KNR140-39GGC,,,,0.35,0.35,,,,,,0.35,,
KNR140-39GGC,,,,0.39,0.39,,,,,,0.39,,
KNR140-39GGC,,,,0.43,0.43,,,,,,0.43,,
KNR140-39GGC,,,,0.47,0.47,,,,,,0.47,,
KNR140-39GGC,,,,0.51,0.51,,,,,,0.51,,
KNR140-39GGC,,,,0.67,0.67,,,,,,0.67,,
KNR140-39GGC,,,,0.71,0.71,,,,,,0.71,,
KNR140-39GGC,,,,0.83,0.83,,,,,,0.83,,
KNR140-39GGC,,,,0.87,0.87,,,,,,0.87,,
KNR140-39GGC,,,,0.95,0.95,,,,,,0.95,,
KNR140-39GGC,,,,0.99,0.99,,,,,,0.99,,
KNR140-39GGC,,,,1.07,1.07,,,,,,1.07,,
KNR140-39GGC,,,,1.11,1.11,,,,,,1.11,,
KNR140-39GGC,,,,1.15,1.15,,,,,,1.15,,
KNR140-39GGC,,,,1.17,1.17,,,,,,1.17,,
KNR140-39GGC,,,,1.19,1.19,,,,,,1.19,,
KNR140-39GGC,,,,1.21,1.21,,,,,,1.21,,
KNR140-39GGC,,,,1.23,1.23,,,,,,1.23,,
KNR140-39GGC,,,,1.25,1.25,,,,,,1.25,,
KNR140-39GGC,,,,1.27,1.27,,,,,,1.27,,
KNR140-39GGC,,,,1.29,1.29,,,,,,1.29,,
KNR140-39GGC,,,,1.31,1.31,,,,,,1.31,,
KNR140-39GGC,,,,1.33,1.33,,,,,,1.33,,
KNR140-39GGC,,,,1.35,1.35,,,,,,1.35,,
KNR140-39GGC,,,,1.37,1.37,,,,,,1.37,,
KNR140-39GGC,,,,1.39,1.39,,,,,,1.39,,
KNR140-39GGC,,,,1.41,1.41,,,,,,1.41,,
KNR140-39GGC,,,,1.43,1.43,,,,,,1.43,,
KNR140-39GGC,,,,1.45,1.45,,,,,,1.45,,
KNR140-39GGC,,,,1.47,1.47,,,,,,1.47,,
KNR140-39GGC,,,,1.49,1.49,,,,,,1.49,,
KNR140-39GGC,,,,1.54,1.54,,,,,,1.54,,
KNR140-39GGC,,,,1.55,1.55,,,,,,1.55,,
KNR140-39GGC,,,,1.57,1.57,,,,,,1.57,,
KNR140-39GGC,,,,1.59,1.59,,,,,,1.59,,
KNR140-39GGC,,,,1.61,1.61,,,,,,1.61,,
KNR140-39GGC,,,,1.63,1.63,,,,,,1.63,,
KNR140-39GGC,,,,1.65,1.65,,,,,,1.65,,
KNR140-39GGC,,,,1.67,1.67,,,,,,1.67,,
KNR140-39GGC,,,,1.69,1.69,,,,,,1.69,,
KNR140-39GGC,,,,1.71,1.71,,,,,,1.71,,
KNR140-39GGC,,,,1.75,1.75,,,,,,1.75,,
KNR140-39GGC,,,,1.79,1.79,,,,,,1.79,,
KNR140-39GGC,,,,1.83,1.83,,,,,,1.83,,
KNR140-39GGC,,,,1.85,1.85,,,,,,1.85,,
KNR140-39GGC,,,,1.95,1.95,,,,,,1.95,,
KNR140-39GGC,,,,3.91,3.91,,,,,,3.91,,
