Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_97.5_percent(y BP),lower_97.5_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
KNR140_GGC51,,2.8,10998.0830078125,,,11476.0693359375,11027.0693359375,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,2.81,11042.5546875,,,11487.8896484375,11065.8896484375,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,2.82,11087.0244140625,,,11516.708984375,11105.708984375,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,2.83,11131.4931640625,,,11518.529296875,11144.529296875,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,2.84,11175.962890625,,,11554.2041015625,11184.2041015625,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,2.85,11220.43359375,,,11580.0322265625,11222.0322265625,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,2.86,11264.908203125,,,11604.8603515625,11260.8603515625,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,2.87,11309.3662109375,,,11633.6884765625,11298.6884765625,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,2.88,11353.833984375,,,11676.7470703125,11338.7470703125,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,2.89,11398.29296875,,,11707.0791015625,11382.0791015625,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,2.9,11442.767578125,,,11784.001953125,11422.001953125,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,2.91,11503.4140625,,,11820.6005859375,11488.6005859375,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,2.92,11564.0576171875,,,11892.19921875,11555.19921875,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,2.93,11624.685546875,,,11953.8505859375,11618.8505859375,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,2.94,11685.33984375,,,12060.3125,11678.3125,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,2.95,11745.9794921875,,,12172.7744140625,11738.7744140625,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,2.96,11805.5458984375,,,12201.3798828125,11795.3798828125,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,2.97,11865.0859375,,,12239.1455078125,11856.1455078125,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,2.98,11924.654296875,,,12282.912109375,11915.912109375,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,2.99,11984.189453125,,,12337.677734375,11975.677734375,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.0,12043.7431640625,,,12400.443359375,12036.443359375,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.01,12114.4443359375,,,12452.392578125,12110.392578125,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.02,12185.19140625,,,12500.341796875,12188.341796875,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.03,12255.875,,,12565.291015625,12265.291015625,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.04,12326.609375,,,12659.3564453125,12341.3564453125,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.05,12397.2890625,,,12768.4169921875,12412.4169921875,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.06,12471.294921875,,,12782.5458984375,12482.5458984375,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.07,12545.2958984375,,,12823.248046875,12549.248046875,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.08,12619.2841796875,,,12847.7529296875,12616.7529296875,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.09,12693.2734375,,,12915.26953125,12690.26953125,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.1,12767.2783203125,,,12986.787109375,12759.787109375,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.11,12821.9697265625,,,13036.4375,12819.4375,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.12,12876.6552734375,,,13068.462890625,12874.462890625,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.13,12931.359375,,,13135.9912109375,12929.9912109375,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.14,12986.052734375,,,13238.5185546875,12985.5185546875,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.15,13040.7529296875,,,13327.5390625,13038.5390625,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.16,13093.328125,,,13341.083984375,13089.083984375,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.17,13145.9150390625,,,13372.6279296875,13143.6279296875,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.18,13198.4853515625,,,13398.4990234375,13194.4990234375,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.19,13251.076171875,,,13428.1962890625,13256.1962890625,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.2,13303.654296875,,,13458.892578125,13306.892578125,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.21,13340.4140625,,,13517.45703125,13346.45703125,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.22,13377.18359375,,,13563.98828125,13380.98828125,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.23,13413.9384765625,,,13625.0009765625,13417.0009765625,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.24,13450.7265625,,,13696.0146484375,13449.0146484375,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.25,13487.4990234375,,,13781.0283203125,13480.0283203125,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.26,13525.11328125,,,13812.2890625,13515.2890625,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.27,13562.7099609375,,,13839.5498046875,13554.5498046875,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.28,13600.341796875,,,13882.810546875,13591.810546875,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.29,13637.966796875,,,13934.0712890625,13628.0712890625,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.3,13675.572265625,,,13980.33203125,13665.33203125,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.31,13727.2060546875,,,14053.34375,13719.34375,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.32,13778.7958984375,,,14132.3544921875,13764.3544921875,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.33,13830.3984375,,,14243.3662109375,13813.3662109375,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.34,13882.021484375,,,14362.376953125,13859.376953125,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.35,13933.6025390625,,,14492.388671875,13901.388671875,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.36,13986.86328125,,,14546.0615234375,13954.0615234375,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.37,14040.1328125,,,14610.734375,14002.734375,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.38,14093.392578125,,,14680.40625,14050.40625,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.39,14146.669921875,,,14770.0791015625,14100.0791015625,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.4,14199.935546875,,,14871.751953125,14147.751953125,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.41,14287.58203125,,,14913.716796875,14243.716796875,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.42,14375.294921875,,,14967.142578125,14347.142578125,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.43,14462.9443359375,,,15020.43359375,14451.43359375,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.44,14550.59765625,,,15102.7255859375,14549.7255859375,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.45,14638.283203125,,,15216.017578125,14638.017578125,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.46,14730.5615234375,,,15262.544921875,14728.544921875,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.47,14822.830078125,,,15309.31640625,14818.31640625,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.48,14915.1279296875,,,15379.6328125,14911.6328125,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.49,15007.423828125,,,15476.37109375,15006.37109375,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.5,15099.6826171875,,,15585.109375,15103.109375,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.51,15246.294921875,,,15699.201171875,15246.201171875,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.52,15392.900390625,,,15846.9248046875,15393.9248046875,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.53,15539.5224609375,,,16037.5458984375,15544.5458984375,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.54,15686.154296875,,,16265.166015625,15692.166015625,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.55,15832.7607421875,,,16528.787109375,15834.787109375,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.56,15973.423828125,,,16571.05859375,15975.0595703125,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.57,16114.1015625,,,16622.048828125,16114.048828125,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.58,16254.80078125,,,16676.669921875,16252.669921875,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.59,16395.466796875,,,16769.76171875,16394.76171875,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.6,16536.1328125,,,16902.8515625,16537.8515625,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.61,16609.4765625,,,16963.6015625,16610.6015625,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.62,16682.861328125,,,17029.3515625,16684.3515625,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.63,16756.220703125,,,17120.08203125,16760.08203125,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.64,16829.5625,,,17235.876953125,16830.876953125,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.65,16902.921875,,,17372.671875,16900.671875,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.66,16982.26953125,,,17418.43359375,16974.43359375,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.67,17061.642578125,,,17480.1640625,17050.1640625,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.68,17140.986328125,,,17544.201171875,17130.201171875,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.69,17220.31640625,,,17633.212890625,17211.212890625,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.7,17299.708984375,,,17741.81640625,17289.81640625,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.71,17625.80078125,,,18084.03125,17627.03125,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.72,17951.859375,,,18590.201171875,17957.201171875,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.73,18277.888671875,,,19150.65234375,18278.65234375,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.74,18603.958984375,,,19752.935546875,18599.935546875,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.75,18930.046875,,,20362.28125,18920.28125,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.76,19235.0625,,,20414.84375,19215.84375,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.77,19540.09765625,,,20482.1328125,19521.1328125,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.78,19845.142578125,,,20561.646484375,19834.646484375,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.79,20150.18359375,,,20678.64453125,20143.64453125,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.8,20455.26953125,,,20907.595703125,20457.595703125,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.81,20501.716796875,,,20970.904296875,20501.904296875,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.82,20548.130859375,,,21057.212890625,20541.212890625,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.83,20594.580078125,,,21162.5234375,20578.5234375,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.84,20641.05859375,,,21284.83203125,20616.83203125,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.85,20687.53125,,,21416.140625,20653.140625,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.86,20738.095703125,,,21473.5,20701.5,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.87,20788.615234375,,,21554.861328125,20747.861328125,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.88,20839.236328125,,,21632.646484375,20793.646484375,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.89,20889.791015625,,,21737.8046875,20836.8046875,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.9,20940.373046875,,,21839.962890625,20882.962890625,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR140_GGC51,,3.91,21183.228515625,,,22009.982421875,21134.982421875,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
