Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_95_percent(y BP),lower_95_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
KNR140-2-51GGC,,0.045,166.0,271.0,55.99999999999999,409.0,4.0,3,Age model from Waelbroeck et al. (2019) IntCal13,,1
KNR140-2-51GGC,,0.05,186.00000000000003,291.00000000000006,75.0,427.00000000000006,22.000000000000004,3,Age model from Waelbroeck et al. (2019) IntCal13,,1
KNR140-2-51GGC,,0.06,223.99999999999997,330.0,114.0,462.99999999999994,57.0,3,Age model from Waelbroeck et al. (2019) IntCal13,,1
KNR140-2-51GGC,,0.07,262.0,370.0,153.0,500.0,90.0,3,Age model from Waelbroeck et al. (2019) IntCal13,,1
KNR140-2-51GGC,,0.08,300.0,412.00000000000006,188.99999999999997,540.0,122.0,3,Age model from Waelbroeck et al. (2019) IntCal13,,1
KNR140-2-51GGC,,0.09,337.99999999999994,453.99999999999994,223.99999999999997,587.0000000000001,150.0,3,Age model from Waelbroeck et al. (2019) IntCal13,,1
KNR140-2-51GGC,,0.1,375.0,497.00000000000006,259.0,639.0,179.0,3,Age model from Waelbroeck et al. (2019) IntCal13,,1
KNR140-2-51GGC,,0.11,412.00000000000006,542.0,293.0,693.0,207.0,3,Age model from Waelbroeck et al. (2019) IntCal13,,1
KNR140-2-51GGC,,0.12,450.0,586.0,326.0,750.0,231.99999999999997,3,Age model from Waelbroeck et al. (2019) IntCal13,,1
KNR140-2-51GGC,,0.13,488.0,630.0,359.0,807.9999999999999,258.0,3,Age model from Waelbroeck et al. (2019) IntCal13,,1
KNR140-2-51GGC,,0.14,525.0,675.0,391.0,867.0,282.0,3,Age model from Waelbroeck et al. (2019) IntCal13,,1
KNR140-2-51GGC,,0.15,562.0,721.0,422.00000000000006,927.9999999999999,308.0,3,Age model from Waelbroeck et al. (2019) IntCal13,,1
KNR140-2-51GGC,,0.16,598.0,767.0,452.0,988.0,332.99999999999994,3,Age model from Waelbroeck et al. (2019) IntCal13,,1
KNR140-2-51GGC,,0.17,634.0,811.0,483.0,1053.0,356.00000000000006,3,Age model from Waelbroeck et al. (2019) IntCal13,,1
KNR140-2-51GGC,,0.18,670.9999999999999,857.0,513.0,1117.9999999999998,379.0,3,Age model from Waelbroeck et al. (2019) IntCal13,,1
