Site,Sample_label,hole_label,section_label,published_archival_depth (m),current_depth_model (m),current_depth_model_note,ODP SAMPLE Inventory:: DEPTH(mid) (m),ODP SAMPLE Inventory:: MBSF(mid) (m),ODP SAMPLE Inventory:: MCD(mid) (m),ODP SAMPLE Inventory:: CCSF(mid) (m),depth_model_1 (m),depth_model_note_1,older_depth_model_2 (m)
KNR159-5-17JPC,,,,0.02,0.02,,,,,,0.02,depth model from Peterson and Lisiecki 2018,
KNR159-5-17JPC,,,,0.04,0.04,,,,,,0.04,depth model from Peterson and Lisiecki 2018,
KNR159-5-17JPC,,,,0.06,0.06,,,,,,0.06,depth model from Peterson and Lisiecki 2018,
KNR159-5-17JPC,,,,0.1,0.1,,,,,,0.1,depth model from Peterson and Lisiecki 2018,
KNR159-5-17JPC,,,,0.12,0.12,,,,,,0.12,depth model from Peterson and Lisiecki 2018,
KNR159-5-17JPC,,,,0.14,0.14,,,,,,0.14,depth model from Peterson and Lisiecki 2018,
KNR159-5-17JPC,,,,0.18,0.18,,,,,,0.18,depth model from Peterson and Lisiecki 2018,
KNR159-5-17JPC,,,,0.2,0.2,,,,,,0.2,depth model from Peterson and Lisiecki 2018,
KNR159-5-17JPC,,,,0.22,0.22,,,,,,0.22,depth model from Peterson and Lisiecki 2018,
KNR159-5-17JPC,,,,0.26,0.26,,,,,,0.26,depth model from Peterson and Lisiecki 2018,
KNR159-5-17JPC,,,,0.28,0.28,,,,,,0.28,depth model from Peterson and Lisiecki 2018,
KNR159-5-17JPC,,,,0.3,0.3,,,,,,0.3,depth model from Peterson and Lisiecki 2018,
KNR159-5-17JPC,,,,0.34,0.34,,,,,,0.34,depth model from Peterson and Lisiecki 2018,
KNR159-5-17JPC,,,,0.36,0.36,,,,,,0.36,depth model from Peterson and Lisiecki 2018,
KNR159-5-17JPC,,,,0.38,0.38,,,,,,0.38,depth model from Peterson and Lisiecki 2018,
KNR159-5-17JPC,,,,0.42,0.42,,,,,,0.42,depth model from Peterson and Lisiecki 2018,
KNR159-5-17JPC,,,,0.44,0.44,,,,,,0.44,depth model from Peterson and Lisiecki 2018,
KNR159-5-17JPC,,,,0.46,0.46,,,,,,0.46,depth model from Peterson and Lisiecki 2018,
KNR159-5-17JPC,,,,0.5,0.5,,,,,,0.5,depth model from Peterson and Lisiecki 2018,
KNR159-5-17JPC,,,,0.52,0.52,,,,,,0.52,depth model from Peterson and Lisiecki 2018,
KNR159-5-17JPC,,,,0.54,0.54,,,,,,0.54,depth model from Peterson and Lisiecki 2018,
KNR159-5-17JPC,,,,0.58,0.58,,,,,,0.58,depth model from Peterson and Lisiecki 2018,
KNR159-5-17JPC,,,,0.6,0.6,,,,,,0.6,depth model from Peterson and Lisiecki 2018,
KNR159-5-17JPC,,,,0.62,0.62,,,,,,0.62,depth model from Peterson and Lisiecki 2018,
KNR159-5-17JPC,,,,0.66,0.66,,,,,,0.66,depth model from Peterson and Lisiecki 2018,
KNR159-5-17JPC,,,,0.68,0.68,,,,,,0.68,depth model from Peterson and Lisiecki 2018,
KNR159-5-17JPC,,,,0.7,0.7,,,,,,0.7,depth model from Peterson and Lisiecki 2018,
KNR159-5-17JPC,,,,0.74,0.74,,,,,,0.74,depth model from Peterson and Lisiecki 2018,
KNR159-5-17JPC,,,,0.76,0.76,,,,,,0.76,depth model from Peterson and Lisiecki 2018,
KNR159-5-17JPC,,,,0.78,0.78,,,,,,0.78,depth model from Peterson and Lisiecki 2018,
KNR159-5-17JPC,,,,0.82,0.82,,,,,,0.82,depth model from Peterson and Lisiecki 2018,
KNR159-5-17JPC,,,,0.84,0.84,,,,,,0.84,depth model from Peterson and Lisiecki 2018,
KNR159-5-17JPC,,,,0.86,0.86,,,,,,0.86,depth model from Peterson and Lisiecki 2018,
KNR159-5-17JPC,,,,0.9,0.9,,,,,,0.9,depth model from Peterson and Lisiecki 2018,
KNR159-5-17JPC,,,,0.92,0.92,,,,,,0.92,depth model from Peterson and Lisiecki 2018,
KNR159-5-17JPC,,,,0.94,0.94,,,,,,0.94,depth model from Peterson and Lisiecki 2018,
KNR159-5-17JPC,,,,0.98,0.98,,,,,,0.98,depth model from Peterson and Lisiecki 2018,
KNR159-5-17JPC,,,,1,1,,,,,,1,depth model from Peterson and Lisiecki 2018,
