Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
KNR159-5-17JPC,,0.02,1.005,2.4525,,,,250,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation,Lund et al. (2015),,https://www.ncdc.noaa.gov/paleo/study/19521,1
KNR159-5-17JPC,,0.04,0.99,2.495,,,,250,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation,Lund et al. (2015),,https://www.ncdc.noaa.gov/paleo/study/19521,1
KNR159-5-17JPC,,0.06,0.99,2.4525,,,,250,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation,Lund et al. (2015),,https://www.ncdc.noaa.gov/paleo/study/19521,1
KNR159-5-17JPC,,0.1,1.015,2.4125,,,,250,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation,Lund et al. (2015),,https://www.ncdc.noaa.gov/paleo/study/19521,1
KNR159-5-17JPC,,0.12,0.89,2.545,,,,250,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation,Lund et al. (2015),,https://www.ncdc.noaa.gov/paleo/study/19521,1
KNR159-5-17JPC,,0.14,0.895,2.6175,,,,250,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation,Lund et al. (2015),,https://www.ncdc.noaa.gov/paleo/study/19521,1
KNR159-5-17JPC,,0.18,0.99,2.555,,,,250,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation,Lund et al. (2015),,https://www.ncdc.noaa.gov/paleo/study/19521,1
KNR159-5-17JPC,,0.2,0.9175,2.6125,,,,250,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation,Lund et al. (2015),,https://www.ncdc.noaa.gov/paleo/study/19521,1
KNR159-5-17JPC,,0.22,0.8925,2.655,,,,250,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation,Lund et al. (2015),,https://www.ncdc.noaa.gov/paleo/study/19521,1
KNR159-5-17JPC,,0.26,0.7675,2.76,,,,250,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation,Lund et al. (2015),,https://www.ncdc.noaa.gov/paleo/study/19521,1
