Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_97.5_percent(y BP),lower_97.5_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
KNR159-5-20JPC,,0.055,2592.4404296875,,,2746.550048828125,2379.550048828125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR159-5-20JPC,,0.065,2893.72314453125,,,,2695.26611328125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR159-5-20JPC,,0.075,3195.004638671875,,,3335.802001953125,3038.802001953125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR159-5-20JPC,,0.085,3496.289794921875,,,3670.338134765625,3326.338134765625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR159-5-20JPC,,0.095,3797.5751953125,,,3998.8740234375,3617.8740234375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR159-5-20JPC,,0.105,4098.8603515625,,,4348.69482421875,3896.69482421875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR159-5-20JPC,,0.115,4324.39990234375,,,4702.21630859375,3983.21630859375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR159-5-20JPC,,0.125,4549.9365234375,,,5204.15869140625,4040.15869140625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR159-5-20JPC,,0.135,4775.48046875,,,5724.2724609375,4068.272705078125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR159-5-20JPC,,0.145,5001.0166015625,,,6254.38671875,4103.38671875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR159-5-20JPC,,0.155,5226.55615234375,,,6806.5009765625,4122.5009765625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR159-5-20JPC,,0.165,5517.02587890625,,,6909.376953125,4531.376953125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR159-5-20JPC,,0.17500000000000002,5807.4990234375,,,7028.18310546875,4827.18310546875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR159-5-20JPC,,0.185,6097.9755859375,,,7196.94287109375,5053.94287109375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR159-5-20JPC,,0.195,6388.443359375,,,7423.6865234375,5242.6865234375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR159-5-20JPC,,0.20500000000000002,6678.9248046875,,,7687.94140625,5414.94140625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR159-5-20JPC,,0.215,6912.52978515625,,,7719.08837890625,5902.08837890625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR159-5-20JPC,,0.225,7146.138671875,,,7765.2353515625,6371.2353515625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR159-5-20JPC,,0.23500000000000001,7379.751953125,,,7794.38232421875,6853.38232421875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR159-5-20JPC,,0.245,7613.365234375,,,7862.4287109375,7318.4287109375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR159-5-20JPC,,0.255,7846.9677734375,,,8003.255859375,7676.255859375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR159-5-20JPC,,0.265,8226.572265625,,,8594.98828125,7849.98876953125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR159-5-20JPC,,0.275,8606.1708984375,,,9290.421875,7921.42138671875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR159-5-20JPC,,0.28500000000000003,8985.7841796875,,,9983.853515625,7991.85400390625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR159-5-20JPC,,0.295,9365.3916015625,,,10696.287109375,8044.28662109375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR159-5-20JPC,,0.305,9744.9853515625,,,11420.71875,8097.71923828125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR159-5-20JPC,,0.315,10124.796875,,,11483.787109375,8805.787109375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR159-5-20JPC,,0.325,10504.59375,,,11539.85546875,9511.85546875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR159-5-20JPC,,0.335,10884.40234375,,,11595.9228515625,10179.9228515625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR159-5-20JPC,,0.34500000000000003,11264.19921875,,,11696.375,10827.375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR159-5-20JPC,,0.355,11644.01171875,,,11917.1259765625,11373.1259765625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR159-5-20JPC,,0.365,11731.376953125,,,12011.556640625,11431.556640625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR159-5-20JPC,,0.375,11818.73046875,,,12155.244140625,11468.244140625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
