Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
KNR159-5-20JPC,,0.055,1.15,2.69333,,,,250,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation,Lund et al. (2015),,https://www.ncdc.noaa.gov/paleo/study/19521,1
KNR159-5-20JPC,,0.06,1.21,2.91,,,,250,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation,Lund et al. (2015),,https://www.ncdc.noaa.gov/paleo/study/19521,1
KNR159-5-20JPC,,0.09,1.31,2.79,,,,250,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation,Lund et al. (2015),,https://www.ncdc.noaa.gov/paleo/study/19521,1
KNR159-5-20JPC,,0.105,1.22,2.6575,,,,250,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation,Lund et al. (2015),,https://www.ncdc.noaa.gov/paleo/study/19521,1
KNR159-5-20JPC,,0.12,1.165,2.96,,,,250,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation,Lund et al. (2015),,https://www.ncdc.noaa.gov/paleo/study/19521,1
KNR159-5-20JPC,,0.14,1.24,2.79,,,,250,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation,Lund et al. (2015),,https://www.ncdc.noaa.gov/paleo/study/19521,1
KNR159-5-20JPC,,0.155,1.025,2.905,,,,250,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation,Lund et al. (2015),,https://www.ncdc.noaa.gov/paleo/study/19521,1
KNR159-5-20JPC,,0.17,1.11,2.79,,,,250,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation,Lund et al. (2015),,https://www.ncdc.noaa.gov/paleo/study/19521,1
KNR159-5-20JPC,,0.19,1.14,2.93,,,,250,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation,Lund et al. (2015),,https://www.ncdc.noaa.gov/paleo/study/19521,1
KNR159-5-20JPC,,0.22,1.2,3.03,,,,250,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation,Lund et al. (2015),,https://www.ncdc.noaa.gov/paleo/study/19521,1
KNR159-5-20JPC,,0.255,0.86333,3.16333,,,,250,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation,Lund et al. (2015),,https://www.ncdc.noaa.gov/paleo/study/19521,1
KNR159-5-20JPC,,0.305,0.7525,3.4725,,,,250,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation,Lund et al. (2015),,https://www.ncdc.noaa.gov/paleo/study/19521,1
KNR159-5-20JPC,,0.32,0.95,3.69,,,,250,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation,Lund et al. (2015),,https://www.ncdc.noaa.gov/paleo/study/19521,1
KNR159-5-20JPC,,0.34,0.52,3.88,,,,250,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation,Lund et al. (2015),,https://www.ncdc.noaa.gov/paleo/study/19521,1
KNR159-5-20JPC,,0.355,0.64,3.73,,,,250,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation,Lund et al. (2015),,https://www.ncdc.noaa.gov/paleo/study/19521,1
KNR159-5-20JPC,,0.405,0.55,4,,,,250,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation,Lund et al. (2015),,https://www.ncdc.noaa.gov/paleo/study/19521,1
KNR159-5-20JPC,,0.455,0.5475,3.74,,,,250,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation,Lund et al. (2015),,https://www.ncdc.noaa.gov/paleo/study/19521,1
KNR159-5-20JPC,,0.505,0.02,3.76,,,,250,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation,Lund et al. (2015),,https://www.ncdc.noaa.gov/paleo/study/19521,1
KNR159-5-20JPC,,0.705,0.05,4.67,,,,250,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation,Lund et al. (2015),,https://www.ncdc.noaa.gov/paleo/study/19521,1
KNR159-5-20JPC,,0.805,-0.22,4.57,,,,250,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation,Lund et al. (2015),,https://www.ncdc.noaa.gov/paleo/study/19521,1
KNR159-5-20JPC,,1.155,0.05,4.7,,,,250,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation,Lund et al. (2015),,https://www.ncdc.noaa.gov/paleo/study/19521,1
KNR159-5-20JPC,,1.255,0.18,4.89667,,,,250,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation,Lund et al. (2015),,https://www.ncdc.noaa.gov/paleo/study/19521,1
KNR159-5-20JPC,,1.355,0.15667,4.82,,,,250,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation,Lund et al. (2015),,https://www.ncdc.noaa.gov/paleo/study/19521,1
KNR159-5-20JPC,,1.405,0.15,4.735,,,,250,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation,Lund et al. (2015),,https://www.ncdc.noaa.gov/paleo/study/19521,1
KNR159-5-20JPC,,1.505,0.26,4.67,,,,250,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation,Lund et al. (2015),,https://www.ncdc.noaa.gov/paleo/study/19521,1
KNR159-5-20JPC,,1.555,0.195,4.655,,,,250,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation,Lund et al. (2015),,https://www.ncdc.noaa.gov/paleo/study/19521,1
KNR159-5-20JPC,,1.705,0.225,4.765,,,,250,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation,Lund et al. (2015),,https://www.ncdc.noaa.gov/paleo/study/19521,1
KNR159-5-20JPC,,1.755,0.29,4.585,,,,250,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation,Lund et al. (2015),,https://www.ncdc.noaa.gov/paleo/study/19521,1
KNR159-5-20JPC,,1.805,-0.16,4.51,,,,250,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation,Lund et al. (2015),,https://www.ncdc.noaa.gov/paleo/study/19521,1
KNR159-5-20JPC,,1.905,-0.12,4.98,,,,250,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation,Lund et al. (2015),,https://www.ncdc.noaa.gov/paleo/study/19521,1
KNR159-5-20JPC,,1.955,-0.03,4.55,,,,250,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation,Lund et al. (2015),,https://www.ncdc.noaa.gov/paleo/study/19521,1
KNR159-5-20JPC,,1.995,-0.24,4.98,,,,250,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation,Lund et al. (2015),,https://www.ncdc.noaa.gov/paleo/study/19521,1
