Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
KNR159-5-22GGC,,0.01,0.4,2.77,0.4,2.77,,250,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,"D.C. Lund, A.C. Tessin, J.L. Hoffman, A. Schmittner. 2015. Southwest Atlantic water mass evolution during the last deglaciation. Paleoceanography, 30(5), 477-494. doi: 10.1002/2014PA002657",,https://www.ncdc.noaa.gov/paleo/study/19521,1
KNR159-5-22GGC,,0.01,0.69,2.98,0.69,2.98,,250,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,"D.C. Lund, A.C. Tessin, J.L. Hoffman, A. Schmittner. 2015. Southwest Atlantic water mass evolution during the last deglaciation. Paleoceanography, 30(5), 477-494. doi: 10.1002/2014PA002657",,https://www.ncdc.noaa.gov/paleo/study/19521,1
KNR159-5-22GGC,,0.01,-0.01,3.38,-0.01,3.38,,250,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,"D.C. Lund, A.C. Tessin, J.L. Hoffman, A. Schmittner. 2015. Southwest Atlantic water mass evolution during the last deglaciation. Paleoceanography, 30(5), 477-494. doi: 10.1002/2014PA002657",,https://www.ncdc.noaa.gov/paleo/study/19521,1
KNR159-5-22GGC,,0.01,0.89,2.94,0.89,2.94,,250,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,"D.C. Lund, A.C. Tessin, J.L. Hoffman, A. Schmittner. 2015. Southwest Atlantic water mass evolution during the last deglaciation. Paleoceanography, 30(5), 477-494. doi: 10.1002/2014PA002657",,https://www.ncdc.noaa.gov/paleo/study/19521,1
KNR159-5-22GGC,,0.01,0.2,2.94,0.2,2.94,,250,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,"D.C. Lund, A.C. Tessin, J.L. Hoffman, A. Schmittner. 2015. Southwest Atlantic water mass evolution during the last deglaciation. Paleoceanography, 30(5), 477-494. doi: 10.1002/2014PA002657",,https://www.ncdc.noaa.gov/paleo/study/19521,1
KNR159-5-22GGC,,0.01,0.434,3.002,0.434,3.002,,250,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,"D.C. Lund, A.C. Tessin, J.L. Hoffman, A. Schmittner. 2015. Southwest Atlantic water mass evolution during the last deglaciation. Paleoceanography, 30(5), 477-494. doi: 10.1002/2014PA002657",,https://www.ncdc.noaa.gov/paleo/study/19521,1
KNR159-5-22GGC,,0.02,0,3.44,0,3.44,,250,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,"D.C. Lund, A.C. Tessin, J.L. Hoffman, A. Schmittner. 2015. Southwest Atlantic water mass evolution during the last deglaciation. Paleoceanography, 30(5), 477-494. doi: 10.1002/2014PA002657",,https://www.ncdc.noaa.gov/paleo/study/19521,1
KNR159-5-22GGC,,0.02,0.39,3.182,0.39,3.182,,250,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,"D.C. Lund, A.C. Tessin, J.L. Hoffman, A. Schmittner. 2015. Southwest Atlantic water mass evolution during the last deglaciation. Paleoceanography, 30(5), 477-494. doi: 10.1002/2014PA002657",,https://www.ncdc.noaa.gov/paleo/study/19521,1
KNR159-5-22GGC,,0.02,0.2,2.99,0.2,2.99,,250,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,"D.C. Lund, A.C. Tessin, J.L. Hoffman, A. Schmittner. 2015. Southwest Atlantic water mass evolution during the last deglaciation. Paleoceanography, 30(5), 477-494. doi: 10.1002/2014PA002657",,https://www.ncdc.noaa.gov/paleo/study/19521,1
KNR159-5-22GGC,,0.02,0.64,3.08,0.64,3.08,,250,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,"D.C. Lund, A.C. Tessin, J.L. Hoffman, A. Schmittner. 2015. Southwest Atlantic water mass evolution during the last deglaciation. Paleoceanography, 30(5), 477-494. doi: 10.1002/2014PA002657",,https://www.ncdc.noaa.gov/paleo/study/19521,1
KNR159-5-22GGC,,0.02,0.72,3.22,0.72,3.22,,250,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,"D.C. Lund, A.C. Tessin, J.L. Hoffman, A. Schmittner. 2015. Southwest Atlantic water mass evolution during the last deglaciation. Paleoceanography, 30(5), 477-494. doi: 10.1002/2014PA002657",,https://www.ncdc.noaa.gov/paleo/study/19521,1
KNR159-5-22GGC,,0.05,0.52,3.02,0.52,3.02,,250,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,"D.C. Lund, A.C. Tessin, J.L. Hoffman, A. Schmittner. 2015. Southwest Atlantic water mass evolution during the last deglaciation. Paleoceanography, 30(5), 477-494. doi: 10.1002/2014PA002657",,https://www.ncdc.noaa.gov/paleo/study/19521,1
KNR159-5-22GGC,,0.1,-0.34,3.2,-0.34,3.2,,250,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,"D.C. Lund, A.C. Tessin, J.L. Hoffman, A. Schmittner. 2015. Southwest Atlantic water mass evolution during the last deglaciation. Paleoceanography, 30(5), 477-494. doi: 10.1002/2014PA002657",,https://www.ncdc.noaa.gov/paleo/study/19521,1
KNR159-5-22GGC,,0.1,-0.26,3.27,-0.26,3.27,,250,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,"D.C. Lund, A.C. Tessin, J.L. Hoffman, A. Schmittner. 2015. Southwest Atlantic water mass evolution during the last deglaciation. Paleoceanography, 30(5), 477-494. doi: 10.1002/2014PA002657",,https://www.ncdc.noaa.gov/paleo/study/19521,1
KNR159-5-22GGC,,0.1,0.21,3.33,0.21,3.33,,250,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,"D.C. Lund, A.C. Tessin, J.L. Hoffman, A. Schmittner. 2015. Southwest Atlantic water mass evolution during the last deglaciation. Paleoceanography, 30(5), 477-494. doi: 10.1002/2014PA002657",,https://www.ncdc.noaa.gov/paleo/study/19521,1
KNR159-5-22GGC,,0.1,0.65,3.52,0.65,3.52,,250,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,"D.C. Lund, A.C. Tessin, J.L. Hoffman, A. Schmittner. 2015. Southwest Atlantic water mass evolution during the last deglaciation. Paleoceanography, 30(5), 477-494. doi: 10.1002/2014PA002657",,https://www.ncdc.noaa.gov/paleo/study/19521,1
KNR159-5-22GGC,,0.1,0.16,3.31,0.16,3.31,,250,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,"D.C. Lund, A.C. Tessin, J.L. Hoffman, A. Schmittner. 2015. Southwest Atlantic water mass evolution during the last deglaciation. Paleoceanography, 30(5), 477-494. doi: 10.1002/2014PA002657",,https://www.ncdc.noaa.gov/paleo/study/19521,1
KNR159-5-22GGC,,0.1,0.084,3.326,0.084,3.326,,250,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,"D.C. Lund, A.C. Tessin, J.L. Hoffman, A. Schmittner. 2015. Southwest Atlantic water mass evolution during the last deglaciation. Paleoceanography, 30(5), 477-494. doi: 10.1002/2014PA002657",,https://www.ncdc.noaa.gov/paleo/study/19521,1
