Site,Sample label,sample_depth,technique,lab. code,species/material,radiocarbon_age (y),radiocarbon_age_error_plus (y),radiocarbon_age_error_minus (y),reservoir_age (y),reservoir_age_error_plus (y),reservoir_age_error_minus (y),calendar_age (yBP),calendar_age_error_plus (yBP),calendar_age_error_minus (yBP),calibration curve,alignment target,alignment proxy,note1,note2,original reference,data doi
KNR159-5-33GGC,,0.04500000178813934,,,,2079.9999237060547,25.00000037252903,25.00000037252903,391.0,50.4,50.4,1585.0,123.0,170.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
KNR159-5-33GGC,,0.16500000655651093,,,,6090.000152587891,25.00000037252903,25.00000037252903,463.0,50.3,50.3,6401.0,138.0,104.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
KNR159-5-33GGC,,0.24500000476837158,,,,8500.0,19.999999552965164,19.999999552965164,401.0,51.1,51.1,9033.0,234.0,256.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
KNR159-5-33GGC,,0.48500001430511475,,,,12609.999656677246,29.999999329447746,29.999999329447746,492.0,33.0,33.0,13979.0,118.0,169.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
KNR159-5-33GGC,,0.5649999976158142,,,,13204.999923706055,35.00000014901161,35.00000014901161,588.0,33.9,33.9,15038.0,187.0,204.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
KNR159-5-33GGC,,0.8050000071525574,,,,14689.9995803833,45.00000178813934,45.00000178813934,760.0,49.099999999999994,49.099999999999994,16915.0,177.0,256.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
KNR159-5-33GGC,,0.8450000286102295,,,,14475.000381469727,39.99999910593033,39.99999910593033,689.0,63.9,63.9,16733.0,260.0,268.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
KNR159-5-33GGC,,0.8849999904632568,,,,14350.000381469727,45.00000178813934,45.00000178813934,677.0,50.5,50.5,16530.0,276.0,227.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
KNR159-5-33GGC,,0.9649999737739563,,,,14534.99984741211,45.00000178813934,45.00000178813934,721.0,54.9,54.9,16773.0,236.0,246.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
KNR159-5-33GGC,,1.0449999570846558,,,,15475.000381469727,50.00000074505806,50.00000074505806,824.0,42.6,42.6,17982.0,222.0,238.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
KNR159-5-33GGC,,1.125,,,,15420.000076293945,50.00000074505806,50.00000074505806,818.0,42.2,42.2,17884.0,270.0,350.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
KNR159-5-33GGC,,1.2450000047683716,,,,16569.99969482422,59.99999865889549,59.99999865889549,749.0,40.599999999999994,40.599999999999994,19080.0,229.0,177.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
KNR159-5-33GGC,,1.284999966621399,,,,15494.999885559082,45.00000178813934,45.00000178813934,838.0,42.5,42.5,17990.0,203.0,209.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
KNR159-5-33GGC,,1.3650000095367432,,,,15750.0,45.00000178813934,45.00000178813934,793.0,40.2,40.2,18295.0,310.0,128.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
