Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_97.5_percent(y BP),lower_97.5_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
KNR166-2-132JPC,,0.105,141.99606323242188,,,480.031982421875,-45.96799850463867,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR166-2-132JPC,,0.115,155.1514434814453,,,499.6217041015625,-43.37830352783203,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR166-2-132JPC,,0.125,168.30694580078125,,,510.27557373046875,-41.72440719604492,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR166-2-132JPC,,0.135,181.46231079101562,,,519.9295043945312,-40.07051086425781,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR166-2-132JPC,,0.145,194.61776733398438,,,528.5833740234375,-38.4166145324707,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR166-2-132JPC,,0.155,207.77328491210938,,,533.2373046875,-35.76272201538086,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR166-2-132JPC,,0.165,220.92874145507812,,,541.8911743164062,-33.10882568359375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR166-2-132JPC,,0.17500000000000002,234.08433532714844,,,549.5450439453125,-31.45492935180664,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR166-2-132JPC,,0.185,247.23976135253906,,,556.198974609375,-28.80103302001953,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR166-2-132JPC,,0.195,260.3951110839844,,,581.8528442382812,-27.147136688232422,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR166-2-132JPC,,0.20500000000000002,273.550537109375,,,613.5067749023438,-24.493240356445312,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR166-2-132JPC,,0.215,286.7059020996094,,,630.16064453125,-21.839344024658203,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR166-2-132JPC,,0.225,299.8617248535156,,,639.8145751953125,-19.185447692871094,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR166-2-132JPC,,0.23500000000000001,313.01666259765625,,,652.4684448242188,-15.53155517578125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR166-2-132JPC,,0.245,326.17242431640625,,,688.122314453125,-12.877655029296875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR166-2-132JPC,,0.255,339.3280334472656,,,704.7762451171875,-11.223762512207031,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR166-2-132JPC,,0.265,352.4832458496094,,,734.4301147460938,-6.569866180419922,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR166-2-132JPC,,0.275,365.63897705078125,,,756.0840454101562,-1.9159698486328125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR166-2-132JPC,,0.28500000000000003,378.79412841796875,,,768.7379150390625,-0.2620735168457031,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR166-2-132JPC,,0.295,391.9497375488281,,,805.391845703125,2.3918228149414062,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR166-2-132JPC,,0.305,405.10467529296875,,,837.0457153320312,4.045719146728516,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR166-2-132JPC,,0.315,417.1854248046875,,,852.0452880859375,17.04532241821289,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR166-2-132JPC,,0.325,428.5295715332031,,,863.9379272460938,31.937931060791016,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR166-2-132JPC,,0.335,439.8738708496094,,,869.3555297851562,43.35551071166992,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR166-2-132JPC,,0.34500000000000003,451.21783447265625,,,877.7730712890625,52.77309036254883,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR166-2-132JPC,,0.355,462.5625915527344,,,881.190673828125,64.190673828125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR166-2-132JPC,,0.365,473.9064636230469,,,889.6082763671875,72.60824584960938,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR166-2-132JPC,,0.375,485.250732421875,,,902.0258178710938,81.02583312988281,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR166-2-132JPC,,0.385,496.595458984375,,,912.92724609375,84.92723083496094,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR166-2-132JPC,,0.395,507.939697265625,,,920.3911743164062,94.39117431640625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR166-2-132JPC,,0.405,519.28369140625,,,926.8551025390625,99.85511016845703,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR166-2-132JPC,,0.41500000000000004,530.6280517578125,,,939.3190307617188,111.31904602050781,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR166-2-132JPC,,0.425,541.9721069335938,,,950.782958984375,129.78298950195312,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR166-2-132JPC,,0.435,553.3162231445312,,,963.2469482421875,141.24693298339844,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR166-2-132JPC,,0.445,564.6608276367188,,,973.7108764648438,150.71087646484375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR166-2-132JPC,,0.455,576.0049438476562,,,993.1339111328125,156.1339111328125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR166-2-132JPC,,0.465,587.349365234375,,,1012.1851806640625,160.18516540527344,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR166-2-132JPC,,0.47500000000000003,598.6936645507812,,,1027.2364501953125,165.23641967773438,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR166-2-132JPC,,0.485,610.0379638671875,,,1042.28759765625,168.28765869140625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR166-2-132JPC,,0.495,621.3825073242188,,,1055.3388671875,174.3389129638672,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR166-2-132JPC,,0.505,632.726318359375,,,1070.39013671875,181.39016723632812,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR166-2-132JPC,,0.515,644.2831420898438,,,1078.0679931640625,187.0679931640625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR166-2-132JPC,,0.525,656.757080078125,,,1088.7943115234375,208.79428100585938,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR166-2-132JPC,,0.535,669.2307739257812,,,1090.5205078125,229.5205841064453,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR166-2-132JPC,,0.545,681.7042236328125,,,1094.246826171875,251.24688720703125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR166-2-132JPC,,0.555,694.1781005859375,,,1101.97314453125,268.97320556640625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR166-2-132JPC,,0.5650000000000001,706.65185546875,,,1112.699462890625,280.6994934082031,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR166-2-132JPC,,0.5750000000000001,719.1255493164062,,,1117.42578125,296.42578125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR166-2-132JPC,,0.585,731.6002197265625,,,1126.152099609375,312.152099609375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR166-2-132JPC,,0.595,744.073974609375,,,1131.87841796875,327.8783874511719,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR166-2-132JPC,,0.605,756.54736328125,,,1138.604736328125,342.60467529296875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR166-2-132JPC,,0.615,769.0211181640625,,,1146.3310546875,350.33099365234375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR166-2-132JPC,,0.625,781.49462890625,,,1156.057373046875,361.05731201171875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR166-2-132JPC,,0.635,793.9692993164062,,,1165.7835693359375,370.7835998535156,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR166-2-132JPC,,0.645,806.4431762695312,,,1173.5098876953125,381.5098876953125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR166-2-132JPC,,0.655,818.916259765625,,,1182.484375,392.484375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR166-2-132JPC,,0.665,831.390380859375,,,1184.560791015625,401.56085205078125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR166-2-132JPC,,0.675,843.8645629882812,,,1194.6373291015625,406.6373291015625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR166-2-132JPC,,0.685,856.3382568359375,,,1201.7138671875,419.71380615234375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR166-2-132JPC,,0.6950000000000001,868.8116455078125,,,1208.790283203125,424.790283203125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR166-2-132JPC,,0.705,881.2863159179688,,,1212.86669921875,425.86676025390625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR166-2-132JPC,,0.715,893.7595825195312,,,1233.9432373046875,435.9432373046875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR166-2-132JPC,,0.725,906.75341796875,,,1242.96240234375,462.96246337890625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR166-2-132JPC,,0.735,919.8934936523438,,,1255.904296875,498.904296875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR166-2-132JPC,,0.745,933.0345458984375,,,1268.557373046875,530.557373046875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR166-2-132JPC,,0.755,946.1737060546875,,,1249.21044921875,557.2105102539062,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR166-2-132JPC,,0.765,959.3133544921875,,,1264.863525390625,589.8635864257812,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR166-2-132JPC,,0.775,972.4532470703125,,,1278.5167236328125,617.5167236328125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR166-2-132JPC,,0.785,985.5943603515625,,,1266.1697998046875,645.1697998046875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR166-2-132JPC,,0.795,998.7339477539062,,,1268.8228759765625,658.8228759765625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR166-2-132JPC,,0.805,1011.873046875,,,1289.4759521484375,679.4759521484375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR166-2-132JPC,,0.8150000000000001,1025.0135498046875,,,1298.129150390625,706.1290893554688,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR166-2-132JPC,,0.8250000000000001,1038.154296875,,,1276.7822265625,735.7822265625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
