Site,Sample label,sample_depth,technique,lab. code,species/material,radiocarbon_age (y),radiocarbon_age_error_plus (y),radiocarbon_age_error_minus (y),reservoir_age (y),reservoir_age_error_plus (y),reservoir_age_error_minus (y),calendar_age (yBP),calendar_age_error_plus (yBP),calendar_age_error_minus (yBP),calibration curve,alignment target,alignment proxy,note1,note2,original reference,data doi
KNR166-2-26JPC,,0.013000000000000001,,,G. sacculifer,1070,70,70,400,100,100,631,87,78,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
KNR166-2-26JPC,,0.48700000000000004,,,G. sacculifer,2990,30,30,400,100,100,2627,150,39,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
KNR166-2-26JPC,,1.127,,,G. sacculifer,6720,40,40,400,100,100,7163,142,142,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
KNR166-2-26JPC,,1.4469999999999998,,,G. sacculifer,8100,80,80,400,100,100,8447,143,105,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
KNR166-2-26JPC,,2.167,,,G. sacculifer,9550,40,40,400,100,100,10287,198,178,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
KNR166-2-26JPC,,2.807,,,G. sacculifer and G. ruber,10100,45,45,400,100,100,10980,214,86,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
KNR166-2-26JPC,,3.447,,,G. sacculifer,10000,110,110,400,100,100,10885,256,241,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
KNR166-2-26JPC,,3.5669999999999997,,,G. sacculifer,11750,95,95,400,200,200,13141,182,235,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
KNR166-2-26JPC,,3.647,,,G. sacculifer and G. ruber,10600,70,70,400,200,200,11783,312,304,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
KNR166-2-26JPC,,3.747,,,G. sacculifer,10500,50,50,400,100,100,11567,182,173,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
KNR166-2-26JPC,,3.927,,,G. ruber,10850,65,65,400,200,200,12180,425,359,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
KNR166-2-26JPC,,4.087,,,G. sacculifer and G. ruber,10300,60,60,400,100,100,11308,294,268,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
KNR166-2-26JPC,,4.427,,,G. sacculifer and G. ruber,10700,65,65,400,200,200,11953,507,395,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
KNR166-2-26JPC,,4.647,,,G. sacculifer and G. ruber,10800,55,55,400,200,200,12115,462,442,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
KNR166-2-26JPC,,5.447,,,G. sacculifer and G. ruber,11000,65,65,400,200,200,12349,354,73,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
KNR166-2-26JPC,,5.9270000000000005,,,G. ruber,11400,65,65,400,200,200,12861,207,137,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
KNR166-2-26JPC,,6.067,,,G. sacculifer,11600,35,35,400,200,200,13003,160,181,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
KNR166-2-26JPC,,6.487,,,G. sacculifer,12350,200,200,400,200,200,13760,301,350,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
KNR166-2-26JPC,,7.047000000000001,,,G. ruber,13500,55,55,400,200,200,15492,283,292,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
KNR166-2-26JPC,,7.327000000000001,,,G. ruber,15000,60,60,400,200,200,17544,315,273,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
KNR166-2-26JPC,,7.527,,,G. ruber,15550,70,70,400,200,200,18197,418,285,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
KNR166-2-26JPC,,8.027000000000001,,,G. ruber,17750,80,80,400,200,200,20665,238,237,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
KNR166-2-26JPC,,8.487,,,G. ruber,20300,120,120,400,200,200,23581,285,275,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
KNR166-2-26JPC,,8.787,,,G. sacculifer and G. ruber,21300,95,95,400,200,200,24837,331,274,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
KNR166-2-26JPC,,9.527000000000001,,,G. ruber,26300,130,130,400,200,200,29922,269,286,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
KNR166-2-26JPC,,10.147,,,G. ruber,28200,180,180,400,200,200,31510,190,274,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
KNR166-2-26JPC,,10.327,,,G. ruber,28200,590,590,400,200,200,31775,1012,815,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
KNR166-2-26JPC,,10.747,,,G. ruber,29300,380,380,400,200,200,32955,606,737,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
KNR166-2-26JPC,,10.887,,,G. sacculifer and G. ruber,31300,200,200,400,200,200,35037,268,315,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
KNR166-2-26JPC,,11.047,,,G. sacculifer and G. ruber,30600,170,170,400,200,200,34452,197,225,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
KNR166-2-26JPC,,11.187000000000001,,,G. sacculifer,30900,220,220,400,200,200,34724,339,248,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
